infinitive_latin,frequency
бити,6907
хтети,523
моћи,379
рећи,252
већ,215
имати,197
само,185
још,182
знати,168
много,152
тако,148
онда,145
стајати,140
видети,137
мало,123
немати,123
узети,123
дати,120
требати,118
упитати,117
ту,112
добро,111
где,110
казати,104
почети,96
говорити,93
молити,85
морати,83
чути,82
отићи,77
ићи,77
гледати,74
седети,73
тамо,73
далеко,72
доћи,71
викнути,71
зашто,69
одвратити,68
сада,68
видјети,68
наћи,67
брзо,66
мислити,66
одмах,65
носити,65
пут,65
сасвим,63
како,63
сад,63
овде,62
налазити,61
колико,61
купити,60
поново,60
међутим,58
стићи,58
радити,57
остати,57
погледати,55
веома,52
вратити,52
чекати,52
писати,52
данас,51
држати,50
живети,50
можда,50
викати,50
ући,49
опет,48
чинити,47
толико,46
пола,46
отворити,46
ипак,46
приметити,46
изјавити,45
дуго,44
давати,43
просто,42
јести,42
схватити,42
окренути,41
тражити,40
желети,38
лежати,38
прићи,38
продати,38
учинити,37
осећати,37
оставити,37
најзад,37
живјети,36
слушати,36
наставити,34
једино,34
зауставити,34
касно,33
полако,33
значити,33
стати,33
одавно,33
доле,33
дигнути,32
појавити,32
упутити,32
неколико,32
изговорити,31
прећи,31
лепо,31
играти,31
питати,31
зато,31
дружити,31
изгледати,31
добити,31
пронаћи,31
овамо,31
изићи,30
поћи,30
вели,30
заборавити,30
помислити,29
постати,29
завршити,29
дрекнути,29
представљати,29
рано,28
сетити,28
лако,28
волети,28
донети,28
пасти,27
платити,27
спазити,27
трчати,27
написати,27
разумети,27
плашити,26
посматрати,26
куда,26
спавати,26
проћи,26
наравно,26
заиста,26
изгубити,26
сутра,26
сазнати,26
бацити,25
улазити,25
прво,25
показати,25
готово,25
кренути,24
примити,24
падати,24
водити,24
заједно,24
опростити,24
одвести,24
овако,23
кући,23
звати,23
ударити,23
ћутати,23
огласити,23
долазити,22
замислити,22
јако,22
жељети,22
тешко,22
сести,22
почињати,22
прочитати,22
одједном,22
вући,22
шетати,22
никада,22
возити,22
зачути,21
тихо,21
послати,21
једнако,21
стално,21
корачати,21
једном,20
увек,20
закључити,20
извадити,20
осетити,20
уосталом,20
сећати,20
затим,20
личити,20
отпутовати,20
служити,20
правити,20
направити,20
успети,20
јуче,20
мучити,19
пажљиво,19
јурити,19
сматрати,19
допутовати,19
дисати,19
управо,18
десити,18
ставити,18
причати,18
откуд,18
одговорити,18
предати,18
збиља,18
одлучити,18
бацати,18
путовати,18
извући,18
вољети,18
страшно,18
негде,18
пустити,17
гурнути,17
седити,17
настављати,17
сложити,17
после,17
никад,17
увече,17
јавити,17
дизати,17
ухватити,17
одлично,17
десно,17
испоставити,16
ноћу,16
прилично,16
однети,16
одлазити,16
издати,16
читати,16
тачно,16
спремати,16
загледати,16
лупати,16
трудити,16
примати,16
никако,16
скочити,16
спустити,16
наједном,16
врло,16
владати,16
украсти,16
становати,16
претворити,16
попети,16
односити,15
висити,15
обавити,15
отпочети,15
тада,15
умети,15
размишљати,15
узбудити,15
потпуно,15
испасти,15
