глагол,общая_частота
biti,76539
hteti,5547
moći,4194
samo,2712
reći,2689
imati,2489
mnogo,2456
tako,2415
znati,2367
još,2320
već,2065
videti,2046
početi,1551
govoriti,1524
trebati,1340
sada,1228
vidjeti,1209
kazati,1183
doći,1166
gde,1156
nemati,1149
ići,1113
dobro,1104
tu,1101
gledati,1068
malo,1000
misliti,956
tada,940
morati,917
odmah,914
čuti,904
dati,889
uvek,888
raditi,882
ostati,873
stajati,855
ovde,838
živeti,836
upitati,790
naći,780
odgovoriti,775
tamo,770
opet,763
daleko,760
onda,759
put,754
sad,691
sedeti,683
otići,669
nekoliko,668
izgledati,637
nositi,612
uzeti,602
brzo,592
koliko,583
vratiti,582
zašto,567
tražiti,558
držati,548
živjeti,531
potpuno,516
pogledati,512
činiti,511
osećati,504
slušati,494
dolaziti,485
kako,483
postati,481
voleti,474
čekati,463
dobiti,458
dugo,455
ponovo,455
ipak,454
toliko,451
moliti,447
pisati,446
zatim,444
nalaziti,443
ući,435
ležati,434
odjednom,429
učiniti,425
otvoriti,422
stići,410
nikad,409
možda,407
značiti,405
sasvim,402
krenuti,400
razumeti,398
voditi,397
proći,390
želeti,384
ostaviti,381
pitati,380
teško,378
stati,369
pričati,367
zvati,364
jednom,363
čitati,360
lako,359
pojaviti,357
pasti,352
okrenuti,349
postojati,348
često,347
isto,344
zajedno,340
zaboraviti,340
danas,338
shvatiti,337
poći,336
pomisliti,334
zato,332
pokazati,330
voljeti,314
negde,311
izgubiti,308
spavati,308
upravo,303
nikada,302
tiho,298
rano,296
nastaviti,296
smatrati,295
uopšte,295
baciti,292
poslati,288
posmatrati,287
umreti,285
desiti,281
završiti,281
pustiti,279
potom,278
osetiti,276
davati,275
pozvati,275
padati,272
preći,272
odlaziti,271
odavno,269
ugledati,269
dizati,265
vikati,264
razgovarati,264
nestati,263
stalno,262
umeti,260
piti,260
uhvatiti,260
doneti,259
primiti,258
verovati,257
igrati,253
onako,252
vraćati,252
željeti,246
uspeti,245
jesti,243
odgovarati,242
veoma,242
ovako,240
okretati,240
najzad,239
izaći,238
lepo,237
sećati,237
zaista,235
počinjati,235
primetiti,234
izvući,233
predati,233
zaustaviti,232
gotovo,231
gubiti,231
pratiti,230
prići,230
očekivati,230
sediti,230
jedva,228
napustiti,226
bojati,226
narediti,225
poznavati,224
rasti,221
inače,220
staviti,220
ostajati,219
naročito,218
izići,218
nekako,218
saznati,216
valjati,215
setiti,215
naravno,214
služiti,213
kupiti,213
pročitati,213
međutim,210
izlaziti,206
ovamo,205
ponekad,205
dovesti,205
spustiti,204
noću,203
ustati,201
takođe,200
zatvoriti,199
sutra,199
dešavati,198
udariti,198
povikati,196
kretati,196
kasno,196
tačno,196
probuditi,194
pevati,192
jako,190
prolaziti,189
kada,189
vrlo,189
zamisliti,189
pola,188
smejati,188
bivati,187
oprostiti,187
pokazivati,186
posle,186
jasno,186
mučiti,185
kući,185
sesti,184
objasniti,183
ćutati,182
ulaziti,182
obratiti,181
spremati,181
napisati,181
ispričati,180
pažljivo,180
odvesti,180
menjati,178
duboko,178
ličiti,177
učiti,176
postaviti,176
umrijeti,175
pružiti,175
obično,174
oko,172
pomoći,172
ubiti,172
uzimati,166
roditi,164
uputiti,164
podići,163
mirno,163
postajati,162
javiti,161
sanjati,160
očigledno,160
dosta,159
otvarati,158
nekad,157
braniti,157
povući,157
nikako,157
podizati,156
progovoriti,154
juče,154
čuvati,154
jedino,152
začuti,152
prestati,151
kuda,151
trajati,150
prekinuti,150
viknuti,149
osmehnuti,148
odlučiti,147
zauvek,146
dočekati,146
zagledati,146
bacati,145
prekidati,145
javljati,144
puštati,144
uveče,144
truditi,144
polako,143
promeniti,143
tvrditi,142
kriti,142
plakati,142
vući,141
trčati,141
ponavljati,140
izgovoriti,140
praviti,139
provesti,138
smesti,137
sresti,137
hvatati,136
prelaziti,135
svuda,134
začuditi,134
šaputati,134
zaboravljati,132
putovati,132
shvatati,132
suviše,130
sigurno,130
pripadati,129
bežati,129
najednom,129
rešiti,129
paziti,129
teći,128
glasno,128
gore,127
nadati,126
ubrzo,126
uzbuditi,126
uostalom,126
smeti,126
naglo,125
načiniti,125
iznenada,125
dole,125
umirati,124
slati,124
izvesti,124
pokušati,124
vladati,123
zamoliti,123
uzalud,122
donositi,122
primati,122
družiti,122
zaključiti,119
sutradan,119
zastati,118
osloboditi,118
lično,118
ostavljati,117
nastati,117
pušiti,117
platiti,117
širiti,116
prihvatiti,116
zadržati,115
naići,114
stvoriti,114
pre,114
prvo,114
napred,114
priznati,114
dogoditi,113
skočiti,113
pomagati,112
kud,112
spasti,112
pronaći,112
deliti,111
naučiti,111
uraditi,111
zauzeti,111
stizati,110
razmišljati,110
natrag,110
popiti,110
spuštati,110
pretvoriti,109
odakle,109
žaliti,108
smestiti,108
izvaditi,108
dodati,108
nastavljati,107
stvarno,107
prosto,106
pamtiti,106
koristiti,106
skinuti,106
veli,105
vezati,104
poleteti,104
nekada,104
pomalo,104
svirati,103
ponoviti,103
kazivati,102
terati,102
tući,102
stezati,101
baviti,101
ispuniti,100
odvojiti,100
smetati,100
pokušavati,100
sići,100
uplašiti,99
svršiti,99
juriti,99
upoznati,99
goniti,98
prijeći,98
izvoleti,98
obraćati,98
napraviti,98
nigde,97
neprestano,96
dodaditi,96
skoro,96
čvrsto,96
otkriti,96
jednostavno,96
suditi,96
navići,95
predstavljati,95
svakako,95
ticati,95
najpre,94
dopustiti,94
nazivati,94
otkud,94
disati,94
neočekivano,94
vrediti,93
unapred,93
izjaviti,93
oboriti,93
odbiti,93
složiti,93
vršiti,92
održati,92
uskoro,92
pobeći,92
napuštati,91
pretvarati,91
dobijati,91
zbuniti,91
ujutru,91
mešati,90
slučajno,90
boriti,90
pogoditi,90
blizu,90
zaspati,90
sačuvati,89
poneti,89
opaziti,89
verovatno,89
najposle,88
dotle,88
iznenaditi,88
desno,88
plašiti,88
obući,88
poljubiti,88
jednako,87
prevariti,87
steći,87
skidati,87
prepoznati,87
stavljati,87
sporo,86
davno,86
odavde,86
voziti,86
oduvek,85
smiriti,85
pružati,85
daviti,84
uzvikan,84
odvratiti,84
spaziti,84
dići,84
donijeti,84
ugasiti,84
dopirati,84
koračati,84
visiti,84
pokloniti,84
nastojati,83
pojesti,83
valjda,83
povesti,83
prilaziti,83
udarati,82
napolju,82
prodati,82
dovoljno,82
izdati,82
ukratko,82
pucati,82
sastaviti,81
izazvati,81
ljubiti,81
približavati,81
izmeniti,80
jahati,80
uznemiriti,80
buditi,80
obećati,80
otputovati,80
sedati,80
lupati,80
neobično,79
oženiti,79
objaviti,79
izvršiti,79
mirisati,79
gurnuti,78
odneti,78
retko,78
razbiti,78
pomišljati,77
graditi,77
levo,77
mahati,77
zateći,77
prebaciti,77
hodati,76
strašno,76
oštro,75
uveravati,75
šetati,75
nasmejati,75
ispasti,75
izviniti,74
stvarati,74
dočno,74
hraniti,74
lagati,74
poznati,74
sakriti,74
nestajati,74
izbaciti,74
brinuti,74
izazivati,73
odnositi,73
učestvovati,73
paliti,73
prilično,73
odnekud,72
odlično,72
izdržati,72
zapisati,72
čuditi,72
veselo,72
lagano,71
nazvati,71
gasiti,71
slagati,71
dozvoliti,71
gurati,71
sahraniti,70
danju,70
pokriti,70
ljutito,70
spremiti,70
leći,70
osvrnuti,69
silaziti,69
umiriti,69
savladati,69
propasti,69
žuriti,69
pozdraviti,69
pozivati,69
računati,68
naprotiv,68
potrčati,68
provoditi,68
stupiti,68
lečiti,67
prekriti,67
skupiti,67
osuditi,67
predavati,67
kratko,67
završavati,67
odjekivati,67
sačekati,67
predložiti,67
pristati,67
ćutke,67
nuditi,66
dignuti,66
izneti,66
drhtati,66
ponuditi,66
osvetliti,66
uveriti,66
pominjati,65
izgovarati,65
kupovati,65
uzvratiti,65
zapanjiti,65
odbijati,65
odlučno,65
seći,65
zapaliti,65
sklopiti,64
visoko,64
ljutiti,64
probiti,64
uvrediti,64
vezivati,63
krstiti,63
doduše,63
živo,63
uspevati,63
povremeno,63
uživati,63
oprezno,63
izbiti,63
izabrati,63
objašnjavati,62
izbegavati,62
uhapsiti,62
utvrditi,62
nastupiti,62
obaviti,62
zahtevati,62
vrteti,61
zatražiti,61
obuzeti,61
preneti,61
popeti,61
zaustavljati,60
ispitivati,60
maločas,60
zatvarati,60
izraziti,60
ukazati,60
ispustiti,60
žao,60
uništiti,60
pojuriti,59
beh,59
zamišljati,59
smeškati,59
počesiti,59
slabo,59
približiti,59
skrenuti,59
gaziti,59
podneti,59
dohvatiti,59
zahvaljivati,59
nabaviti,58
potražiti,58
trošiti,58
iščeznuti,58
beležiti,58
rađati,58
istovremeno,58
dvaput,58
goreti,58
privući,58
proveriti,58
raširiti,58
redovno,57
otpočeti,57
plaćati,57
uzgred,57
naterati,57
glasiti,56
otkako,56
obilaziti,56
viđati,56
mrmljati,56
odmoriti,56
opisati,56
ubijati,56
nedavno,56
ponašati,56
razgledati,56
odista,55
nailaziti,55
produžiti,55
prodavati,55
svratiti,55
sručiti,55
peći,55
poslužiti,55
saslušati,55
boliti,55
obesiti,55
napolje,55
primećivati,54
besno,54
položiti,54
doživeti,54
varati,54
odleteti,54
preduzeti,54
ćutjeti,54
zapevati,54
ispostaviti,54
stanovati,54
postavljati,54
telefonirati,53
rušiti,53
slobodno,53
zavisiti,53
leteti,53
ispisati,53
promrmljati,53
strogo,53
ploviti,53
pojavljivati,53
radosno,53
patiti,53
uznemiravati,52
tržati,52
podeliti,52
poveriti,52
saopštiti,52
vešto,52
uporno,52
iskreno,52
savetovati,52
udaljiti,52
rado,52
lupiti,51
slutiti,51
lomiti,51
strpati,51
bolovati,51
osvrtati,51
dopasti,51
ljubazno,51
posve,50
uspravno,50
stoga,50
raspitivati,50
večeras,50
nisko,50
razmisliti,50
šaliti,50
zagrliti,50
umešati,50
podnositi,50
zameniti,50
ikad,49
prenositi,49
brojati,49
zbilja,49
razlikovati,49
jutros,49
umalo,49
uvući,49
uzviknuti,49
propustiti,49
viriti,49
preseći,49
probijati,49
zavladati,49
uleteti,48
povezati,48
istrčati,48
izložiti,48
neprimetno,48
sinoć,48
ozbiljno,48
porazgovarati,48
zadrhtati,48
prevoditi,47
ispunjavati,47
klimnuti,47
održavati,47
pomenuti,47
povlačiti,47
potvrditi,47
požuriti,47
privlačiti,47
svejedno,47
nestrpljivo,47
skloniti,47
izražavati,47
odvajati,47
zaprepastiti,47
nimalo,47
preplašiti,46
