translit,frequency
biti,404
i,332
u,200
je,183
da,157
na,116
sebe,108
on,97
se,97
Savin,78
sam,71
od,66
a,57
su,55
ali,54
za,54
ja,52
mi,52
koji,45
oni,44
što,39
ne,38
taj,38
naš,37
sa,37
tamo,35
hteti,34
žena,34
još,33
kao,32
po,31
prema,30
samo,28
zemlja,25
smo,25
svoj,25
srce,24
sav,21
iz,21
ići,21
selo,21
njegov,20
reći,20
gde,20
potom,20
s,19
već,19
Nemac,19
kako,18
li,18
sad,17
njen,17
neprijatelj,17
vojnik,17
ga,16
ih,16
ostati,16
opet,16
čovek,15
zato,15
koje,15
jedan,14
lice,14
to,14
nije,14
odjednom,14
tako,14
krenuti,14
život,13
sve,13
dete,13
oklop,12
moći,12
bilo,12
pored,12
zbog,12
nas,12
natrag,12
ovde,12
takođe,12
A,11
ležati,11
će,11
ti,11
pod,11
put,11
uz,11
mnogo,10
Ali,10
ni,10
tuga,10
njih,10
nad,10
rekao,10
zatim,10
možda,10
duša,10
doći,10
do,10
daleko,10
ruka,10
ako,10
mu,10
zarobljenica,10
našu,9
pa,9
jaruga,9
proći,9
postati,9
nam,9
naše,9
drugi,9
mrtav,9
jorgan,9
ću,9
bio,8
međutim,8
zanavek,8
glas,8
ljudi,8
čovjek,8
među,8
živeti,8
malo,8
U,8
radi,8
uvek,8
brod,8
ona,8
šta,8
ćemo,8
večan,8
neprijatelja,8
Ona,8
bi,8
smrt,8
ljubav,8
On,8
noć,8
seljanka,8
reče,8
ubiti,8
mornar,7
jednom,7
ruski,7
o,7
zašto,7
koja,7
zemlju,7
gledati,7
polje,7
tada,7
moj,7
Savina,7
tu,7
sada,7
Nemci,7
dva,7
narod,7
umreti,7
odmah,7
njegovo,6
iza,6
srca,6
retko,6
voleti,6
takav,6
imati,6
dok,6
pitao,6
pitati,6
tiho,6
Ne,6
može,6
metal,6
skoro,6
svoje,6
svog,6
rad,6
dugo,6
savladati,6
pobeda,6
odgovoriti,6
godina,6
način,6
čvrst,6
bila,6
kad,6
ponegde,6
ili,6
jedino,6
Mi,6
kući,6
pre,6
ime,6
ko,6
evo,6
reč,5
više,5
običan,5
ravnodušan,5
prostor,5
teret,5
zemlji,5
živjeti,5
pomorac,5
onaj,5
strana,5
jaruge,5
morati,5
strah,5
Rusija,5
me,5
kakav,5
te,5
papir,5
vi,5
nisu,5
seljak,5
prah,5
preko,5
išao,5
otići,5
stvar,5
pasti,5
ostali,5
sela,5
smrti,5
povrće,5
bili,5
očito,5
Oni,5
nemački,5
one,5
ka,5
k,5
sama,5
najpre,5
telo,5
požar,5
tko,5
ma,5
decu,5
pobiti,5
pomorski,4
noga,4
nevelik,4
rast,4
jak,4
kost,4
mračan,4
krotak,4
govoriti,4
nego,4
voleo,4
jer,4
jedna,4
inženjer,4
more,4
onda,4
života,4
trava,4
kuća,4
zemlje,4
toliko,4
svet,4
niko,4
velik,4
rasti,4
izaći,4
tenk,4
Ja,4
njega,4
Srce,4
valjati,4
I,4
svojim,4
naša,4
nov,4
neki,4
vratiti,4
stric,4
kod,4
mužik,4
ruku,4
borac,4
bez,4
krenuli,4
njim,4
žitarica,4
mene,4
napred,4
noći,4
išli,4
dalje,4
njima,4
ostala,4
automat,4
prašina,4
oko,4
travka,4
prekriti,4
starica,4
ženu,4
susret,4
njom,4
nekoliko,4
potrčati,4
koliko,4
kroz,4
tugu,4
teretom,4
sahraniti,4
pogled,4
selu,4
Žena,4
odgovori,4
disati,4
kretati,4
zgrada,4
duh,4
plakati,4
majka,4
četiri,4
dvoje,4
Seljanka,4
trpeti,4
makar,4
loše,4
teško,4
svest,4
biće,3
dalek,3
glasom,3
reči,3
ima,3
njemu,3
nemati,3
travi,3
Pred,3
pred,3
nama,3
seoski,3
kuće,3
vrt,3
sunce,3
činiti,3
ležala,3
trpljenje,3
detinjstvo,3
uništiti,3
neprijatelji,3
tugovati,3
moje,3
Sve,3
armija,3
nisam,3
izašao,3
tek,3
potreban,3
rat,3
tajna,3
štap,3
osećati,3
dodati,3
uobičajen,3
spavati,3
kurski,3
oblasti,3
oblast,3
vam,3
oklopni,3
uzeti,3
moguće,3
moguć,3
Savinu,3
toj,3
izba,3
tom,3
peć,3
Tamo,3
svetu,3
hleb,3
Zato,3
boj,3
rodan,3
usamljen,3
putu,3
Zašto,3
Šta,3
štab,3
tamu,3
tama,3
pratiti,3
tišina,3
uveče,3
čoveka,3
kuda,3
dve,3
nedaleko,3
druma,3
drum,3
dan,3
probuditi,3
pogledati,3
tuđina,3
putem,3
žuriti,3
ispred,3
zarobljenice,3
puta,3
poslednji,3
