infinitive_latin,frequency
бити,46573
biti,29966
хтети,2892
моћи,2815
hteti,2655
само,1804
тако,1684
reći,1624
имати,1623
много,1621
још,1527
знати,1461
moći,1379
видети,1218
већ,1154
рећи,1065
говорити,951
već,911
samo,908
znati,906
imati,866
početi,866
mnogo,835
videti,828
ту,798
još,793
требати,770
видјети,755
гледати,733
tako,731
доћи,706
увек,705
сада,702
где,696
казати,688
почети,685
добро,674
мало,653
немати,640
ићи,624
мислити,592
остати,575
govoriti,573
trebati,570
тада,563
odgovoriti,556
морати,548
опет,544
дати,537
чути,535
sada,526
nemati,509
живети,508
пут,507
стајати,502
наћи,498
далеко,496
kazati,495
изгледати,493
ići,489
upitati,484
одмах,483
носити,463
doći,460
gde,460
vidjeti,454
raditi,444
радити,438
ovde,434
онда,432
odmah,431
dobro,430
тражити,418
колико,411
tamo,405
овде,404
неколико,404
tada,377
држати,376
чинити,372
сад,372
узети,372
čuti,369
morati,369
zašto,367
тамо,365
misliti,364
брзо,363
otići,363
долазити,357
никад,353
stajati,353
dati,352
sedeti,350
malo,347
живјети,342
толико,339
потпуно,338
gledati,335
седети,333
živeti,328
onda,327
осећати,322
одједном,320
чекати,318
sad,314
дуго,310
отићи,306
упитати,306
слушати,304
tu,303
вратити,299
ostati,298
волети,287
vratiti,283
pogledati,283
kako,282
naći,282
постати,280
често,273
учинити,271
писати,268
налазити,267
стићи,267
daleko,264
nekoliko,264
стати,256
лежати,255
ипак,253
лако,250
razumeti,247
put,247
поново,246
водити,244
исто,237
читати,233
добити,233
питати,232
затим,231
uzeti,230
moliti,230
погледати,229
otvoriti,229
brzo,229
pojaviti,228
тешко,226
проћи,225
негде,225
dobiti,225
звати,223
једном,221
ući,221
зато,220
одговорити,219
opet,219
молити,217
ући,214
zatim,213
сасвим,212
постојати,211
значити,210
можда,210
ponovo,209
пасти,206
кренути,206
рано,204
заједно,203
причати,202
желети,201
како,201
ipak,201
postati,201
оставити,200
зашто,200
сматрати,199
давати,198
потом,197
možda,197
tiho,196
онако,195
умети,195
značiti,195
умрети,194
krenuti,194
отворити,193
данас,193
падати,190
показати,190
sasvim,190
slušati,190
živjeti,189
примити,188
okrenuti,188
voleti,187
изгубити,185
pozvati,185
прећи,183
расти,183
želeti,183
uvek,183
осетити,182
враћати,182
osećati,182
nestati,182
нарочито,181
ostaviti,181
никада,180
ležati,179
potpuno,178
pisati,178
poći,178
овако,177
јести,177
вољети,177
nalaziti,176
povikati,175
одавно,174
готово,173
викати,172
заборавити,172
držati,172
koliko,172
помислити,171
стално,171
shvatiti,171
уопште,170
бивати,169
zaboraviti,168
схватити,166
губити,166
управо,165
десити,165
заиста,165
proći,165
pričati,165
izaći,165
пратити,164
pomisliti,163
пити,161
окренути,161
лепо,160
остајати,159
ugledati,159
играти,158
поћи,158
одговарати,158
донети,158
спавати,157
izvući,157
служити,154
učiniti,154
voditi,153
teško,152
разумети,151
послати,151
spavati,151
nastaviti,150
певати,149
nositi,149
pitati,148
разговарати,147
baciti,147
међутим,146
наставити,146
одлазити,146
посматрати,146
најзад,146
pasti,146
бацити,145
danas,145
dugo,145
čekati,145
završiti,145
иначе,144
пустити,144
мењати,144
izgledati,144
изићи,143
приметити,143
stići,143
дизати,142
jednom,142
веровати,141
takođe,141
zvati,141
posmatrati,141
почињати,140
pokazati,140
tražiti,140
ustati,140
купити,139
činiti,139
upravo,138
некад,137
напустити,137
voljeti,137
postojati,137
zajedno,137
poslati,137
завршити,136
веома,135
pustiti,135
прићи,134
ноћу,132
ухватити,132
предати,130
бранити,130
staviti,130
појавити,129
једва,128
сањати,128
зауставити,128
познавати,128
dolaziti,128
uhvatiti,128
ovamo,128
okretati,128
прочитати,127
čitati,127
показивати,126
дешавати,126
после,126
понекад,126
очекивати,126
obratiti,126
odlaziti,125
uopšte,125
пролазити,124
жељети,123
željeti,123
uspeti,123
osmehnuti,123
izgubiti,123
dizati,123
успети,122
ваљати,122
nikada,122
седити,121
јављати,121
сазнати,121
једино,120
дубоко,120
узимати,120
sećati,120
умријети,119
мучити,119
bojati,119
обично,118
сећати,117
личити,117
razgovarati,117
pružiti,117
сетити,116
наравно,116
трајати,116
довести,116
заувек,116
verovati,116
desiti,116
отварати,115
учити,115
ударити,114
тврдити,114
наредити,113
stati,113
пола,112
излазити,112
јавити,112
кретати,112
окретати,112
zato,112
toliko,112
narediti,112
progovoriti,112
сести,111
некако,111
родити,110
угледати,110
odjednom,109
lako,109
sediti,109
хватати,108
заборављати,108
бојати,107
спремати,107
јасно,107
isto,107
spustiti,107
veoma,107
nekako,107
викнути,106
припадати,106
ћутати,106
постајати,106
ispričati,106
začuti,106
око,105
затворити,104
očekivati,104
napisati,104
zaustaviti,104
oprostiti,104
тећи,103
пажљиво,103
упутити,103
бежати,103
сутра,103
kasno,103
predati,103
тихо,102
прелазити,102
пуштати,102
tačno,102
jako,102
подићи,101
doneti,101
полако,100
мирно,100
смести,100
jedva,100
провести,99
бацати,99
када,99
објаснити,99
наићи,99
узалуд,99
setiti,99
piti,99
пробудити,98
врло,98
нагло,98
повући,98
сувише,98
naravno,98
спустити,97
доносити,97
juče,97
помоћи,96
казивати,96
чувати,96
smatrati,96
kući,96
probuditi,96
prići,96
smejati,96
poznavati,96
zamisliti,96
sutra,96
начинити,95
примати,95
свуда,95
одвести,95
igrati,95
zatvoriti,95
počinjati,95
odavno,95
saznati,95
тачно,94
путовати,94
izlaziti,94
osetiti,94
najednom,94
замислити,93
касно,93
владати,93
valjati,93
najzad,93
смејати,92
vikati,92
začuditi,92
rano,92
ulaziti,92
умирати,91
крити,91
vrlo,91
primetiti,91
stalno,91
shvatati,91
umreti,91
улазити,90
ставити,90
позвати,90
остављати,90
kada,90
кући,89
ширити,89
preći,89
napustiti,89
zamoliti,89
dovesti,89
јако,88
никако,88
поставити,88
најпосле,88
убити,88
uveče,88
postaviti,88
вући,87
гласно,87
настати,87
прекидати,87
закључити,86
настављати,86
везати,86
negde,86
podizati,86
pročitati,86
dosta,85
odvesti,85
слати,84
шапутати,84
objasniti,84
ubiti,84
kretati,84
odgovarati,84
udariti,84
просто,83
непрестано,83
опростити,83
делити,83
dodaditi,83
најпре,83
понављати,82
трчати,82
правити,82
сутрадан,82
једнако,82
променити,82
памтити,82
давити,82
očigledno,82
padati,82
uzvikan,82
решити,81
нестати,81
срести,81
створити,81
настојати,81
skoro,81
potom,81
poleteti,81
družiti,81
дочекати,80
гонити,80
одлучити,79
стизати,79
одувек,79
ponekad,79
jasno,79
одвратити,78
загледати,78
очигледно,78
уплашити,78
пазити,78
prekinuti,78
изговорити,77
пушити,77
извести,77
написати,77
престати,77
овамо,77
пре,77
lepo,77
davati,77
truditi,77
pažljivo,77
платити,76
задржати,76
горе,76
извући,76
надати,76
ćutati,76
pola,76
kuda,76
pomoći,76
inače,76
куда,75
научити,75
izići,75
iznenada,75
доста,74
испричати,74
помагати,74
prestati,74
često,74
plakati,74
sigurno,74
spremati,74
kupiti,74
догодити,74
изаћи,73
пријећи,73
вредити,73
навићи,73
прихватити,73
дотле,73
pokušati,73
sesti,73
прво,72
прекинути,72
напуштати,72
споро,72
skočiti,72
razmišljati,72
dešavati,72
нигде,71
изменити,71
доле,71
noću,71
жалити,70
убрзо,70
подизати,70
претворити,70
стварно,70
vraćati,70
primiti,70
zaista,70
представљати,69
претварати,69
куд,69
унапред,69
smestiti,69
nikako,69
čvrsto,69
застати,68
натраг,68
ударати,68
сачувати,68
изненадити,68
понети,68
плакати,68
odlučiti,68
zagledati,68
вели,67
спасти,67
трудити,67
изјавити,67
oko,67
pratiti,66
jesti,66
mučiti,66
stezati,66
izviniti,66
dočekati,66
uraditi,66
узбудити,65
помишљати,65
мешати,65
gubiti,65
uostalom,65
umeti,65
prolaziti,65
smeti,65
dopustiti,65
свирати,64
преварити,64
називати,64
десно,64
користити,64
međutim,64
извадити,63
напољу,63
вршити,63
добијати,63
ослободити,63
саставити,63
napred,63
mirno,63
popiti,63
ovako,63
давно,63
izgovoriti,63
терати,62
додати,62
испунити,62
лично,62
стварати,62
јахати,62
свршити,62
podići,62
izvoleti,62
смети,61
уосталом,61
устати,61
откуд,61
одвојити,61
градити,61
uputiti,61
uzbuditi,61
učiti,61
promeniti,61
необично,60
продати,60
бавити,60
стећи,60
изазивати,60
одржати,60
ostajati,60
priznati,60
odakle,60
pokazivati,60
ličiti,60
zauzeti,60
posle,60
такође,59
случајно,59
некада,59
trčati,59
služiti,59
tući,59
povući,59
пружити,58
довољно,58
ponavljati,58
gotovo,58
duboko,58
čuvati,58
skinuti,58
prekidati,58
спуштати,57
помало,57
рачунати,57
појести,57
сметати,57
открити,57
јуче,57
помињати,57
praviti,57
onako,57
дочно,57
jednostavno,57
pokušavati,57
нудити,56
односити,56
сигурно,56
плашити,56
ваљда,56
пронаћи,56
увече,56
дисати,56
учествовати,56
везивати,56
postajati,56
obično,56
pronaći,56
umrijeti,56
nikad,56
sresti,56
uznemiriti,56
lično,56
ubrzo,56
обратити,55
изговарати,55
smiriti,55
uskoro,55
svakako,55
osloboditi,55
спазити,54
обраћати,54
склопити,54
дићи,54
палити,54
оборити,54
напротив,54
донијети,54
признати,54
лево,54
roditi,54
osvrnuti,54
juriti,54
vući,54
крстити,54
опазити,54
редовно,53
изазвати,53
оженити,53
сићи,53
додуше,53
куповати,53
хранити,53
објашњавати,53
повести,53
odbiti,53
spuštati,53
odavde,53
napraviti,53
skidati,53
dole,53
однекуд,52
узвратити,52
сахранити,52
судити,52
оштро,52
лечити,52
obući,52
lagano,52
ljubiti,52
zbuniti,52
ponoviti,52
telefonirati,52
odista,52
покушати,51
неочекивано,51
напред,51
поновити,51
борити,51
заузети,51
угасити,51
будити,51
уверавати,51
kriti,51
paziti,51
potrčati,51
ticati,51
odlično,51
pojuriti,51
zapanjiti,51
дигнути,50
отпочети,50
погодити,50
ходати,50
шетати,50
побећи,50
назвати,50
упознати,50
наилазити,50
избегавати,50
изненада,50
дању,50
zastati,50
lagati,50
lupiti,50
gore,50
nadati,50
посве,50
усправно,50
познати,50
šaputati,50
uhapsiti,50
ујутру,49
издржати,49
близу,49
одакле,49
продужити,49
допирати,49
утврдити,49
одбијати,49
prekriti,49
javiti,49
upoznati,49
gurnuti,49
записати,48
живо,48
набавити,48
примећивати,48
скинути,48
успевати,48
гласити,48
изнети,48
корачати,48
силазити,48
откако,48
вероватно,48
složiti,48
poljubiti,48
rešiti,48
попити,47
издати,47
повремено,47
високо,47
умирити,47
објавити,47
стога,47
обилазити,47
izvesti,47
pomalo,47
sići,47
prepoznati,47
skupiti,47
однети,46
зачути,46
заспати,46
махати,46
проводити,46
дрхтати,46
заустављати,46
dodati,46
bacati,46
uzimati,46
beh,46
гасити,45
јурити,45
замишљати,45
сложити,45
направити,45
пружати,45
прилазити,45
обећати,45
урадити,45
возити,45
затећи,45
потражити,45
трошити,45
испитивати,45
prebaciti,45
savladati,45
nekada,45
ljutiti,45
otputovati,45
осудити,45
spasti,45
izvaditi,45
ишчезнути,44
тицати,44
сакрити,44
плаћати,44
покрити,44
продавати,44
бележити,44
страшно,44
стављати,44
преводити,44
ukratko,44
suditi,44
približavati,44
obraćati,44
извршити,44
слагати,44
visiti,44
smeškati,44
ретко,43
понудити,43
тући,43
икад,43
малочас,43
виђати,43
предавати,43
затварати,43
покушавати,43
чудити,43
рушити,43
otvarati,43
stavljati,43
zaspati,43
kud,43
pevati,43
smetati,43
neočekivano,43
polako,43
viknuti,43
слутити,43
prihvatiti,43
besno,43
počesiti,43
рађати,42
поклонити,42
зачудити,42
испуњавати,42
слабо,42
слободно,42
разбити,42
пуцати,42
проговорити,42
нестајати,42
преносити,42
pobeći,42
natrag,42
puštati,42
pokloniti,42
prvo,42
ujutru,42
ljutito,42
svratiti,42
uznemiravati,42
koristiti,42
klimnuti,42
седати,41
дружити,41
почивати,41
скочити,41
насмејати,41
одржавати,41
схватати,41
мирисати,41
voziti,41
verovatno,41
lupati,41
propasti,41
glasno,41
blizu,41
platiti,41
baviti,41
tržati,41
кратко,40
висити,40
препознати,40
положити,40
избацити,40
одбити,40
доживети,40
свакако,40
бројати,40
уживати,40
пољубити,40
поделити,40
pucati,40
pružati,40
približiti,40
pogoditi,40
probiti,40
terati,40
pušiti,40
slati,40
veselo,40
прилично,39
лупати,39
зависити,39
изразити,39
поменути,39
збунити,39
ступити,39
једноставно,39
завршавати,39
саградити,39
указати,39
сместити,39
dogoditi,39
pretvoriti,39
žuriti,39
odvojiti,39
otkriti,39
dozvoliti,39
svuda,39
prošaptati,39
sedati,39
ispasti,39
svirati,39
provesti,39
boriti,39
ispustiti,39
preplašiti,39
zadržati,39
oboriti,39
sručiti,39
спремити,38
размишљати,38
наступити,38
збиља,38
пећи,38
насликати,38
одјекивати,38
ломити,38
сачекати,38
решавати,38
разликовати,38
укратко,38
žaliti,38
putovati,38
rasti,38
brinuti,38
predložiti,38
pomagati,38
disati,38
ispuniti,38
mirisati,38
veli,38
prilaziti,38
vrteti,38
istovremeno,38
pozdraviti,38
pozivati,38
leteti,38
strpati,38
uzgred,38
обавити,37
приближавати,37
ускоро,37
опрезно,37
затражити,37
гурати,37
одлучно,37
исписати,37
скренути,37
газити,37
отимати,37
naročito,37
svršiti,37
pre,37
obuzeti,37
stvarno,37
smesti,37
sutradan,37
бринути,36
распитивати,36
избити,36
испасти,36
указивати,36
изволети,36
бирати,36
послужити,36
изабрати,36
обући,36
koračati,36
leći,36
naučiti,36
naterati,36
сликати,36
razbiti,36
promrmljati,36
uleteti,36
mrmljati,36
докле,35
отпутовати,35
наједном,35
двапут,35
пристати,35
осветлити,35
стезати,35
летјети,35
поднети,35
уредити,35
сећи,35
dopirati,35
žao,35
retko,35
