infinitive_latin,frequency
biti,47
moći,8
imati,6
ostati,5
nikada,4
daleko,4
opet,4
kazati,4
samo,4
živeti,3
živjeti,3
ostajati,3
dati,3
malo,2
raditi,2
sasvim,2
stradati,2
još,2
vrlo,2
slušati,2
ponekad,2
osećati,2
tako,2
odavati,2
znati,2
često,2
već,2
kriti,2
uostalom,2
micati,2
ograničiti,2
isto,1
otpadati,1
uslovljavati,1
možda,1
reći,1
ćutati,1
potrzati,1
naravno,1
častoljublje,1
očekivati,1
gubiti,1
skroz,1
aktivno,1
primati,1
dosledno,1
dejstvovati,1
trebati,1
mnogo,1
dosta,1
probijati,1
teško,1
pritisnuti,1
zalutati,1
hteti,1
goniti,1
smatrati,1
naročito,1
suviše,1
prestati,1
govoriti,1
nemati,1
čuti,1
sedeti,1
vraćati,1
kući,1
preći,1
prijeći,1
preživeti,1
brutalno,1
povišavati,1
videti,1
vidjeti,1
otvarati,1
karakteristično,1
usuđivati,1
pomisliti,1
uzeti,1
presecati,1
skoro,1
upadati,1
impozirati,1
zapamtiti,1
goditi,1
obrađivati,1
čovečjiti,1
blagorodno,1
stajati,1
precizno,1
ipak,1
metati,1
takođe,1
vijoriti,1
naprezati,1
lomiti,1
smirivati,1
svršiti,1
svejedno,1
tačno,1
držati,1
ispunjavati,1
valjati,1
priznati,1
pokškati,1
tiho,1
poricati,1
voleti,1
voljeti,1
demonstrovati,1
svedočiti,1
vaseliti,1
dobiti,1
odjedared,1
najzad,1
večno,1
dostizati,1
sarađivati,1
prelaziti,1
tumačiti,1
izmirivati,1
smrtno,1
dolaziti,1
isticati,1
prebaciti,1
izvesti,1
kliziti,1
stvoriti,1
stati,1
zaboravljati,1
varati,1
izmiriti,1
preobraziti,1
dobro,1
vratiti,1
otkuda,1
doći,1
negde,1
