infinitive_latin,frequency
biti,141
reći,6
moći,6
zašto,4
uzeti,3
šetati,3
igrati,3
vikati,3
imati,3
samo,3
ići,3
dolaziti,2
govoriti,2
željeti,2
znati,2
držati,2
odbiti,2
raditi,2
dopirati,2
ponavljati,2
živeti,2
postati,2
jednom,2
oko,2
postojati,2
kako,2
zavideti,2
još,2
ponekad,2
onda,2
sedeti,2
malo,2
gde,2
upitati,2
nemati,2
odgovoriti,2
gotovo,2
hteti,2
videti,2
gledati,2
značiti,2
kazati,2
čuti,2
hladiti,2
iznajmiti,1
smestiti,1
proći,1
voditi,1
odmah,1
oblačiti,1
stavljati,1
plivati,1
sunčati,1
pecati,1
voziti,1
paziti,1
kuvati,1
želeti,1
zatvoriti,1
doiadati,1
pozvati,1
nažalost,1
žiti,1
puno,1
danima,1
rezervisati,1
desno,1
levo,1
trčati,1
pucati,1
neprestano,1
plakati,1
slagati,1
nastupati,1
psovati,1
prelaziti,1
skoro,1
dimiti,1
uključiti,1
beleti,1
tiše,1
probuditi,1
otići,1
pola,1
dogoditi,1
naleteti,1
pocepati,1
prevrnuti,1
rasuti,1
vratiti,1
kasno,1
iskočiti,1
žaliti,1
doma,1
izgledati,1
moliti,1
zasmejavati,1
prekorevati,1
pobožno,1
mnogo,1
odlaziti,1
kačiti,1
spustiti,1
postajati,1
pretrpati,1
očigledno,1
posetiti,1
bivati,1
ostajati,1
sećati,1
izneti,1
primetiti,1
potpuno,1
ležati,1
okrenuti,1
trajati,1
prebaciti,1
pomeriti,1
ulevo,1
ukratko,1
razumeti,1
priznavati,1
takođe,1
pitati,1
ovde,1
izlaziti,1
napolje,1
spremno,1
koraknuti,1
ostavljati,1
oprati,1
specijalno,1
putovati,1
pomirisati,1
duboko,1
skočiti,1
osećati,1
setiti,1
zato,1
misliti,1
povećavati,1
žao,1
ostaviti,1
kladiti,1
otrgnuti,1
uveravati,1
dobro,1
praviti,1
podizati,1
angažovati,1
gristi,1
zvati,1
ostati,1
slušati,1
pričati,1
ije,1
prošetati,1
žalosno,1
čuditi,1
morati,1
pobeći,1
zaboravljati,1
izaći,1
podngati,1
pisati,1
spopasti,1
