infinitive_latin,frequency
biti,1040
hteti,159
moći,82
samo,70
imati,66
ići,52
trebati,46
znati,46
tako,44
već,44
još,42
nemati,42
videti,41
sad,39
voleti,39
mnogo,35
voljeti,34
živeti,33
vidjeti,32
ovde,32
zašto,31
govoriti,31
pisati,30
morati,29
ulaziti,27
čuti,26
odlaziti,26
smejati,25
igrati,24
živjeti,23
gledati,22
reći,21
doći,21
kazati,21
malo,21
kako,21
misliti,21
sedati,20
razumeti,20
otići,20
izlaziti,20
osećati,20
uvek,19
sećati,19
dati,19
ostati,18
teško,17
opet,17
ljubiti,17
gde,17
oprostiti,17
nikad,16
plakati,16
činiti,16
onda,16
čitati,16
sada,16
dobro,15
zatim,15
tu,15
ipak,14
želeti,14
postati,14
raditi,14
izgledati,13
moliti,13
pogledati,13
početi,12
tamo,12
ostaviti,12
skoro,11
danas,11
uzeti,11
daleko,11
stajati,11
bojati,11
lepo,11
verovati,11
dolaziti,10
nositi,10
izići,10
zajedno,10
stalno,10
vrlo,10
pitati,10
prolaziti,9
piti,9
pružati,9
uostalom,9
ljutiti,9
pasti,9
polaziti,9
preklinjati,9
sediti,9
prosto,9
ubiti,9
umeti,9
voditi,8
dosta,8
put,8
zato,8
isto,8
poći,8
počinjati,8
tražiti,8
uzimati,8
prilaziti,8
stavljati,8
zaboraviti,8
hajdemo,7
značiti,7
naravno,7
dizati,7
ponekad,7
koliko,7
patiti,7
nekad,7
brzo,7
spavati,7
spuštati,7
razgovarati,7
žuriti,7
vraćati,6
jesti,6
narediti,6
strašno,6
takođe,6
bežati,6
žao,6
nikako,6
osluškivati,6
stezati,6
okretati,6
puštati,6
željeti,6
pevušiti,6
lako,6
možda,6
izgubiti,6
tiho,6
čekati,6
odjednom,6
neobično,6
pecati,6
pomoći,6
vrteti,6
sutra,6
uopšte,5
ovako,5
napisati,5
ovamo,5
smatrati,5
nekako,5
sasvim,5
sedeti,5
odmoriti,5
odmah,5
paziti,5
zakasniti,5
pustiti,5
onako,5
vratiti,5
plašiti,5
rano,5
uzbuditi,5
obući,5
otvarati,5
ostajati,5
smeti,5
nastaviti,5
dopustiti,5
sesti,5
dočno,5
upropastiti,5
kući,5
bacati,5
ustajati,5
gurati,5
grliti,5
staviti,5
beležiti,5
zatrebati,5
vrtjeti,5
zvati,5
ući,5
razmišljati,4
filozofirati,4
mučiti,4
probuditi,4
vući,4
pozvati,4
zamoliti,4
inače,4
javiti,4
kud,4
pola,4
dosađivati,4
padati,4
hvatati,4
priznavati,4
služiti,4
ticati,4
shvatiti,4
sviđati,4
uzdisati,4
glasno,4
pojavljivati,4
dosadno,4
napraviti,4
najzad,4
verovatno,4
radovati,4
iskusiti,4
kuda,4
