infinitive_latin,frequency
biti,55
imati,6
samo,6
znati,5
dati,4
nemati,4
govoriti,3
raditi,3
možda,3
moći,3
smeti,3
koliko,3
hteti,3
sasvim,2
trebati,2
ponekad,2
tamo,2
bojati,2
davno,2
čuvati,2
načiniti,2
morati,2
videti,2
vidjeti,2
pretvarati,2
hraniti,2
stajati,2
zato,2
prolaziti,2
duboko,2
delimično,2
značiti,2
naći,2
svakidašnjnj,1
jedva,1
usuđivati,1
spomenuti,1
sem,1
reći,1
braniti,1
opstati,1
igrati,1
opravdati,1
ići,1
mnogo,1
nepogrešivo,1
osećati,1
pohvastati,1
naprotiv,1
izziveti,1
izopačiti,1
istovetovati,1
proći,1
izići,1
potrzati,1
svejedno,1
ostati,1
činiti,1
zajedno,1
uvek,1
odmaknuti,1
tako,1
izmučiti,1
smejati,1
odavati,1
skriti,1
isključivo,1
uslovljavati,1
naročito,1
retko,1
ući,1
potrošiti,1
zahvatiti,1
pogledati,1
predati,1
okrenuti,1
postajati,1
tada,1
toliko,1
rađati,1
onako,1
urasti,1
izgubiti,1
kud,1
daleko,1
osetljivo,1
obilaziti,1
prolazati,1
naići,1
zastati,1
uzeti,1
spustiti,1
oprezno,1
sačuvati,1
iznositi,1
prodavati,1
kriti,1
sakrivati,1
takođe,1
dignuti,1
objasniti,1
doživljivati,1
često,1
žudno,1
želeti,1
željeti,1
tražiti,1
birati,1
metnuti,1
prerušiti,1
uokviriti,1
ispustiti,1
začas,1
bežati,1
uraditi,1
postaviti,1
pričati,1
zašto,1
slučajno,1
doći,1
kazati,1
rečiti,1
jasno,1
živeti,1
živjeti,1
trošiti,1
nestajati,1
zaboravljati,1
tu,1
danju,1
noću,1
negde,1
