infinitive_latin,frequency
бити,207
само,21
играти,14
доћи,12
говорити,12
још,12
тако,11
пити,11
хтети,10
много,9
чинити,9
моћи,9
проћи,7
смјети,7
држати,7
тући,6
расти,6
гледати,6
једва,6
спавати,6
ићи,5
погодити,5
ући,5
викати,5
видети,5
видјети,5
дрхтати,5
одмах,5
певати,5
пјевати,5
махати,4
мало,4
онда,4
ширити,4
плакати,4
дати,4
опет,4
помало,4
пасти,4
пробудити,4
падати,4
заспати,4
ту,4
немати,4
сједити,4
чути,4
враћати,4
подићи,3
свирати,3
макнути,3
увек,3
увијек,3
долазити,3
звати,3
чекати,3
заједно,3
имати,3
покаткад,3
никад,3
почети,3
ударати,3
понављати,3
пењати,3
синоћ,3
јести,3
помислити,3
смијати,3
знати,3
откако,3
убити,3
никако,3
јако,3
пролазити,3
отварати,3
рећи,3
око,3
морати,3
управо,3
гурати,3
увредити,3
довикивати,3
танцовати,3
будити,3
поигравати,3
затезати,2
гађати,2
излазити,2
сад,2
додавати,2
посматрати,2
мешати,2
често,2
псовати,2
гонити,2
стићи,2
увече,2
бацати,2
порасти,2
испунити,2
стално,2
једнако,2
болити,2
прије,2
смирити,2
пропити,2
доносити,2
продавати,2
готово,2
напити,2
настављати,2
одувек,2
одувијек,2
метати,2
свршавати,2
претити,2
пријетити,2
помагати,2
стизати,2
радити,2
заборављати,2
дуго,2
после,2
послије,2
точити,2
нигде,2
нигдје,2
теглити,2
бацити,2
већ,2
високо,2
обући,2
узети,2
сутра,2
мучити,2
покушавати,2
казати,2
једино,2
оставити,2
наредити,2
овако,2
раширити,2
испустити,2
пипати,2
засвирати,2
сетити,2
сјетити,2
сећи,2
хватати,2
постајати,2
брзо,2
залуд,2
дочекивати,2
осећати,2
осјећати,2
преплитати,2
наређивати,2
отићи,2
трезно,2
прекидати,2
посрчати,2
камо,2
платити,2
седати,2
једном,2
сутрадан,2
савијати,2
отворити,2
силазити,2
далеко,2
нагињати,2
ти-ридати,2
тихо,1
безазлено,1
побијати,1
клати,1
сакупљати,1
провиривати,1
мирно,1
почесити,1
купити,1
постати,1
гадати,1
некад,1
оженити,1
препречити,1
запети,1
прилећи,1
нишанити,1
полако,1
полећи,1
замахнути,1
спустити,1
опсовати,1
нестрпљиво,1
пружати,1
измакнути,1
полугласно,1
мијешати,1
растресено,1
издалека,1
окретати,1
прихваћати,1
плијенити,1
прелазити,1
задивити,1
скочити,1
ишчезнути,1
занети,1
настајати,1
узбуркати,1
живјети,1
вежбати,1
наићи,1
јављати,1
бивати,1
одједном,1
избезумити,1
изгледати,1
претворити,1
пут,1
провалити,1
давно,1
кући,1
онесвестити,1
родити,1
прелијевати,1
надалеко,1
дићи,1
додати,1
помоћи,1
скинути,1
починити,1
облачити,1
служити,1
старити,1
памтити,1
послуживати,1
дворити,1
трабуњати,1
хвалити,1
палити,1
залевати,1
планути,1
прихватити,1
вриштати,1
шаптати,1
затварати,1
протерати,1
променити,1
промијенити,1
посвршавати,1
лако,1
освити,1
дизати,1
помести,1
нанети,1
нанијети,1
ипак,1
јутрос,1
ваљати,1
како,1
треперити,1
зујати,1
љети,1
чити,1
надимати,1
задржавати,1
заноћити,1
запасти,1
оживети,1
оживјети,1
почињати,1
погасити,1
слегнути,1
тумачити,1
познавати,1
смести,1
посјећи,1
мислити,1
кратко,1
уздахнути,1
губити,1
пренети,1
пренијети,1
затрпати,1
измећарити,1
узјашити,1
набавити,1
трчати,1
поњишкивати,1
заклањати,1
избити,1
црћи,1
зовнути,1
огулити,1
закопати,1
очистити,1
толико,1
подизати,1
закључавати,1
позаспити,1
вући,1
ујутро,1
зачепљати,1
попити,1
јечати,1
загледати,1
стер,1
исповједати,1
копати,1
сахрањивати,1
угинути,1
поднимити,1
узалуд,1
камоли,1
громко,1
кружити,1
колико,1
запретити,1
запријетити,1
везати,1
дирнути,1
дахтати,1
слушати,1
потпуно,1
причати,1
сећати,1
сјећати,1
љуто,1
јуче,1
помрети,1
распаљивати,1
повлачити,1
пронети,1
коначно,1
селити,1
изићи,1
начинити,1
заклати,1
метнути,1
гргољити,1
сасушити,1
лагано,1
зашуштити,1
скидошити,1
замезати,1
мезети,1
умакати,1
дотицати,1
одмјерено,1
запалити,1
сукљати,1
онако,1
моребити,1
лагати,1
шатро,1
смешкати,1
видљиво,1
сањати,1
стајати,1
показати,1
балансирати,1
оволико,1
надути,1
отирати,1
издухивати,1
донети,1
донијети,1
настати,1
позеленити,1
отпочети,1
одузимати,1
пресећи,1
наједном,1
вриснути,1
празнити,1
куцати,1
освајати,1
окинути,1
укочити,1
пичтати,1
угасити,1
разгарати,1
кренушити,1
посртати,1
увијати,1
праскати,1
напред,1
напријед,1
танко,1
крунити,1
примицати,1
сједињивати,1
изменити,1
застати,1
удјенути,1
тутњати,1
сручити,1
захукнути,1
водити,1
добро,1
пажљиво,1
разрокати,1
пролевати,1
ражалити,1
вечерас,1
увриједити,1
поједосмити,1
сузити,1
мирити,1
шутити,1
попецети,1
ноћас,1
макар,1
измешати,1
придружити,1
испадати,1
предводити,1
достити,1
овде,1
овдје,1
бијахати,1
побити,1
славити,1
повадити,1
командовати,1
носити,1
усадити,1
корачати,1
несвесно,1
несвјесно,1
мрмљати,1
стигнути,1
тражити,1
помаљати,1
огрнути,1
подрхтавати,1
опколити,1
стати,1
заборавити,1
повратити,1
испети,1
пилити,1
заносити,1
солдати,1
молити,1
лепо,1
споразумјеш,1
поседати,1
запињати,1
запаљивати,1
трептати,1
згледати,1
сједати,1
млатарати,1
разгртати,1
таптати,1
колебати,1
пјаније,1
жмиркати,1
започињати,1
непрестано,1
увити,1
напасти,1
оборити,1
тешко,1
дисати,1
стрести,1
хладити,1
замарати,1
трнути,1
гасити,1
издигнути,1
узбудити,1
огледати,1
подбијати,1
свитати,1
пући,1
вадити,1
одјекивати,1
закуцавати,1
спласнути,1
натоварити,1
кренути,1
задржати,1
стећи,1
узмахивати,1
загрчавати,1
преклињати,1
плачљиво,1
ситно,1
где,1
гдје,1
смети,1
тицати,1
одговарати,1
колутати,1
дјетиње,1
пуно,1
љубити,1
висок,1
истерати,1
одузети,1
прскати,1
јецати,1
цвилити,1
наћи,1
остуденити,1
штинути,1
одвући,1
наставити,1
неколико,1
окренути,1
зајецати,1
нарасти,1
касно,1
начас,1
иначе,1
ишчезавати,1
наступати,1
пробијати,1
затитрати,1
смешно,1
смијешно,1
узимати,1
сићи,1
упутити,1
миловати,1
испрсити,1
бљештати,1
сијети,1
намучити,1
гласно,1
весело,1
лево,1
лијево,1
десно,1
ти-радати,1
чаршилије,1
здраво,1
сванути,1
писати,1
будала,1
поздравити,1
уситнити,1
напола,1
залијевати,1
слијевати,1
