infinitive_latin,frequency
biti,108
spavati,19
reći,13
hteti,9
gledati,9
znati,9
opet,8
probuditi,6
živeti,6
već,5
tamo,5
vidjeti,5
živjeti,5
postati,5
potom,5
trebati,5
takođe,4
odgovoriti,4
pitati,4
tada,4
rasti,4
usnuti,4
nemati,4
ispričati,4
sad,4
raditi,3
ležati,3
mnogo,3
govoriti,3
videti,3
dugo,3
ostati,3
razmišljati,3
samo,3
zaspati,3
shvatiti,3
zašto,2
oslabiti,2
morati,2
dosadno,2
hodati,2
disati,2
ići,2
uspavljivati,2
tu,2
početi,2
buditi,2
tiho,2
mirisati,2
sići,2
zaustaviti,2
zapitati,2
dati,2
prisetiti,2
krenuti,2
sada,2
zamisliti,2
ovde,2
odjednom,2
nabrati,2
moći,2
bojati,2
osmehnuti,2
koliko,2
odneti,2
dosaditi,1
danju,1
noću,1
izjutra,1
pojesti,1
pridremati,1
naspavati,1
zatvarati,1
razgovarati,1
faliti,1
sklapati,1
napolju,1
gorjeti,1
precvetati,1
rascvetati,1
nastaniti,1
stati,1
pomesti,1
poterati,1
odatle,1
odvojiti,1
otvoriti,1
ravnodušno,1
svetliti,1
zamoliti,1
posaditi,1
prekriti,1
otići,1
okružiti,1
jesti,1
prilaziti,1
peći,1
slušati,1
kretati,1
želeti,1
željeti,1
moliti,1
promisliti,1
zaboraviti,1
izustiti,1
pozivati,1
setiti,1
ućutati,1
afonjati,1
popeti,1
šaptati,1
umoriti,1
priviti,1
uvideti,1
ustajati,1
međutim,1
sklopiti,1
pomisliti,1
onda,1
poželiti,1
nikad,1
potpuno,1
iščekivati,1
tiktakati,1
škriputati,1
pevuckati,1
klatno,1
čuti,1
otkivati,1
prefinjeno,1
zujati,1
osvrtjeti,1
lupkarati,1
umreti,1
veli,1
pričekati,1
malo,1
popiti,1
obići,1
ispiti,1
uzeti,1
kretošiti,1
napolje,1
stajati,1
visoko,1
osvetljavati,1
povesti,1
izaći,1
gde,1
strpljivo,1
pokazati,1
sagnuti,1
oprezno,1
dotakati,1
događati,1
rasrditi,1
načiniti,1
pretvarati,1
otkuda,1
dolaziti,1
prerađivati,1
činiti,1
podjednako,1
pomagati,1
sazreti,1
služiti,1
držati,1
odnesti,1
raniti,1
izlečiti,1
izraditi,1
misliti,1
dizati,1
ispuštati,1
kući,1
sigurno,1
poželeti,1
umrijeti,1
saznati,1
oživeti,1
nevidljivo,1
sakupiti,1
boleti,1
pokloniti,1
češljati,1
složiti,1
ćutke,1
još,1
prećutkivati,1
krotko,1
pogladiti,1
pogledati,1
sakrati,1
