original,clean,latin,frequency
је,je,488
су,su,158
није,nije,58
би,bi,40
сам,sam,38
било,bilo,32
ће,će,24
био,bio,20
može,može,20
била,bila,18
Видим,Vidim,18
има,ima,16
нема,nema,14
бити,biti,14
живи,živi,12
долази,dolazi,12
treba,treba,12
говорио,govorio,10
живе,žive,10
си,si,10
ради,radi,10
zna,zna,10
види,vidi,10
bili,bili,9
Био,Bio,8
рекао,rekao,8
nisu,nisu,8
могло,moglo,8
neće,neće,8
vidim,vidim,8
смо,smo,8
мислим,mislim,6
преквалификујем,prekvalifikujem,6
Приметио,Primetio,6
суувек,suuvek,6
расположени,raspoloženi,6
иде,ide,6
тражим,tražim,6
Има,Ima,6
волео,voleo,6
расте,raste,6
мисле,misle,6
вратити,vratiti,6
имала,imala,6
води,vodi,6
живео,živeo,6
снађе,snađe,6
купи,kupi,6
врши,vrši,6
izgleda,izgleda,6
pita,pita,6
Bilo,Bilo,6
лупа,lupa,6
proteže,proteže,6
stvaraju,stvaraju,6
мора,mora,6
престају,prestaju,6
нећемо,nećemo,6
Није,Nije,5
rečeno,rečeno,5
čekali,čekali,5
Остадох,Ostadoh,4
Сретнем,Sretnem,4
служио,služio,4
мислио,mislio,4
могу,mogu,4
питао,pitao,4
живела,živela,4
сијала,sijala,4
светлуцале,svetlucale,4
чувају,čuvaju,4
дише,diše,4
седи,sedi,4
навикао,navikao,4
мислећи,misleći,4
нећу,neću,4
живите,živite,4
ћу,ću,4
ћемо,ćemo,4
спава,spava,4
радио,radio,4
имао,imao,4
морао,morao,4
пио,pio,4
Била,Bila,4
изашао,izašao,4
живели,živeli,4
Може,Može,4
видети,videti,4
буде,bude,4
нашла,našla,4
nosili,nosili,4
osećamo,osećamo,4
zovu,zovu,4
Превео,Preveo,4
жели,želi,4
смирају,smiraju,4
појавише,pojaviše,4
беше,beše,4
постоји,postoji,4
заборавила,zaboravila,4
LEŽI,LEŽI,4
NEĆE,NEĆE,4
OTVORITI,OTVORITI,4
JE,JE,4
morati,morati,4
umre,umre,4
