infinitive_latin,frequency
бити,7717
моћи,476
хтети,432
само,389
много,369
још,350
тако,325
имати,272
ту,234
већ,213
знати,202
видети,198
говорити,179
гледати,154
остати,151
видјети,149
изгледати,143
сада,143
ићи,139
добро,138
увек,131
требати,131
доћи,125
казати,122
почети,119
опет,116
тада,116
немати,115
сад,111
радити,111
далеко,109
мало,108
где,105
живети,98
морати,97
пут,96
одмах,92
неколико,91
потпуно,91
никад,89
мислити,89
долазити,82
дати,80
стати,76
брзо,75
чути,74
проћи,74
онда,73
слушати,73
стајати,70
живјети,70
наћи,69
одједном,68
затим,68
седети,66
тражити,66
често,64
тамо,64
осећати,64
колико,63
водити,62
овде,61
носити,61
толико,60
дуго,60
чекати,59
чинити,58
прећи,56
држати,56
лако,55
налазити,51
исто,50
тешко,50
постати,50
волети,49
враћати,49
одговарати,49
управо,48
пролазити,48
овако,48
расти,47
играти,47
певати,47
негде,47
стићи,46
питати,46
онако,45
нарочито,45
заиста,43
отићи,43
заједно,43
вољети,42
готово,42
рећи,42
отворити,41
некад,41
бранити,41
ипак,41
погледати,41
одавно,41
губити,40
једном,40
викати,40
дизати,40
десити,40
изгубити,40
поново,38
причати,37
падати,37
одлазити,37
везати,36
зато,36
бивати,36
прелазити,36
посматрати,35
желети,35
умети,35
дешавати,35
нагло,35
значити,35
служити,34
лежати,34
учинити,33
наићи,33
читати,33
мењати,33
веровати,32
остајати,32
вратити,32
сматрати,32
мучити,32
иначе,31
одувек,31
напустити,31
непрестано,31
подизати,31
рано,31
пити,31
седити,31
смести,30
стално,30
пратити,30
споро,30
мирно,30
осетити,30
подићи,29
уопште,29
ноћу,29
ћутати,29
давати,29
кренути,29
разумети,28
постојати,28
казивати,28
заборавити,28
настати,28
звати,27
памтити,27
бежати,27
трајати,27
застати,27
доносити,27
узети,27
бацити,27
делити,27
разговарати,27
спуштати,26
горе,26
некако,26
зауставити,26
кретати,26
затворити,25
обично,25
доле,25
заборављати,25
нестати,25
личити,25
ударити,25
кући,25
окренути,25
ширити,24
тећи,24
спавати,24
најпосле,24
изићи,24
пасти,24
писати,24
рушити,23
сувише,23
показивати,23
повући,23
провести,23
добити,23
заувек,23
јављати,23
данас,23
једнако,23
свршити,23
излазити,22
лепо,22
ухватити,22
хватати,22
чувати,22
остављати,22
помислити,22
тихо,22
пажљиво,22
отварати,22
познавати,22
почињати,21
јасно,21
мешати,21
жељети,21
свуда,21
успети,21
угледати,21
помишљати,21
створити,21
пуштати,21
после,21
примати,21
одговорити,21
крити,21
улазити,21
настојати,21
наредити,21
стварати,20
донети,20
јавити,20
умрети,20
испунити,20
поћи,20
узалуд,20
ваљати,20
понети,20
вршити,20
дотле,20
помоћи,20
прићи,20
пушити,20
пријећи,20
око,19
плакати,19
оставити,19
тврдити,19
помагати,19
показати,19
