base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
gledati,izgledati,iz,392,305
činiti,učiniti,u,1856,834
pitati,upitati,u,268,33
govoriti,odgovoriti,od,1638,376
laziti,nalaziti,na,1,3554
laziti,dolaziti,do,1,1044
staviti,nastaviti,na,357,1263
gubiti,izgubiti,iz,165,364
biti,dobiti,do,197977,2440
laziti,odlaziti,od,1,163
boraviti,zaboraviti,za,346,214
laziti,prolaziti,pro,1,275
vršiti,završiti,za,770,810
stati,ustati,u,141,35
dati,dodati,do,1431,893
naći,pronaći,pro,816,1026
praviti,napraviti,na,255,817
goditi,dogoditi,do,4,258
lučiti,odlučiti,od,6,686
ustaviti,zaustaviti,za,40,173
gledati,ugledati,u,392,48
znati,saznati,sa,1647,569
laziti,izlaziti,iz,1,210
raditi,uraditi,u,4247,696
biti,ubiti,u,197977,92
tvoriti,zatvoriti,za,2,132
misliti,zamisliti,za,921,156
stati,prestati,pre,141,217
pisati,napisati,na,458,232
vući,izvući,iz,6,29
čitati,pročitati,pro,154,284
vesti,provesti,pro,11,278
ići,izići,iz,644,6
buditi,probuditi,pro,154,67
vratiti,odvratiti,od,691,14
kinuti,prekinuti,pre,25,107
pustiti,napustiti,na,126,227
držati,zadržati,za,319,237
znati,priznati,pri,1647,213
laziti,ulaziti,u,1,242
učiti,naučiti,na,238,400
miti,primiti,pri,3,426
vesti,dovesti,do,11,638
padati,pripadati,pri,106,403
putiti,uputiti,u,40,524
vesti,odvesti,od,11,61
veriti,uveriti,u,1,113
stati,zastati,za,141,18
stavljati,nastavljati,na,221,385
viknuti,uzviknuti,uz,897,5
imati,uzimati,uz,11939,173
tvoriti,pretvoriti,pre,2,134
teći,zateći,za,92,41
smejati,nasmejati,na,2,17
rediti,odrediti,od,20,291
dati,predati,pre,1431,160
laziti,prelaziti,pre,1,163
čekati,sačekati,sa,348,45
čuti,začuti,za,517,1
ići,naići,na,644,92
gađati,događati,do,10,88
stojati,nastojati,na,32,189
nositi,donositi,do,599,601
gledati,zagledati,za,392,4
plašiti,uplašiti,u,81,12
govoriti,izgovoriti,iz,1638,44
rediti,narediti,na,20,49
bediti,ubediti,u,12,41
viknuti,naviknuti,na,897,995
stati,nastati,na,141,570
bližiti,približiti,pri,6,97
pitati,zapitati,za,268,37
