Reversed left context,Reversed center,Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Sphere,Type,Topic,Publication,Publ_year,Medium,Ambiguity,Header.1,Author_trans,Header_trans,Translator,Date_trans,Sentences,Words,Orig_sentences,Orig_words,Lang,Lang_trans,Lang_variant,Dialect,Full context,Example source,Para context 1,Lang 1,Para context 2,Lang 2,verb_latin
 …,ходатсО,…,Остадох, ,ја без посла.,Сергей Довлатов. Компромисс (1981),Сергей Довлатов,1941,Компромисс,1981,художественная,,,,,,омонимия не снята,Компромисс,Сергеј Довлатов,Компромис,,2018,12910,72514,6455,33804,srp,srp,Сербия,,"Н. С. Довлатовој — за све муке! … Остадох ја без посла.  Да се можда, мислим се, преквалификујем за кројача?",27f6800b3248a940cb7f8f1bfb9daf78:3:0,"Н. С. Довлатовой ― за все мучения! … И остался я без работы. Может, думаю, на портного выучиться? ",rus," N. S. Dovlatovoj — za sve muke! … Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača? ",srp (translit),Ostadoh
" ,аджом ес аД ",милсим,"Да се можда,",мислим, ,"се, преквалификујем за кројача?",Сергей Довлатов. Компромисс (1981),Сергей Довлатов,1941,Компромисс,1981,художественная,,,,,,омонимия не снята,Компромисс,Сергеј Довлатов,Компромис,,2018,12910,72514,6455,33804,srp,srp,Сербия,,"… Остадох ја без посла.  Да се можда, мислим се, преквалификујем за кројача?",27f6800b3248a940cb7f8f1bfb9daf78:5:3,"Н. С. Довлатовой ― за все мучения! … И остался я без работы. Может, думаю, на портного выучиться? ",rus," N. S. Dovlatovoj — za sve muke! … Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača? ",srp (translit),mislim
" ,ес милсим ,аджом ес аД ",мејукифилавкерп,"Да се можда, мислим се,",преквалификујем, ,за кројача?,Сергей Довлатов. Компромисс (1981),Сергей Довлатов,1941,Компромисс,1981,художественная,,,,,,омонимия не снята,Компромисс,Сергеј Довлатов,Компромис,,2018,12910,72514,6455,33804,srp,srp,Сербия,,"… Остадох ја без посла.  Да се можда, мислим се, преквалификујем за кројача?",27f6800b3248a940cb7f8f1bfb9daf78:5:5,"Н. С. Довлатовой ― за все мучения! … И остался я без работы. Может, думаю, на портного выучиться? ",rus," N. S. Dovlatovoj — za sve muke! … Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača? ",srp (translit),prekvalifikujem
 …,hodatsO,…,Ostadoh, ,ja bez posla.,Сергей Довлатов. Компромисс (1981),Сергей Довлатов,1941,Компромисс,1981,художественная,,,,,,омонимия не снята,Компромисс,Сергеј Довлатов,Компромис,,2018,12910,72514,6455,33804,srp (translit),srp,Сербия,,"N. S. Dovlatovoj — za sve muke! … Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?",27f6800b3248a940cb7f8f1bfb9daf78:3:0,"Н. С. Довлатовой ― за все мучения! … И остался я без работы. Может, думаю, на портного выучиться? ",rus," Н. С. Довлатовој — за све муке! … Остадох ја без посла.  Да се можда, мислим се, преквалификујем за кројача? ",srp,Ostadoh
" ,adžom es aD ",milsim,"Da se možda,",mislim, ,"se, prekvalifikujem za krojača?",Сергей Довлатов. Компромисс (1981),Сергей Довлатов,1941,Компромисс,1981,художественная,,,,,,омонимия не снята,Компромисс,Сергеј Довлатов,Компромис,,2018,12910,72514,6455,33804,srp (translit),srp,Сербия,,"… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?",27f6800b3248a940cb7f8f1bfb9daf78:5:3,"Н. С. Довлатовой ― за все мучения! … И остался я без работы. Может, думаю, на портного выучиться? ",rus," Н. С. Довлатовој — за све муке! … Остадох ја без посла.  Да се можда, мислим се, преквалификујем за кројача? ",srp,mislim
" ,es milsim ,adžom es aD ",mejukifilavkerp,"Da se možda, mislim se,",prekvalifikujem, ,za krojača?,Сергей Довлатов. Компромисс (1981),Сергей Довлатов,1941,Компромисс,1981,художественная,,,,,,омонимия не снята,Компромисс,Сергеј Довлатов,Компромис,,2018,12910,72514,6455,33804,srp (translit),srp,Сербия,,"… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?",27f6800b3248a940cb7f8f1bfb9daf78:5:5,"Н. С. Довлатовой ― за все мучения! … И остался я без работы. Может, думаю, на портного выучиться? ",rus," Н. С. Довлатовој — за све муке! … Остадох ја без посла.  Да се можда, мислим се, преквалификујем за кројача? ",srp,prekvalifikujem
 …,ходатсО,…,Остадох, ,ја без посла.,Сергей Довлатов. Компромисс (1981),Сергей Довлатов,1941,Компромисс,1981,художественная,,,,,,омонимия не снята,Компромисс,Сергеј Довлатов,Компромис,,2018,12910,72514,6455,33804,srp,srp,Сербия,,"… Остадох ја без посла.  Да се можда, мислим се, преквалификујем за кројача?",27f6800b3248a940cb7f8f1bfb9daf78:3:0,"… И остался я без работы. Может, думаю, на портного выучиться? Я заметил ― у портных всегда хорошее настроение… ",rus,"… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi… ",srp (translit),Ostadoh
" ,аджом ес аД ",милсим,"Да се можда,",мислим, ,"се, преквалификујем за кројача?",Сергей Довлатов. Компромисс (1981),Сергей Довлатов,1941,Компромисс,1981,художественная,,,,,,омонимия не снята,Компромисс,Сергеј Довлатов,Компромис,,2018,12910,72514,6455,33804,srp,srp,Сербия,,"… Остадох ја без посла.  Да се можда, мислим се, преквалификујем за кројача?  Приметио сам — кројачи суувек добро расположени…",27f6800b3248a940cb7f8f1bfb9daf78:5:3,"… И остался я без работы. Может, думаю, на портного выучиться? Я заметил ― у портных всегда хорошее настроение… ",rus,"… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi… ",srp (translit),mislim
" ,ес милсим ,аджом ес аД ",мејукифилавкерп,"Да се можда, мислим се,",преквалификујем, ,за кројача?,Сергей Довлатов. Компромисс (1981),Сергей Довлатов,1941,Компромисс,1981,художественная,,,,,,омонимия не снята,Компромисс,Сергеј Довлатов,Компромис,,2018,12910,72514,6455,33804,srp,srp,Сербия,,"… Остадох ја без посла.  Да се можда, мислим се, преквалификујем за кројача?  Приметио сам — кројачи суувек добро расположени…",27f6800b3248a940cb7f8f1bfb9daf78:5:5,"… И остался я без работы. Может, думаю, на портного выучиться? Я заметил ― у портных всегда хорошее настроение… ",rus,"… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi… ",srp (translit),prekvalifikujem
 ,оитемирП,,Приметио, ,сам — кројачи суувек добро расположени…,Сергей Довлатов. Компромисс (1981),Сергей Довлатов,1941,Компромисс,1981,художественная,,,,,,омонимия не снята,Компромисс,Сергеј Довлатов,Компромис,,2018,12910,72514,6455,33804,srp,srp,Сербия,,"Да се можда, мислим се, преквалификујем за кројача?  Приметио сам — кројачи суувек добро расположени…",27f6800b3248a940cb7f8f1bfb9daf78:7:0,"… И остался я без работы. Может, думаю, на портного выучиться? Я заметил ― у портных всегда хорошее настроение… ",rus,"… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi… ",srp (translit),Primetio
