infinitive_latin,frequency
biti,26
moliti,4
možda,4
moći,4
trebati,3
doći,3
imati,3
nemati,3
nekoliko,2
ponekad,2
tamo,2
gde,2
naročito,2
samo,2
toliko,2
onda,2
priznati,2
unazad,2
malo,2
spomenuti,1
setiti,1
prelaziti,1
ujedno,1
ipak,1
dodati,1
zamoliti,1
sačuvati,1
mimoići,1
dovoljno,1
drukčije,1
vovesti,1
volo,1
iskušen,1
izbaviti,1
smetati,1
dodirnuti,1
ubrajati,1
retko,1
naći,1
reći,1
klasifikovati,1
tačno,1
zapravo,1
itd.,1
počinjati,1
završivati,1
potirati,1
osložiti,1
mnogo,1
proždirati,1
očas,1
osvojiti,1
razgnjeviti,1
dohvatati,1
zamisliti,1
ponašati,1
ludačktđ,1
izmišljati,1
znati,1
štaje,1
jurnuti,1
zamrsiti,1
zagušiti,1
udaviti,1
zbacivati,1
morati,1
nositi,1
učiniti,1
okretati,1
svoditi,1
postajati,1
stvarati,1
govoriti,1
pisati,1
davati,1
proći,1
valjati,1
opširno,1
razmisliti,1
gubiti,1
istrajati,1
skočiti,1
okrenuti,1
uletiti,1
vijedak,1
potražiti,1
značiti,1
