infinitive_latin,frequency
бити,6360
моћи,438
хтети,336
имати,294
само,268
тако,262
знати,237
много,194
рећи,167
видети,163
још,148
већ,131
тада,124
увек,119
где,114
говорити,110
носити,106
мислити,102
сада,99
чути,98
доћи,96
наћи,94
потом,83
сањати,83
видјети,81
морати,77
добро,77
требати,76
ићи,76
почети,76
узети,73
казати,73
остати,71
немати,69
читати,69
дати,67
ту,66
тамо,64
стајати,63
колико,63
мало,62
упитати,62
умрети,61
писати,61
опет,61
лежати,58
држати,57
овде,56
сматрати,55
гледати,55
никада,54
живети,54
долазити,53
звати,52
тражити,52
пут,52
постојати,50
када,49
толико,49
узимати,45
постати,45
далеко,45
чекати,44
најзад,43
ући,42
учинити,42
сасвим,42
пасти,41
закључити,41
веома,40
међутим,40
схватити,39
радити,39
умријети,38
прочитати,38
заједно,38
отићи,38
вратити,38
брзо,38
одмах,38
данас,37
осећати,37
начинити,36
добити,35
гласити,35
зато,35
значити,35
убити,35
сачувати,34
можда,34
поново,34
негде,33
давати,33
примити,33
учити,33
неколико,33
дуго,32
јести,32
умирати,32
једном,32
умети,32
понекад,32
показати,32
изгледати,31
тврдити,31
чинити,31
исто,31
припадати,31
онда,31
догодити,31
онако,30
волети,30
рано,30
расти,29
користити,29
стићи,29
седети,29
ставити,28
оставити,28
одједном,28
служити,28
осетити,28
послати,28
срести,28
прећи,27
кренути,27
падати,27
живјети,27
питати,27
лепо,27
спавати,26
ипак,26
уопште,26
објаснити,26
зашто,26
бележити,25
налазити,25
одавно,25
водити,25
бавити,25
мењати,25
касно,25
прихватити,25
помињати,24
вољети,24
заувек,23
такође,23
научити,23
ноћу,23
често,23
певати,23
називати,22
објавити,22
пробудити,22
записати,22
остајати,22
потпуно,22
слушати,22
свирати,22
давно,21
тећи,21
саставити,21
представљати,21
променити,21
како,21
показивати,21
разумети,21
створити,20
тешко,20
враћати,20
бацити,20
пустити,20
узвратити,20
завршити,20
једва,19
позвати,19
губити,19
опазити,19
веровати,19
јављати,19
отуда,19
одговорити,19
исписати,19
напустити,19
упамтити,19
пуштати,19
спасти,19
постајати,19
пратити,19
лако,19
обично,18
појавити,18
одговарати,18
ухватити,18
молити,18
забележити,18
наредити,18
погледати,18
сећати,18
око,18
једино,18
приметити,18
сести,17
донети,17
сликати,17
додуше,17
замислити,17
овако,17
бројати,17
нарочито,17
најпре,17
помислити,17
изаћи,17
никад,16
добијати,16
препознати,16
доиста,16
родити,16
седити,16
остављати,16
познавати,16
трајати,15
склопити,15
уништити,15
открити,15
излазити,15
окренути,15
повремено,15
десити,15
наводити,15
покушавати,15
наићи,15
стати,15
проверити,15
односити,15
почињати,15
личити,15
помоћи,15
отворити,14
ишчезнути,14
насликати,14
поделити,14
стављати,14
очигледно,14
поћи,14
наравно,14
дубоко,14
сувише,14
дознати,14
назвати,14
сад,14
одакле,14
извести,14
стално,14
узалуд,14
некада,14
сетити,14
селити,14
окретати,14
делити,14
гонити,13
одлучити,13
напамет,13
пазити,13
иначе,13
учествовати,13
другачије,13
пола,13
