infinitive_latin,frequency
biti,142
reći,16
hteti,15
pogledati,9
brinuti,7
naći,7
onda,6
imati,5
misliti,5
početi,4
otići,4
uzeti,4
podizati,4
još,3
kada,3
pitati,3
ovako,3
gde,3
možda,3
znati,3
mnogo,3
doći,3
samo,3
iznenada,2
doneti,2
živeti,2
levo,2
igrati,2
primetiti,2
obratiti,2
značiti,2
naravno,2
tako,2
žaliti,2
sutra,2
pojaviti,2
zapustiti,2
upitati,2
otkriti,2
zašto,2
niklovati,2
gledati,2
blistati,2
radovati,2
zadrhtati,1
pozvati,1
uznemiriti,1
davno,1
prekinuti,1
izaći,1
odvijati,1
zapadno,1
oko,1
dosta,1
konačno,1
juče,1
zujati,1
kotrljati,1
uslediti,1
zaključiti,1
javljati,1
želeti,1
željeti,1
mucati,1
zvučati,1
nekako,1
uključivati,1
isključivati,1
ići,1
desno,1
shvatiti,1
postojati,1
unazad,1
uvek,1
odgovoriti,1
otrčati,1
dodirnuti,1
rolovati,1
izletati,1
učiniti,1
okrenuti,1
naglo,1
odupirati,1
isključiti,1
ostaviti,1
čekati,1
zatim,1
tu,1
dolaziti,1
čuti,1
javiti,1
već,1
naigrati,1
oduševiti,1
ležati,1
iznenaditi,1
opet,1
kako,1
spavati,1
piti,1
moći,1
zamisliti,1
verovatno,1
spustiti,1
pasti,1
udisati,1
utisnuti,1
donijeti,1
tešiti,1
kupiti,1
koliko,1
zainteresovati,1
veoma,1
podići,1
pregledati,1
rano,1
ujutro,1
propasti,1
ući,1
izabrati,1
vratiti,1
predati,1
prilično,1
cepati,1
pronaćd,1
otvarati,1
zapitati,1
veselo,1
staviti,1
nazad,1
ubaciti,1
zaglaviti,1
dopasti,1
izgovoriti,1
tamo,1
dugo,1
gurati,1
iščačkati,1
podsećati,1
ponoviti,1
ukratko,1
pretvoriti,1
pojavljivati,1
delovati,1
sanjati,1
nagrnuti,1
opasno,1
podignuti,1
nemati,1
osećati,1
telefonirati,1
sećati,1
dati,1
izgledati,1
mizerabl,1
doterati,1
skoro,1
porasti,1
pokloniti,1
potpuno,1
pogrbiti,1
mahati,1
tiho,1
pokretati,1
razjasniti,1
odvući,1
blago,1
izvući,1
sada,1
često,1
viđati,1
približavati,1
razgovarati,1
privlačiti,1
polako,1
nežno,1
zdriti,1
padati,1
tresti,1
šapnuti,1
strpiti,1
jednom,1
završiti,1
