infinitive_latin,frequency
biti,130
mnogo,11
moći,10
samo,10
videti,9
ceniti,8
raditi,8
znati,8
gledati,8
još,8
dobro,7
vidjeti,7
sad,7
trpeti,6
tako,6
voditi,6
imati,6
početi,6
činiti,5
ostajati,5
izgubiti,5
uveličavati,4
nekada,4
onda,4
drukčije,4
svršiti,4
pasti,4
ujedno,4
ostati,4
postati,4
priznati,4
koliko,3
zamišljati,3
snaći,3
morati,3
opet,3
potpuno,3
ući,3
posmatrati,3
naravno,3
hteti,3
stradati,3
lako,3
živeti,3
živjeti,3
rano,3
naći,3
doći,3
nositi,3
sasvim,3
verovati,3
tvrditi,2
boliti,2
skoro,2
tačno,2
nemati,2
iznositi,2
želeti,2
željeti,2
potsetiti,2
ticati,2
pratiti,2
tamo,2
zatim,2
držati,2
nekako,2
tu,2
naročito,2
pomagati,2
stajati,2
svakako,2
razdvojiti,2
teško,2
povući,2
smiriti,2
uticati,2
odjedared,2
poći,2
razdeliti,2
značiti,2
mirno,2
postepeno,2
negde,2
voleti,2
bivati,2
mučiti,2
malo,2
očekivati,2
otkad,2
otvoriti,2
odmarati,2
govoriti,2
uzeti,1
igrati,1
zasada,1
smatrati,1
živo,1
postajati,1
užasavati,1
makako,1
znatno,1
serazlikovati,1
nigi,1
umirati,1
ljuljati,1
delimično,1
rušiti,1
posle,1
uspostavljati,1
nreslagati,1
postojati,1
istovremeno,1
izolovati,1
podizati,1
vrlo,1
inspirisati,1
isdunjavati,1
obarati,1
potcenjivati,1
sadržati,1
egzistovati,1
ostvarivati,1
nekoliko,1
potsećati,1
obavljati,1
ponekad,1
lično,1
stvoriti,1
odbiti,1
pozivati,1
izdržavati,1
diviti,1
glasno,1
ponavljati,1
primiti,1
razgovarati,1
zabavljati,1
iormalno,1
useliti,1
deliti,1
pridobijati,1
izabrati,1
kasno,1
uzimati,1
lepo,1
kazati,1
izmeniti,1
ozariti,1
umanjiti,1
razbiti,1
trebati,1
iskusiti,1
proći,1
čitati,1
misliti,1
zavaždati,1
pogoditi,1
stvarno,1
vezati,1
ikad,1
poštediti,1
davati,1
ovde,1
navoditi,1
pevati,1
nikada,1
stupati,1
čuvati,1
poznavati,1
osnivati,1
izreći,1
dosta,1
brzo,1
izjednačivati,1
dočekivati,1
strpljivo,1
nehotice,1
dotle,1
dosetiti,1
dovršiti,1
izvesti,1
izrasti,1
provresti,1
produžiti,1
umoriti,1
postiditi,1
raspoložiti,1
sakriti,1
dolaziti,1
dugo,1
preurediti,1
prozliti,1
razviti,1
cepati,1
raskidati,1
predati,1
tražiti,1
opstojati,1
projicirati,1
padati,1
već,1
odbaciti,1
upoznavati,1
prestajati,1
važiti,1
zaboravljati,1
okrnjiti,1
uravnotežavati,1
izravnjivati,1
pronaći,1
roditi,1
obrađivati,1
razumevati,1
slušati,1
jasno,1
puno,1
otkrivati,1
osiromašiti,1
pomiriti,1
razumeti,1
zajedno,1
vanredno,1
dopunjavati,1
osetisati,1
ikada,1
mnogostruko,1
zabeležiti,1
razlikovati,1
kuda,1
čuti,1
dobiti,1
doživeti,1
doživjeti,1
duhovno,1
gubiti,1
zatirati,1
toliko,1
skraćivati,1
sužavati,1
oko,1
razbijati,1
menjati,1
tužiti,1
zapitati,1
zadirati,1
najzad,1
odgovarati,1
strepeti,1
nisko,1
mučno,1
zakretati,1
podešavati,1
zažmuriti,1
tad,1
opustiti,1
prestati,1
odavati,1
popraviti,1
odnosno,1
vratiti,1
započiti,1
kretati,1
pre,1
pipati,1
zašto,1
madečno,1
žao,1
zatvoriti,1
kako,1
objasniti,1
oslepiti,1
oslepeti,1
daleko,1
napuštati,1
zapažati,1
čisto,1
zaista,1
otada,1
dati,1
zaboraviti,1
varati,1
odricati,1
udariti,1
iznenaditi,1
ulaziti,1
dosuditi,1
visoko,1
okrenuti,1
osećati,1
osuditi,1
nastupati,1
svršavati,1
proizići,1
zaključivati,1
reći,1
potezati,1
pokazati,1
donositi,1
davno,1
često,1
odmoriti,1
takođe,1
čink,1
gore,1
