infinitive_latin,frequency
бити,525
моћи,51
хтети,39
само,34
тако,31
знати,27
много,25
видети,19
гледати,19
још,19
ту,19
увек,16
никад,15
јавити,14
живети,14
опет,14
немати,14
казати,14
већ,13
мислити,13
пут,12
чинити,12
предати,12
видјети,11
стајати,11
имати,11
одједном,10
изгледати,9
постојати,9
јављати,9
тада,9
лежати,9
онда,9
очекивати,8
негде,8
губити,8
потпуно,8
где,8
морати,8
носити,8
дуго,8
живјети,7
чути,7
угледати,7
бивати,7
пратити,7
затим,7
доћи,7
мало,7
изгубити,7
говорити,7
путовати,7
отворити,6
неколико,6
ући,6
долазити,6
сада,6
један,6
расти,6
седети,6
пролазити,6
ићи,6
учинити,6
ипак,6
волети,6
рећи,6
кретати,6
требати,6
заиста,6
дизати,5
добро,5
чекати,5
питати,5
толико,5
наћи,5
готово,5
ретко,5
осећати,5
често,5
почети,5
почињати,5
САД,5
спавати,5
вратити,5
падати,5
остати,5
тражити,5
непрестано,5
како,5
вољети,5
дешавати,5
понекад,4
звати,4
пити,4
нестати,4
нестајати,4
слутити,4
задржати,4
напуштати,4
угасити,4
лако,4
возити,4
прићи,4
заједно,4
заспати,4
брзо,4
простирати,4
посматрати,4
одлазити,4
стално,4
писати,4
успети,3
после,3
навићи,3
одмицати,3
дати,3
чуло,3
мењати,3
ухватити,3
ноћу,3
разабрати,3
осетити,3
поново,3
радити,3
зато,3
далеко,3
почивати,3
нагло,3
споро,3
новпост,3
око,3
неповратно,3
сагледати,3
зауставити,3
тећи,3
постати,3
срести,3
пола,3
помислити,3
колико,3
узалуд,3
понети,3
примити,3
кренути,3
назирати,3
одавно,3
признати,3
трајати,3
водити,3
изговарати,3
изговорити,3
уопште,3
будити,3
напола,2
мирно,2
наговештавати,2
окретати,2
уживати,2
никада,2
појављивати,2
лично,2
значити,2
једав,2
тешко,2
исто,2
тачно,2
сићи,2
уредити,2
враћати,2
наслућивати,2
борити,2
оборити,2
несвесно,2
бацити,2
пасти,2
запалити,2
усиљавати,2
миран,2
надати,2
пре,2
бацати,2
чврсто,2
смео,2
кружити,2
мучити,2
помагати,2
остајати,2
овако,2
снивати,2
сести,2
личити,2
брисати,2
срећно,2
заборавити,2
спазити,2
лепо,2
повијати,2
примицати,2
неосетно,2
обузети,2
положити,2
тихо,2
узбудити,2
нечујно,2
загледати,2
можда,2
појавити,2
умети,2
сместити,2
оживети,2
упорно,2
преливати,2
осветлити,2
чула,2
иначе,2
остављати,2
доцнија,2
стојећи,2
никако,2
приметити,2
остваривати,2
прелазити,2
делити,2
одлетети,2
хватати,2
стварати,2
онако,2
вредити,2
погледати,2
разгледати,2
утврдити,2
платити,2
устати,2
десити,2
гласно,2
радосно,2
затворити,2
једнако,2
лево,2
десно,2
пробијати,2
тамо,2
налазити,2
варати,2
стигнути,2
ваљати,2
јурити,2
икад,2
стизати,2
желети,2
отварати,2
пренути,2
стварно,2
нарочито,2
блиско,2
разумети,2
схватити,2
трудити,2
изостати,2
наилазити,2
прочитати,2
новусти,2
читати,2
прекидати,2
НЕМА,1
однекуд,1
залутати,1
насмешити,1
дадати,1
посве,1
мина,1
неописиво,1
неизрециво,1
наравно,1
утонути,1
давати,1
прежалити,1
преболети,1
боловати,1
опажати,1
памтити,1
причати,1
називати,1
искључиво,1
врло,1
свакодневно,1
покрити,1
скраћивати,1
указати,1
бледити,1
уткивати,1
умирати,1
поучити,1
устајати,1
сумњати,1
наступити,1
дувати,1
смиривати,1
обрачунати,1
непомично,1
кућа,1
стећи,1
владати,1
немоћно,1
спремити,1
одавати,1
рид,1
претрнуо,1
посегнути,1
планути,1
тренутно,1
обасјати,1
попреко,1
очевидно,1
спузнути,1
свлачити,1
огрнути,1
уђати,1
почити,1
распоређивати,1
огрнушити,1
рђаво,1
вечерати,1
немирно,1
отказивати,1
ронити,1
дубоко,1
прегазити,1
спасти,1
изићи,1
недовољно,1
хладити,1
загрејати,1
помакнути,1
одатле,1
делимично,1
осветљавати,1
застајкивати,1
провести,1
Скочих,1
уплести,1
откинути,1
дотакнути,1
протрнути,1
пренесох,1
ниш,1
повлачити,1
увидети,1
одводити,1
срдити,1
осветити,1
казни,1
бавити,1
проверавати,1
покривати,1
лечити,1
савршено,1
лећи,1
ЗАСПАТИ,1
гинути,1
замориш,1
залудешити,1
родити,1
отргнути,1
упалити,1
заустависати,1
устадити,1
прођити,1
запати,1
прелетати,1
трагати,1
подрхтавати,1
погасити,1
исправити,1
поравнати,1
легати,1
синоћ,1
сти,1
преварити,1
једанпут,1
дирати,1
тврдо,1
жудети,1
мерити,1
бележити,1
исписивати,1
плаћати,1
решавати,1
коначно,1
сагорети,1
плача,1
чешљати,1
ломити,1
одшетати,1
испустити,1
прозебла,1
снести,1
помакнуо,1
улево,1
мицати,1
зимус,1
малопре,1
куда,1
одвести,1
опаснија,1
занавек,1
излетети,1
отићи,1
обилазити,1
прихватити,1
оживљавати,1
неочекивано,1
подстаћи,1
разговарајти,1
зрети,1
дигнути,1
плов,1
летити,1
предвидјети,1
предвидети,1
доћнији,1
објаснити,1
стан,1
савијати,1
скренути,1
претварати,1
згушњаваја,1
оцртавати,1
стваран,1
причиње,1
свеједно,1
настајати,1
јест,1
страховито,1
даждети,1
ограничити,1
ишчезавати,1
купити,1
обезнањуја,1
пењати,1
спуштати,1
топити,1
рушити,1
изоштрити,1
сажети,1
полагано,1
пригушити,1
изнутра,1
светлети,1
збуњивати,1
заводити,1
наступати,1
упознавати,1
некад,1
бескрајно,1
стерати,1
ослушкивати,1
оштро,1
цвилети,1
ВИДЕО,1
једва,1
заобићи,1
заклопити,1
сејати,1
успевати,1
блештати,1
држати,1
трептати,1
кидати,1
расипати,1
ћутати,1
односити,1
одолети,1
прекинути,1
неизмерно,1
оличавати,1
косити,1
протицати,1
некуд,1
вечерас,1
будући,1
помирисати,1
окусити,1
задихано,1
свраћати,1
куповати,1
отимати,1
красти,1
даривати,1
пазарује,1
извињавати,1
захваљивати,1
богат,1
улазити,1
излазити,1
приметно,1
краћати,1
напољу,1
прилично,1
прелити,1
напустити,1
одвајати,1
подићи,1
запутити,1
претећи,1
случајно,1
сетити,1
похитати,1
истресати,1
хладно,1
гурати,1
саплитати,1
истрчати,1
напоље,1
врвети,1
милити,1
грубо,1
поћи,1
стати,1
помирити,1
крстарити,1
вући,1
унезверено,1
причинити,1
замича,1
потрчати,1
застајати,1
постидети,1
претрчати,1
непрописно,1
измучити,1
узети,1
сложити,1
удвојити,1
нервозно,1
притишће,1
преживети,1
нејасан,1
задовољавати,1
нејасно,1
задржавати,1
довикнути,1
поздравити,1
разкрилити,1
покоравати,1
предан,1
допуштати,1
кочити,1
напротив,1
