infinitive_latin,frequency
biti,2920
бити,2773
хтети,322
reći,307
hteti,259
рећи,244
моћи,134
moći,108
одговорити,102
видети,96
videti,92
тако,79
знати,74
почети,66
tako,66
dati,66
већ,66
још,65
samo,61
znati,61
već,60
još,59
видјети,59
sad,56
дати,55
početi,53
vidjeti,51
много,50
kazati,47
mnogo,47
dobro,46
gde,45
доћи,44
ићи,44
имати,44
неколико,43
imati,43
сад,42
само,41
одмах,41
добро,41
govoriti,41
odmah,40
ostati,40
молити,40
како,40
говорити,39
nekoliko,39
otići,39
чути,39
čuti,39
где,38
trebati,38
tu,38
ići,37
остати,37
kako,37
upitati,37
gledati,36
мислити,36
отићи,36
поћи,36
ući,35
izaći,33
nemati,33
narediti,33
misliti,33
погледати,33
pogledati,33
moliti,32
гледати,31
требати,31
vratiti,31
poći,31
odgovoriti,30
немати,29
zašto,29
ostaviti,29
упитати,29
uzeti,28
stajati,28
чинити,27
doći,27
наћи,27
најзад,27
одједном,27
вратити,27
стајати,27
морати,26
ugledati,26
опростити,26
седети,26
ubrzo,25
naći,25
слушати,25
наредити,25
стати,25
oprostiti,25
zatim,24
onda,24
tada,24
tamo,24
odjednom,24
stići,24
odvesti,24
poslati,24
казати,24
предати,23
врло,23
nastaviti,23
учинити,23
одвести,23
изволети,23
morati,23
sedeti,22
izvoleti,22
daleko,21
далеко,21
зашто,21
писати,21
krenuti,21
стићи,21
ипак,21
оставити,21
одлучити,20
slušati,20
заповедити,20
pustiti,20
пустити,20
služiti,19
pisati,19
пасти,19
držati,19
pozvati,19
узети,19
тамо,19
ту,19
malo,18
živeti,18
zaboraviti,18
чекати,18
кренути,18
dobiti,18
lako,18
učiniti,18
put,18
изићи,18
opet,18
наставити,18
мало,17
vrlo,17
činiti,17
брзо,17
ускоро,17
позвати,17
држати,17
prići,17
надати,17
čekati,17
радити,17
прекидати,17
dočekati,17
повикати,17
značiti,17
опет,17
voditi,16
сасвим,16
čitati,16
obratiti,16
ући,16
prekinuti,16
прочитати,16
dugo,16
ipak,16
raditi,16
догодити,16
okrenuti,16
показати,16
пут,16
служити,15
затим,15
читати,15
окретати,15
заборавити,15
pročitati,15
najzad,15
дуго,15
bojati,15
зауставити,15
изаћи,14
pasti,14
удети,14
ваљати,14
završiti,14
толико,14
pokazati,14
stati,14
kud,14
овде,14
бојати,14
pitati,14
живети,13
завршити,13
dovesti,13
rešiti,13
ustati,13
доста,13
dosta,13
nadati,13
угледати,13
донети,13
послушати,13
дочекати,13
сматрати,13
запитати,13
лако,13
спазити,13
примити,13
значити,13
tražiti,13
веровати,13
postati,13
изгледати,13
сутра,12
водити,12
živjeti,12
zato,12
описати,12
отворити,12
ћутати,12
ovde,12
вели,12
желети,12
тражити,12
spasti,12
setiti,12
zastati,12
никако,12
можда,12
уплашити,12
možda,12
пољубити,12
познати,12
ispričati,12
оженити,11
predati,11
obično,11
ležati,11
тада,11
трудити,11
тешко,11
прилично,11
пристати,11
zbuniti,11
jedva,11
опазити,11
упутити,11
duboko,11
осећати,11
terati,11
proći,11
poljubiti,11
питати,11
ударити,11
pružiti,11
прићи,11
појавити,11
смети,11
smeti,11
замислити,11
primiti,11
verovati,11
збунити,11
postaviti,11
послати,11
smatrati,11
спасти,11
sasvim,10
често,10
обично,10
увек,10
uvek,10
колико,10
овамо,10
мучити,10
sesti,10
играти,10
izgubiti,10
сазнати,10
pristati,10
потпуно,10
поново,10
проћи,10
окренути,10
дубоко,10
признати,10
priznati,10
ćutati,10
лежати,10
помоћи,10
бех,10
potpuno,10
довести,10
данас,10
zamisliti,10
prekidati,10
zateći,10
наумити,10
izgledati,10
добити,10
испричати,10
naučiti,9
zajedno,9
često,9
волети,9
brzo,9
убрзо,9
želeti,9
пробудити,9
probuditi,9
promeniti,9
једном,9
примати,9
truditi,9
зато,9
покаткад,9
ponavljati,9
koliko,9
pažljivo,9
skinuti,9
пазити,9
nalaziti,9
pričati,9
poslušati,9
међутим,9
ljutiti,9
sutradan,9
pola,9
помислити,9
osećati,9
okretati,9
objasniti,9
povikati,9
нестрпљиво,9
заузети,9
verovatno,9
налазити,9
shvatiti,9
одговарати,9
pomoći,9
udariti,9
spremiti,9
давати,9
zaista,9
сада,9
допустити,9
сетити,9
очекивати,9
спремати,9
умало,9
uspeti,9
jednom,9
свршити,9
разговарати,9
razmisliti,9
искрено,9
поставити,9
pojaviti,9
обесити,9
prepoznati,9
разлегати,9
čuvati,8
oženiti,8
danas,8
jako,8
казивати,8
rado,8
odavno,8
променити,8
opisati,8
онда,8
тицати,8
пажљиво,8
куда,8
сести,8
doznati,8
zvati,8
готово,8
ваљда,8
otvoriti,8
синоћ,8
pomisliti,8
osloboditi,8
toliko,8
пожурити,8
požuriti,8
задржати,8
prihvatiti,8
терати,8
викнути,8
обраћати,8
oko,8
dolaziti,8
pokloniti,8
звати,8
pratiti,8
поновити,8
лепо,8
досетити,8
смејати,8
smejati,8
ponovo,8
spremati,8
приметити,8
primetiti,8
махати,8
saslušati,8
razgovarati,8
ранити,8
iskreno,8
бранити,8
sada,8
умрети,8
sutra,7
научити,7
јако,7
јавити,7
спавати,7
visiti,7
устати,7
sigurno,7
izlaziti,7
понављати,7
поздравити,7
pozdraviti,7
ovamo,7
заједно,7
пружити,7
спустити,7
prilično,7
smestiti,7
paziti,7
igrati,7
радо,7
причати,7
једнако,7
изгубити,7
isto,7
једва,7
пола,7
ослободити,7
kasno,7
заплакати,7
doneti,7
увредити,7
љутити,7
умирити,7
возити,7
разумети,7
просто,7
никада,7
излазити,7
kriti,7
живјети,7
поклонити,7
davati,7
мирно,7
ponoviti,7
muje,7
казнити,7
nimalo,7
извољети,7
zauzeti,7
začuti,7
raniti,7
затворити,7
поверити,7
припремити,7
obesiti,7
привести,7
пратити,7
после,6
voleti,6
staviti,6
razumeti,6
plakati,6
žaliti,6
javiti,6
висити,6
одавно,6
користити,6
долазити,6
ponekad,6
baciti,6
teško,6
чувати,6
mučiti,6
ukazati,6
противити,6
ujutro,6
poveriti,6
izgovoriti,6
ručati,6
ubediti,6
prepustiti,6
гласно,6
донијети,6
владати,6
онако,6
сигурно,6
сутрадан,6
сећати,6
рано,6
запрепастити,6
savetovati,6
mudrovati,6
viknuti,6
zaplakati,6
ubijati,6
написати,6
под,6
помирити,6
uvrediti,6
постепено,6
покрити,6
доиста,6
објаснити,6
узалуд,6
osetiti,6
prepasti,6
uznemiriti,6
жељети,6
обузети,6
весело,6
veselo,6
плашити,6
крити,6
sići,6
sediti,6
nekako,6
будити,6
схватити,6
касно,6
продужити,6
веома,6
leći,6
mirno,6
uputiti,6
očekivati,6
показивати,6
седити,6
valjda,6
иначе,6
plašiti,6
izvoljeti,6
постати,6
престати,6
mahati,6
lagati,6
остајати,6
preduzeti,6
obavestiti,6
кући,6
kući,6
осетити,6
jasno,6
жалити,6
desiti,6
смести,6
uhvatiti,6
zahtevati,6
испитивати,6
ухватити,6
претећи,6
zaprepastiti,6
braniti,6
otvorisati,6
pojuriti,6
пре,6
