infinitive_latin,frequency
biti,4152
reći,294
hteti,247
kazati,192
imati,173
moći,146
trebati,104
ići,94
znati,87
raditi,87
samo,76
mnogo,75
misliti,73
nemati,73
još,70
dobro,67
zatim,66
upitati,65
već,63
tako,61
govoriti,60
kako,59
videti,58
sad,57
zvati,55
pozvati,53
otići,52
početi,48
onda,48
ovde,48
naravno,47
dati,45
zašto,44
gde,44
tada,43
doći,41
popiti,40
malo,39
pisati,37
tamo,36
čekati,36
možda,35
morati,35
pitati,35
naći,34
piti,34
voleti,33
vratiti,33
dobiti,33
značiti,32
voljeti,31
tu,31
napisati,30
živeti,30
jednom,29
izaći,29
daleko,28
ponovo,28
postojati,28
čuti,28
pričati,26
pojaviti,26
koliko,25
sada,25
odjednom,25
završiti,24
krenuti,24
vidjeti,24
odgovoriti,24
ući,23
put,23
razumeti,23
uzeti,22
izgledati,22
izvaditi,21
ipak,21
stajati,21
proći,21
gledati,21
postati,21
roditi,21
razmišljati,21
zamisliti,20
razgovarati,20
želeti,20
odnosno,19
kasno,19
sediti,19
očigledno,19
nositi,19
pružiti,19
otvoriti,19
pogledati,18
slušati,18
stalno,18
ukratko,18
shvatiti,18
sedeti,18
stati,18
tražiti,17
zaboraviti,17
pomalo,17
odmah,17
pustiti,17
ovako,17
dugo,17
skoro,17
željeti,17
stići,17
ćutati,16
brzo,16
tačno,16
ustati,16
ostaviti,15
lako,15
osećati,15
družiti,15
sećati,15
čitati,15
ličiti,15
sesti,15
ostati,14
svratiti,14
napraviti,14
jedva,14
prići,14
izgubiti,14
sačekati,14
sasvim,14
sipati,14
prilično,13
kupiti,13
dodati,13
predstaviti,13
odavno,13
poslati,13
delovati,13
doneti,13
odgovarati,13
moliti,13
probuditi,13
začuditi,13
obratiti,13
držati,13
upoznati,13
zato,13
spustiti,13
setiti,13
lepo,12
lično,12
živjeti,12
sutra,12
zaista,12
spavati,12
javiti,12
dešavati,12
baviti,12
baciti,12
desiti,12
okrenuti,12
zamoliti,12
najzad,12
zameniti,12
klimnuti,11
teško,11
ispasti,11
voditi,11
nastaviti,11
uvek,11
postajati,11
ispostaviti,11
davati,11
uzviknuti,11
kući,11
izviniti,11
činiti,11
smestiti,11
tiho,11
objasniti,11
počinjati,11
umreti,11
primetiti,10
zapisati,10
poznavati,10
popričati,10
opet,10
platiti,10
nekoliko,10
lagati,10
uopšte,10
kuda,10
ujutro,10
uskoro,10
pola,10
podići,10
odlično,10
dozvoliti,10
gurnuti,10
ponavljati,10
