infinitive_latin,frequency
biti,24
imati,8
morati,8
moći,6
onda,5
hteti,4
živeti,3
živjeti,3
samo,3
mnogo,3
trebati,2
umreti,2
početi,2
voleti,2
izlaziti,2
zvati,2
počinjati,2
uvek,2
pitati,2
pridržavati,2
već,2
gde,2
zajedno,2
stajati,2
naročito,1
činiti,1
učiti,1
dobro,1
umrijeti,1
stiditi,1
dozivati,1
pružati,1
voljeti,1
raditi,1
znati,1
udubiti,1
nemati,1
eamo,1
svejedno,1
gubiti,1
stvarati,1
silom,1
dizati,1
pobeđivati,1
čuti,1
osećati,1
držati,1
počiljati,1
verovati,1
ulaziti,1
postajati,1
zapaliti,1
razbuktati,1
odupirati,1
dokle,1
umirati,1
ubijati,1
egzaltirati,1
opravdati,1
postati,1
najzad,1
ipak,1
izdaleka,1
tako,1
imponirati,1
naprotiv,1
ukloniti,1
upotrebljavati,1
ugnjetavati,1
braniti,1
napadati,1
ruinirati,1
ponekad,1
pokazati,1
davati,1
dolaziti,1
zato,1
vezivati,1
stezati,1
slabo,1
upoznati,1
sporazumevati,1
jadati,1
nadati,1
očajavati,1
buniti,1
prebijati,1
tamo,1
