infinitive_latin,frequency
biti,1763
hteti,160
moći,124
znati,99
reći,84
imati,82
videti,66
tako,54
sada,51
tada,47
misliti,43
samo,41
naći,40
još,40
mnogo,38
kupiti,35
nositi,31
upitati,31
tu,30
gde,28
uzeti,28
vidjeti,27
nemati,26
kazati,26
morati,26
potom,25
malo,25
trebati,25
kako,25
dobro,24
zaboraviti,23
stajati,23
vratiti,22
opet,22
uvek,22
početi,22
ići,22
brzo,22
učiti,22
ovde,21
nalaziti,21
odmah,21
dati,20
dobiti,20
sad,19
doći,19
držati,19
gledati,18
čuti,18
već,18
govoriti,17
put,17
pomisliti,17
značiti,17
najzad,16
zajedno,15
umeti,15
tražiti,15
izaći,15
razumeti,15
otići,14
koliko,14
postojati,14
sedeti,14
slušati,14
ostati,14
zatim,14
daleko,14
zato,13
izgledati,13
sećati,13
rano,13
pokazati,12
služiti,12
dugo,12
staviti,12
lako,12
pogledati,12
sanjati,12
zašto,12
odgovoriti,12
tamo,12
jednom,11
kada,11
otvoriti,11
moliti,11
možda,11
poljubiti,11
trajati,11
ponekad,11
ležati,11
dolaziti,10
koristiti,10
zaključiti,10
ostaviti,10
padati,10
okrenuti,10
pisati,10
naučiti,10
raditi,10
otkud,10
otkriti,9
uostalom,9
načiniti,9
izvući,9
poslužiti,9
mirisati,9
ući,9
osetiti,9
činiti,9
setiti,9
pitati,9
ćutati,9
voleti,9
pročitati,9
stavljati,9
veoma,9
jesti,9
potpuno,8
danas,8
želeti,8
čekati,8
lepo,8
nastaviti,8
pojaviti,8
kretati,8
odvesti,8
davati,8
tačno,8
živeti,8
savladati,8
dodati,8
sići,8
nekada,7
podići,7
promeniti,7
teći,7
šaliti,7
toliko,7
paziti,7
ukazati,7
zvati,7
učiniti,7
predati,7
prodati,7
čitati,7
ulaziti,7
baciti,7
napustiti,7
pasti,7
menjati,7
proći,7
uopšte,7
stići,7
polako,7
ubaciti,7
krenuti,7
priznati,7
stati,6
osećati,6
smestiti,6
poneti,6
ipak,6
poslati,6
obično,6
valjda,6
naravno,6
ostajati,6
smeti,6
obući,6
pevati,6
ugledati,6
jedva,6
odavno,6
sigurno,6
nikada,6
pričati,6
onda,6
zauvek,6
izlaziti,6
sadržati,6
sasvim,6
teško,6
živjeti,6
izgubiti,6
seliti,6
platiti,6
voditi,6
dodaditi,5
razlikovati,5
šapnuti,5
zamirisati,5
željeti,5
pomalo,5
nikad,5
uzvratiti,5
kući,5
ponovo,5
savršeno,5
pokazivati,5
pogoditi,5
duvati,5
izvaditi,5
odlaziti,5
javiti,5
svirati,5
vraćati,5
inače,5
prekinuti,5
zagledati,5
takođe,5
prepoznati,5
drugačije,5
počinjati,5
izbaciti,5
prikazivati,5
studirati,5
spremati,5
desiti,5
vazda,5
postaviti,5
ponašati,5
prestati,5
zaustaviti,5
tiho,5
zaboravljati,5
iščeznuti,5
putovati,5
sedati,5
graditi,4
jasno,4
provesti,4
očigledno,4
unutra,4
doneti,4
pripadati,4
uputiti,4
ispisati,4
probuditi,4
ustati,4
obratiti,4
uslužiti,4
stvarno,4
umreti,4
roditi,4
upisati,4
veli,4
pola,4
kasno,4
postavljati,4
udariti,4
naručiti,4
uzimati,4
nekoliko,4
slučajno,4
skidati,4
čuvati,4
završiti,4
spavati,4
položiti,4
suditi,4
glasiti,4
dvaput,4
podsećati,4
opaziti,4
slediti,4
iznenaditi,4
sresti,4
posmatrati,4
svlačiti,4
začuditi,4
isto,4
raskopčavati,4
preći,4
piti,4
shvatiti,4
uveče,4
naslikati,4
gotoviti,4
ubiti,4
ubeležiti,4
dići,4
voljeti,4
pokušavati,4
sesti,4
mešati,4
udahnuti,4
rešiti,4
čudno,4
nadživeti,4
pokloniti,4
poznavati,4
osedeti,4
izgovoriti,4
spremiti,3
postajati,3
otprilike,3
nekad,3
usuditi,3
pohraniti,3
sastaviti,3
oko,3
smatrati,3
lagati,3
onjušiti,3
noćas,3
prikazati,3
ispasti,3
gospsfo,3
odlično,3
ovamo,3
koštati,3
odjednom,3
primetiti,3
dočekati,3
nasmejati,3
prenuhti,3
rado,3
plakati,3
prekidati,3
ubrzo,3
posle,3
voziti,3
kuda,3
najpre,3
nastavljati,3
smetati,3
ukloniti,3
kupovati,3
zamisliti,3
ljubiti,3
dovoljno,3
uhvatiti,3
viknuti,3
zezati,3
stalno,3
popeti,3
napuštati,3
ćutjeti,3
često,3
dosta,3
ličiti,3
dozvati,3
ticati,3
unapred,3
par,3
oslobađati,3
najavljivati,3
itd.,3
jahati,3
prolaziti,3
zvoniti,3
spustiti,3
iznenada,3
dokučiti,3
očekivati,3
resiti,3
sporo,3
potražiti,3
proveriti,3
prijaviti,3
polagati,3
opaliti,3
osloniti,3
predstavljati,3
mrziti,3
zapravo,3
prihvatiti,3
bacati,3
sazdati,3
upisivati,3
pretvarati,3
gasiti,3
donositi,3
odgovarati,3
valjati,3
lagano,3
pomeriti,3
viriti,3
pucati,3
narediti,3
pustiti,3
boliti,3
sutra,3
uspeti,3
telefonirati,3
smesti,3
napraviti,3
uzalud,3
upravo,3
pristajati,3
pamtiti,3
pružiti,3
izneti,3
leći,3
prepoznavati,3
zaigrati,3
nabaviti,2
slično,2
upola,2
donijeti,2
dopasti,2
pohranjivati,2
zatvoriti,2
liznuti,2
utvrditi,2
ukvasiti,2
odbraviti,2
prepustiti,2
urezati,2
kazivati,2
razboleti,2
ukazivati,2
svakako,2
suprotno,2
izvrnuti,2
namirisati,2
nedostajati,2
dobijati,2
kovati,2
promrmljati,2
odbrusiti,2
nikako,2
zapahnuti,2
zanimati,2
onako,2
malčice,2
prošetati,2
preskočiti,2
brinuti,2
ovako,2
sticati,2
obići,2
izvoditi,2
skupljati,2
ložiti,2
spaljivati,2
cvetati,2
vejao,2
širom,2
izmešati,2
sediti,2
upasti,2
uplašiti,2
otada,2
letiti,2
dogovoriti,2
izviniti,2
otrčati,2
proleteti,2
prekrstiti,2
odlučiti,2
preseći,2
zamotati,2
obaviti,2
predložiti,2
zarobiti,2
visoko,2
nadati,2
preuzeti,2
počesiti,2
ujesti,2
besplatno,2
zaudarati,2
oprostiti,2
tešiti,2
gubiti,2
rezervisati,2
naglo,2
skidoh,2
užurbano,2
udati,2
postati,2
pregledati,2
odmeriti,2
jebati,2
iznositi,2
useljavati,2
ostavljati,2
zasada,2
treptati,2
maločas,2
sledovati,2
dignuti,2
vaditi,2
ponegde,2
zavrtati,2
postizati,2
verovatno,2
puno,2
odlagati,2
jednovremeno,2
odazivati,2
zaći,2
jedino,2
duboko,2
ukratko,2
izleteti,2
primati,2
napolju,2
smrkavati,2
istrgnuti,2
desno,2
prethoditi,2
uglavnom,2
iti,2
visiti,2
zaostajati,2
pomišljati,2
ponavljati,2
deliti,2
iskazivati,2
hvatati,2
obeležiti,2
brojati,2
ujutru,2
naročito,2
dogoditi,2
brati,2
prodavati,2
ponoviti,2
događati,2
propustiti,2
uspevati,2
ostareti,2
ostarjeti,2
stanovati,2
otputovati,2
poći,2
usput,2
meriti,2
spuštati,2
nestajati,2
dunuti,2
odazvati,2
oteti,2
zateći,2
nestati,2
prići,2
dokazati,2
izbrijeti,2
lišiti,2
izbrojati,2
verovati,2
gaziti,2
prijeći,2
odnositi,2
predveče,2
ukinuti,2
svuda,2
natrag,2
praviti,2
iščezavati,2
zamišljati,2
obložiti,2
uvezati,2
savesno,2
kušati,2
spraviti,2
izabrati,2
unositi,2
blistati,2
gore,2
izmeriti,2
otisnuti,2
oslovljavati,2
dopreti,2
skinuti,2
rađati,2
iščezati,2
kratko,2
oprati,2
probiti,2
sleteti,2
smejati,2
okretati,2
dezertirati,2
doznati,2
javljati,2
odakle,2
prevoditi,2
naručivati,2
raspitati,2
kidati,2
žudeti,2
nailaziti,2
etruščiti,2
zaveštati,2
objasniti,2
dovesti,2
iseći,2
nekako,2
lebdeti,2
procediti,2
posaditi,2
označavati,2
zaslužiti,2
ozlediti,2
zapevati,2
dopremiti,2
mariti,2
opčiniti,2
nataknuti,2
ukrasiti,2
potpisati,2
međutim,2
skoro,2
neočekivano,2
