infinitive_latin,frequency
biti,4833
hteti,483
moći,219
reći,168
imati,154
još,142
mnogo,141
već,133
znati,130
samo,125
početi,121
ovde,120
videti,118
govoriti,112
raditi,109
sada,106
tako,99
doći,91
nekoliko,90
trebati,88
ići,83
dati,73
sedeti,69
nemati,68
morati,67
stajati,67
vidjeti,63
gde,62
gledati,60
ostati,59
dobro,59
tamo,58
dobiti,57
malo,56
otići,56
put,54
odmah,54
čuti,53
poći,53
zašto,52
vratiti,51
slušati,51
živeti,50
poslati,50
kazati,50
misliti,48
daleko,47
naći,46
odgovoriti,46
okretati,46
teško,44
družiti,44
uzeti,43
onda,42
ući,41
izgledati,40
otvoriti,40
upitati,40
uvek,40
opet,39
završiti,39
brzo,39
tiho,39
pisati,38
postati,38
učiniti,38
pogledati,36
danas,35
pričati,35
razumeti,35
sutra,34
ipak,34
dolaziti,33
uveče,33
sad,32
jednom,32
moliti,32
proći,31
želeti,31
dugo,31
ispričati,31
držati,30
ležati,30
osmehnuti,30
zatim,30
izgubiti,30
odlaziti,29
uhvatiti,29
ovamo,29
doneti,29
čitati,29
izvući,28
sasvim,27
spavati,27
ostaviti,27
osetiti,27
razgovarati,27
izići,27
živjeti,26
skupiti,26
očekivati,26
nalaziti,25
pokazati,25
staviti,25
pružiti,25
osećati,25
kako,25
saznati,25
dovesti,24
pojaviti,24
preći,24
sećati,24
zajedno,24
poznavati,23
primetiti,23
pomisliti,23
ustati,23
duboko,23
voditi,23
napisati,23
pozvati,22
pažljivo,22
stezati,22
smatrati,22
takođe,22
posmatrati,21
tražiti,21
tu,21
začuditi,21
umreti,21
juče,20
često,20
dosta,20
izlaziti,20
primiti,20
podizati,20
odavde,20
baciti,20
zatvoriti,20
nastaviti,20
davati,20
shvatiti,20
gotovo,20
umrijeti,20
voleti,20
zaustaviti,19
pasti,19
otputovati,19
pustiti,19
inače,19
uspeti,19
ujutru,19
učiti,19
čvrsto,19
poleteti,19
ostajati,19
postaviti,19
zastati,19
možda,19
željeti,18
vrlo,18
vikati,18
vući,18
sediti,18
veoma,18
rešiti,18
pročitati,18
ponekad,17
nositi,17
spustiti,17
stati,17
udariti,17
besno,17
prestati,17
prekidati,17
noću,17
seći,17
sresti,17
tada,17
činiti,17
koliko,16
prići,16
čekati,16
pokazivati,16
odjednom,16
okrenuti,16
negde,16
retko,16
svršiti,16
zauzeti,16
setiti,16
kretati,16
odgovarati,16
počinjati,16
odbiti,16
pokušati,16
zato,16
polako,16
odavno,15
zaboraviti,15
ulaziti,15
kuda,15
jedva,15
smejati,15
isto,15
pitati,15
toliko,15
desiti,15
štaviše,15
ubiti,15
napred,15
verovati,15
stalno,15
najzad,15
uzbuditi,15
rano,15
proživeti,15
pola,14
osloboditi,14
smetati,14
dizati,14
boriti,14
truditi,14
uopšte,14
umeti,14
ponovo,14
gubiti,14
sutradan,14
pokušavati,13
predati,13
probiti,13
gurnuti,13
povući,13
zvati,13
vraćati,13
veli,13
nedavno,13
onamo,13
pratiti,13
mirno,13
igrati,13
pomoći,13
dopustiti,13
naterati,13
odvojiti,13
oboriti,12
ovako,12
krenuti,12
značiti,12
juriti,12
čuvati,12
napustiti,12
podići,12
spremati,12
završavati,12
ljutito,12
izgraditi,12
stavljati,12
kada,12
nikada,12
naravno,12
izaći,11
provesti,11
putovati,11
probuditi,11
ubrzo,11
smeti,11
zagledati,11
objasniti,11
vršiti,11
viknuti,11
skinuti,11
stići,11
otvoreno,11
dobijati,11
donijeti,11
jasno,11
svirati,11
priznati,11
prelaziti,10
gurati,10
obući,10
prebaciti,10
sesti,10
prolaziti,10
saopštiti,10
dočekati,10
nekako,10
pucati,10
prekinuti,10
pušiti,10
lupati,10
dočkan,10
prilaziti,10
gore,10
ticati,10
deliti,10
svuda,10
nastati,10
davno,10
zadržati,10
sići,10
skupljati,10
