infinitive_latin,frequency
biti,4284
hteti,349
reći,241
početi,223
već,222
moći,216
odgovoriti,189
samo,179
mnogo,168
videti,149
tako,139
sada,132
još,124
znati,121
tada,100
upitati,97
nestati,88
odmah,87
govoriti,80
imati,78
vidjeti,77
trebati,75
povikati,71
dobro,68
tamo,67
sedeti,67
gde,66
onda,64
nemati,61
pojaviti,60
zašto,58
potpuno,58
morati,57
čuti,56
upravo,55
ponovo,53
razumeti,51
moliti,50
ugledati,49
doći,47
posmatrati,45
okrenuti,45
tu,45
tiho,44
nalaziti,44
progovoriti,44
malo,43
put,42
otići,41
stajati,40
otvoriti,40
pogledati,40
želeti,39
nastaviti,39
nikada,38
napustiti,37
daleko,37
nekoliko,37
kako,37
sasvim,37
raditi,37
dizati,37
vratiti,36
kazati,36
najednom,36
gledati,36
shvatiti,35
dati,34
značiti,34
spustiti,34
začuti,34
obratiti,33
izvući,33
krenuti,33
ovde,33
naći,33
osećati,32
ostati,32
staviti,32
baciti,32
ići,32
ležati,32
desiti,31
takođe,30
isto,30
veoma,30
postojati,29
živeti,29
uzeti,29
uopšte,29
stići,28
postati,28
uzvikan,28
pronaći,28
ipak,27
ustati,27
dodaditi,27
pokazati,26
uspeti,26
bojati,26
misliti,26
željeti,26
sediti,26
pozvati,26
učiniti,25
uvek,25
ostaviti,25
odista,25
jako,25
voditi,25
dobiti,24
shvatati,24
ubiti,24
čekati,24
poleteti,24
uraditi,24
zajedno,24
možda,23
koliko,23
pomisliti,23
brzo,23
tražiti,23
zaboraviti,22
ući,22
verovati,22
nekako,22
uhvatiti,22
tačno,22
smeškati,22
osmehnuti,22
smatrati,22
pružiti,22
pasti,22
negde,22
pričati,21
dugo,21
završiti,21
slušati,21
kasno,21
lupiti,21
spavati,21
narediti,21
proći,20
kada,20
saznati,20
živjeti,20
onako,20
spuštati,20
međutim,20
činiti,20
oprostiti,20
padati,20
leteti,20
teško,20
šaptati,19
jasno,19
prekriti,19
sručiti,19
beh,19
uznemiravati,19
pustiti,19
uostalom,19
dopustiti,19
zaustaviti,19
skočiti,19
počesiti,19
držati,18
očigledno,18
zagledati,18
počinjati,18
voleti,17
uznemiriti,17
šaputati,17
zamoliti,17
jednom,17
odakle,17
stati,17
smiriti,17
toliko,17
pojuriti,17
pretvoriti,17
meširiti,17
zvati,16
dešavati,16
zatvoriti,16
odavno,16
opet,16
izaći,16
stalno,16
objasniti,16
osvrnuti,16
vikati,16
iznenada,16
dole,16
piti,16
preplašiti,16
razgovarati,15
lagano,15
nositi,15
istovremeno,15
odleteti,15
poći,15
ushititi,15
odlaziti,15
uveriti,14
prići,14
tvrditi,14
zaista,14
mučiti,14
zapanjiti,14
danas,14
voljeti,14
približavati,14
začuditi,14
jednostavno,14
izviniti,14
ponoviti,14
postajati,14
nazad,13
uskoro,13
posle,13
ponavljati,13
lično,13
stvarno,13
odgovarati,13
kretati,13
ovamo,13
izvoleti,13
ispustiti,13
izgubiti,13
upaliti,13
zato,13
pružati,13
očekivati,13
primetiti,13
mahnuti,13
stezati,12
lagati,12
pokloniti,12
osvrtati,12
pratiti,12
ulaziti,12
praviti,12
smejati,12
okretati,12
uleteti,12
dograbiti,12
nikako,12
interesovati,12
promeniti,11
plakati,11
postaviti,11
složiti,11
poljubiti,11
prolaziti,11
zvučiti,11
obično,11
pažljivo,11
smakati,11
zahvaljivati,11
mrmljati,11
prestati,11
kleti,11
pre,11
suditi,11
skoro,11
prebaciti,11
dopirati,11
lako,11
potom,11
bacati,11
napisati,11
letelo,11
izgledati,11
ugasiti,11
nestajati,11
truditi,11
konačno,11
sigurno,11
kriti,11
zameniti,10
uistinu,10
spasti,10
probuditi,10
osetiti,10
svakako,10
uzbuditi,10
udaljiti,10
čitati,10
uzvikivati,10
izvesti,10
oko,10
kud,10
setiti,10
molećivo,10
raširiti,10
klimnuti,10
strpati,10
skidati,10
uvis,10
preći,10
igrati,10
podići,10
odvojiti,10
širiti,10
pomagati,10
potvrditi,10
svetlucati,10
približiti,10
uzgred,10
svirati,10
pomoći,10
odlično,10
prepoznati,10
predstavljati,10
predati,10
trljati,10
prošaptati,10
jesti,10
kuda,10
baviti,10
jedva,9
dovesti,9
dočekati,9
izazvati,9
uhapsiti,9
otvarati,9
dolaziti,9
trčati,9
lepo,9
pomalo,9
gubiti,9
sesti,9
vešto,9
poslati,9
saslušati,9
iskriviti,9
zaurlati,9
goreti,9
osvetljavati,9
izleteti,9
spremati,9
razbiti,9
presijavati,9
pričiniti,9
napred,9
rano,9
blizu,9
ponuditi,9
odbiti,9
dozvoliti,9
ljubazno,9
podmetnuti,9
pokušati,9
umalo,9
dogoditi,8
otkriti,8
načiniti,8
noću,8
pojavljivati,8
maštati,8
popiti,8
pitati,8
zapaziti,8
čudnovato,8
poznavati,8
dići,8
šapnuti,8
odnekud,8
zauvek,8
izvršiti,8
prozboriti,8
podizati,8
oboriti,8
visiti,8
odozgo,8
udariti,8
sećati,8
tresti,8
menjati,8
muvati,8
navući,8
vrteti,8
uživati,8
radosno,8
prekinuti,8
spomenuti,8
povući,8
obraćati,8
predavati,8
patiti,8
pročitati,8
progutati,8
prilaziti,8
preklati,8
koračati,8
uveče,8
izuzetno,7
sanjati,7
vući,7
nigde,7
zamisliti,7
dosta,7
obući,7
mahati,7
pozivati,7
uveravati,7
smestiti,7
osluškivati,7
disati,7
nečujno,7
verovatno,7
tržati,7
ustajati,7
glasno,7
ćutke,7
ispružiti,7
prethodno,7
telefonirati,7
pristajati,7
razmišljati,7
potrčati,7
kikotati,7
inače,7
istrčati,7
odjekivati,7
uzdahnuti,7
gore,7
lupkati,7
smeti,7
gasiti,7
stizati,7
urlati,7
sipati,7
slivati,7
