infinitive_latin,frequency
biti,240
hteti,27
živeti,22
reći,17
tamo,14
živjeti,13
gledati,11
pogledati,8
ovde,7
postati,7
otići,6
vratiti,6
gde,6
sada,6
takođe,6
sad,6
još,6
odavno,5
samo,5
već,5
daleko,5
stajati,5
izaći,5
misliti,5
početi,5
kretati,5
videti,5
kući,5
nemati,4
doći,4
bojati,4
imati,4
noću,4
jesti,4
umreti,4
pomisliti,4
shvatiti,4
uzeti,4
potrčati,4
rano,3
izjutra,3
otuda,3
ostati,3
tada,3
govoriti,3
znati,3
spavati,3
opet,3
potom,3
morati,3
odgovoriti,3
uvek,3
zapitati,3
zašto,3
odjednom,3
voleti,3
vidjeti,3
želeti,3
ugledati,3
klati,3
podizati,3
sedeti,3
odlaziti,2
moći,2
prekriti,2
zujati,2
zato,2
ući,2
sigurno,2
izlaziti,2
napolje,2
piti,2
upisati,2
umrijeti,2
zamisliti,2
hodati,2
nedavno,2
vraćati,2
tiho,2
zamoliti,2
istrčati,2
svetliti,2
uvideti,2
nalaziti,2
iskopati,2
nagnuti,2
raditi,2
izgledati,2
probuditi,2
dobiti,2
iskeziti,2
otvoriti,2
kriknuti,2
ostaviti,2
pojesti,2
osvrtjeti,2
osmehivati,2
srdito,2
trebati,2
preplašiti,2
čuti,2
svuda,2
mirisati,2
sići,2
međutim,2
željeti,2
posmatrati,2
pokazati,2
pamtiti,2
vekovati,2
načiniti,2
ispraviti,2
očekivati,1
naređivati,1
voditi,1
slučajno,1
zapaliti,1
prikupiti,1
nositi,1
ulaziti,1
tući,1
ručati,1
nahraniti,1
raspekmeziti,1
tu,1
malo,1
sijati,1
unaokolo,1
mirno,1
ipak,1
odgovarati,1
obići,1
zatim,1
dremati,1
proći,1
tražiti,1
poznavati,1
dojaditi,1
saznati,1
krenuti,1
danju,1
kriti,1
zaspati,1
podići,1
dodatno,1
lupnuti,1
ustajati,1
zimus,1
ići,1
mleti,1
oslušnuti,1
ustuknuti,1
okrenuti,1
ustati,1
poterati,1
odmah,1
dopirati,1
inehoticati,1
mesti,1
ostajati,1
nestati,1
poseći,1
ionako,1
oteti,1
ćutati,1
jeknuti,1
prekrivati,1
zaplašiti,1
zaštititi,1
ličiti,1
smeškati,1
zahvatati,1
zamišljati,1
uhvatiti,1
pobeći,1
zamutiti,1
zarezati,1
oglasiti,1
zanemeti,1
zadrhtati,1
zastati,1
podviknuti,1
natrag,1
pribrati,1
možda,1
upuzati,1
ujestiti,1
brzo,1
doneti,1
donijeti,1
zalaziti,1
uvidjeti,1
ćutke,1
orati,1
dobro,1
dotrčati,1
udaljiti,1
izbiti,1
ispiti,1
primetiti,1
zagrevati,1
kupati,1
potpuno,1
zarasti,1
namerno,1
ušetati,1
proletos,1
utopiti,1
preplivati,1
pijančiti,1
pritajati,1
zagledati,1
postepeno,1
pojavljivati,1
uistinu,1
dati,1
slomiti,1
začuditi,1
gnevno,1
mrštiti,1
oslanjati,1
spremati,1
sasvim,1
pojuriti,1
nepokretno,1
zlobno,1
baciti,1
namršteno,1
klimati,1
ležati,1
privati,1
lomatati,1
odatle,1
ispuzati,1
obuzeti,1
odasvud,1
okretati,1
šaptati,1
narađati,1
pola,1
nastaniti,1
isterati,1
izići,1
kuvati,1
plašljivo,1
obrasti,1
jako,1
viknuti,1
gluvo,1
odazvati,1
pasti,1
zanemoćati,1
postadošiti,1
slušati,1
puziti,1
toliko,1
prošaptati,1
zbrisati,1
trčati,1
dugo,1
umoriti,1
zadugo,1
iznenadno,1
opustiti,1
predveče,1
terati,1
kasno,1
zateći,1
skidati,1
zaćutati,1
zdravo,1
zaboraviti,1
poljubiti,1
skapavati,1
osmotriti,1
dotakati,1
pogubiti,1
naglas,1
ućutati,1
očito,1
poplašiti,1
trčkarati,1
ovamo,1
razgovarati,1
pipati,1
završiti,1
razgledati,1
potruleti,1
isto,1
juče,1
utanjati,1
žaliti,1
umirati,1
mnogo,1
cepati,1
predavati,1
skroz,1
istrunuti,1
panj-glavati,1
iščeznuti,1
izgovarati,1
povesti,1
ponovo,1
strugati,1
postaviti,1
dodeliti,1
rado,1
žao,1
pogladiti,1
izmisliti,1
napraviti,1
sećati,1
nazivati,1
verovati,1
