infinitive_latin,frequency
biti,55
doći,7
tamo,5
ostaviti,5
mnogo,4
rastajati,4
sada,3
hteti,3
otići,3
kotrljati,2
doneti,2
moći,2
znati,2
imati,2
prolaziti,2
poznavati,2
osećati,2
spavati,2
opaziti,2
otkinuti,2
drhati,2
čuti,2
vršiti,2
kapati,2
značiti,2
nemati,2
ovde,2
rado,2
utući,1
potkradati,1
obilaziti,1
trošiti,1
preliti,1
letos,1
zgrčiti,1
počistiti,1
noćas,1
proći,1
oboriti,1
zakopati,1
gorko,1
uvenuti,1
nekoliko,1
razapeti,1
otpadati,1
nepomično,1
zabosti,1
nakostrešiti,1
steći,1
naglo,1
padati,1
malo,1
otkucavati,1
nejednako,1
retko,1
ućutkati,1
videti,1
vidjeti,1
seliti,1
gde,1
pregladovati,1
roditi,1
oriti,1
vrištati,1
on,1
usahnuti,1
promicati,1
piriti,1
štrecati,1
daviti,1
zepsti,1
gledati,1
slagati,1
verovatno,1
uloviti,1
raniti,1
silom,1
odvući,1
svejedno,1
ovako,1
onako,1
gristi,1
nositi,1
razneti,1
ležati,1
nabreći,1
vijati,1
bojati,1
razjediti,1
srknuti,1
još,1
jedared,1
posle,1
pamtiti,1
danju,1
noću,1
jecati,1
tada,1
teško,1
umoriti,1
maziti,1
zvati,1
odjekivati,1
sužnik,1
ispunjavati,1
sazrevati,1
gojiti,1
prosipati,1
rositi,1
podignuti,1
suice,1
prezirati,1
rasti,1
šibati,1
ostati,1
poći,1
sad,1
drobiti,1
jednako,1
osvojiti,1
pozlatiti,1
izgledati,1
poznati,1
donijeti,1
jorgovati,1
kupiti,1
zalevati,1
puziti,1
pabirčiti,1
zagrevati,1
