infinitive_latin,frequency,infinitive_latin_norm
бити,46573,biti
biti,29966,biti
хтети,2892,hteti
моћи,2815,moći
hteti,2655,hteti
само,1804,samo
тако,1684,tako
reći,1624,reći
имати,1623,imati
много,1621,mnogo
још,1527,još
знати,1461,znati
moći,1379,moći
видети,1218,videti
већ,1154,već
рећи,1065,reći
говорити,951,govoriti
već,911,već
samo,908,samo
znati,906,znati
imati,866,imati
početi,866,početi
mnogo,835,mnogo
videti,828,videti
ту,798,tu
još,793,još
требати,770,trebati
видјети,755,vidjeti
гледати,733,gledati
tako,731,tako
доћи,706,doći
увек,705,uvek
сада,702,sada
где,696,gde
казати,688,kazati
почети,685,početi
добро,674,dobro
мало,653,malo
немати,640,nemati
ићи,624,ići
мислити,592,misliti
остати,575,ostati
govoriti,573,govoriti
trebati,570,trebati
тада,563,tada
odgovoriti,556,odgovoriti
морати,548,morati
опет,544,opet
дати,537,dati
чути,535,čuti
sada,526,sada
nemati,509,nemati
живети,508,živeti
пут,507,put
стајати,502,stajati
наћи,498,naći
далеко,496,daleko
kazati,495,kazati
изгледати,493,izgledati
ići,489,ići
upitati,484,upitati
одмах,483,odmah
носити,463,nositi
doći,460,doći
gde,460,gde
vidjeti,454,vidjeti
raditi,444,raditi
радити,438,raditi
ovde,434,ovde
онда,432,onda
odmah,431,odmah
dobro,430,dobro
тражити,418,tražiti
колико,411,koliko
tamo,405,tamo
овде,404,ovde
неколико,404,nekoliko
tada,377,tada
држати,376,držati
чинити,372,činiti
сад,372,sad
узети,372,uzeti
čuti,369,čuti
morati,369,morati
zašto,367,zašto
тамо,365,tamo
misliti,364,misliti
брзо,363,brzo
otići,363,otići
долазити,357,dolaziti
никад,353,nikad
stajati,353,stajati
dati,352,dati
sedeti,350,sedeti
malo,347,malo
живјети,342,živjeti
толико,339,toliko
потпуно,338,potpuno
gledati,335,gledati
седети,333,sedeti
živeti,328,živeti
onda,327,onda
осећати,322,osećati
одједном,320,odjednom
чекати,318,čekati
sad,314,sad
дуго,310,dugo
отићи,306,otići
упитати,306,upitati
слушати,304,slušati
tu,303,tu
вратити,299,vratiti
ostati,298,ostati
волети,287,voleti
vratiti,283,vratiti
pogledati,283,pogledati
kako,282,kako
naći,282,naći
постати,280,postati
често,273,često
учинити,271,učiniti
писати,268,pisati
налазити,267,nalaziti
стићи,267,stići
daleko,264,daleko
nekoliko,264,nekoliko
стати,256,stati
лежати,255,ležati
ипак,253,ipak
лако,250,lako
razumeti,247,razumeti
put,247,put
поново,246,ponovo
водити,244,voditi
исто,237,isto
читати,233,čitati
добити,233,dobiti
питати,232,pitati
затим,231,zatim
uzeti,230,uzeti
moliti,230,moliti
погледати,229,pogledati
otvoriti,229,otvoriti
brzo,229,brzo
pojaviti,228,pojaviti
тешко,226,teško
проћи,225,proći
негде,225,negde
dobiti,225,dobiti
звати,223,zvati
једном,221,jednom
ući,221,ući
зато,220,zato
одговорити,219,odgovoriti
opet,219,opet
молити,217,moliti
ући,214,ući
zatim,213,zatim
сасвим,212,sasvim
постојати,211,postojati
значити,210,značiti
можда,210,možda
ponovo,209,ponovo
пасти,206,pasti
кренути,206,krenuti
рано,204,rano
заједно,203,zajedno
причати,202,pričati
желети,201,želeti
како,201,kako
ipak,201,ipak
postati,201,postati
оставити,200,ostaviti
зашто,200,zašto
сматрати,199,smatrati
давати,198,davati
потом,197,potom
možda,197,možda
tiho,196,tiho
онако,195,onako
умети,195,umeti
značiti,195,značiti
умрети,194,umreti
krenuti,194,krenuti
отворити,193,otvoriti
данас,193,danas
падати,190,padati
показати,190,pokazati
sasvim,190,sasvim
slušati,190,slušati
živjeti,189,živjeti
примити,188,primiti
okrenuti,188,okrenuti
voleti,187,voleti
изгубити,185,izgubiti
pozvati,185,pozvati
прећи,183,preći
расти,183,rasti
želeti,183,želeti
uvek,183,uvek
осетити,182,osetiti
враћати,182,vraćati
osećati,182,osećati
nestati,182,nestati
нарочито,181,naročito
ostaviti,181,ostaviti
никада,180,nikada
ležati,179,ležati
potpuno,178,potpuno
pisati,178,pisati
poći,178,poći
овако,177,ovako
јести,177,jesti
вољети,177,voljeti
nalaziti,176,nalaziti
povikati,175,povikati
одавно,174,odavno
готово,173,gotovo
викати,172,vikati
заборавити,172,zaboraviti
držati,172,držati
koliko,172,koliko
помислити,171,pomisliti
стално,171,stalno
shvatiti,171,shvatiti
уопште,170,uopšte
бивати,169,bivati
zaboraviti,168,zaboraviti
схватити,166,shvatiti
губити,166,gubiti
управо,165,upravo
десити,165,desiti
заиста,165,zaista
proći,165,proći
pričati,165,pričati
izaći,165,izaći
пратити,164,pratiti
pomisliti,163,pomisliti
пити,161,piti
окренути,161,okrenuti
лепо,160,lepo
остајати,159,ostajati
ugledati,159,ugledati
играти,158,igrati
поћи,158,poći
одговарати,158,odgovarati
донети,158,doneti
спавати,157,spavati
izvući,157,izvući
служити,154,služiti
učiniti,154,učiniti
voditi,153,voditi
teško,152,teško
разумети,151,razumeti
послати,151,poslati
spavati,151,spavati
nastaviti,150,nastaviti
певати,149,pevati
nositi,149,nositi
pitati,148,pitati
разговарати,147,razgovarati
baciti,147,baciti
међутим,146,međutim
наставити,146,nastaviti
одлазити,146,odlaziti
посматрати,146,posmatrati
најзад,146,najzad
pasti,146,pasti
бацити,145,baciti
danas,145,danas
dugo,145,dugo
čekati,145,čekati
završiti,145,završiti
иначе,144,inače
пустити,144,pustiti
мењати,144,menjati
izgledati,144,izgledati
изићи,143,izići
приметити,143,primetiti
stići,143,stići
дизати,142,dizati
jednom,142,jednom
веровати,141,verovati
takođe,141,takođe
zvati,141,zvati
posmatrati,141,posmatrati
почињати,140,počinjati
pokazati,140,pokazati
tražiti,140,tražiti
ustati,140,ustati
купити,139,kupiti
činiti,139,činiti
upravo,138,upravo
некад,137,nekad
напустити,137,napustiti
voljeti,137,voljeti
postojati,137,postojati
zajedno,137,zajedno
poslati,137,poslati
завршити,136,završiti
веома,135,veoma
pustiti,135,pustiti
прићи,134,prići
ноћу,132,noću
ухватити,132,uhvatiti
предати,130,predati
бранити,130,braniti
staviti,130,staviti
појавити,129,pojaviti
једва,128,jedva
сањати,128,sanjati
зауставити,128,zaustaviti
познавати,128,poznavati
dolaziti,128,dolaziti
uhvatiti,128,uhvatiti
ovamo,128,ovamo
okretati,128,okretati
прочитати,127,pročitati
čitati,127,čitati
показивати,126,pokazivati
дешавати,126,dešavati
после,126,posle
понекад,126,ponekad
очекивати,126,očekivati
obratiti,126,obratiti
odlaziti,125,odlaziti
uopšte,125,uopšte
пролазити,124,prolaziti
жељети,123,željeti
željeti,123,željeti
uspeti,123,uspeti
osmehnuti,123,osmehnuti
izgubiti,123,izgubiti
dizati,123,dizati
успети,122,uspeti
ваљати,122,valjati
nikada,122,nikada
седити,121,sediti
јављати,121,javljati
сазнати,121,saznati
једино,120,jedino
дубоко,120,duboko
узимати,120,uzimati
sećati,120,sećati
умријети,119,umrijeti
мучити,119,mučiti
bojati,119,bojati
обично,118,obično
сећати,117,sećati
личити,117,ličiti
razgovarati,117,razgovarati
pružiti,117,pružiti
сетити,116,setiti
наравно,116,naravno
трајати,116,trajati
довести,116,dovesti
заувек,116,zauvek
verovati,116,verovati
desiti,116,desiti
отварати,115,otvarati
учити,115,učiti
ударити,114,udariti
тврдити,114,tvrditi
наредити,113,narediti
stati,113,stati
пола,112,pola
излазити,112,izlaziti
јавити,112,javiti
кретати,112,kretati
окретати,112,okretati
zato,112,zato
toliko,112,toliko
narediti,112,narediti
progovoriti,112,progovoriti
сести,111,sesti
некако,111,nekako
родити,110,roditi
угледати,110,ugledati
odjednom,109,odjednom
lako,109,lako
sediti,109,sediti
хватати,108,hvatati
заборављати,108,zaboravljati
бојати,107,bojati
спремати,107,spremati
јасно,107,jasno
isto,107,isto
spustiti,107,spustiti
veoma,107,veoma
nekako,107,nekako
викнути,106,viknuti
припадати,106,pripadati
ћутати,106,ćutati
постајати,106,postajati
ispričati,106,ispričati
začuti,106,začuti
око,105,oko
затворити,104,zatvoriti
očekivati,104,očekivati
napisati,104,napisati
zaustaviti,104,zaustaviti
oprostiti,104,oprostiti
тећи,103,teći
пажљиво,103,pažljivo
упутити,103,uputiti
бежати,103,bežati
сутра,103,sutra
kasno,103,kasno
predati,103,predati
тихо,102,tiho
прелазити,102,prelaziti
пуштати,102,puštati
tačno,102,tačno
jako,102,jako
подићи,101,podići
doneti,101,doneti
полако,100,polako
мирно,100,mirno
смести,100,smesti
jedva,100,jedva
провести,99,provesti
бацати,99,bacati
када,99,kada
објаснити,99,objasniti
наићи,99,naići
узалуд,99,uzalud
setiti,99,setiti
piti,99,piti
пробудити,98,probuditi
врло,98,vrlo
нагло,98,naglo
повући,98,povući
сувише,98,suviše
naravno,98,naravno
спустити,97,spustiti
доносити,97,donositi
juče,97,juče
помоћи,96,pomoći
казивати,96,kazivati
чувати,96,čuvati
smatrati,96,smatrati
kući,96,kući
probuditi,96,probuditi
prići,96,prići
smejati,96,smejati
poznavati,96,poznavati
zamisliti,96,zamisliti
sutra,96,sutra
начинити,95,načiniti
примати,95,primati
свуда,95,svuda
одвести,95,odvesti
igrati,95,igrati
zatvoriti,95,zatvoriti
počinjati,95,počinjati
odavno,95,odavno
saznati,95,saznati
тачно,94,tačno
путовати,94,putovati
izlaziti,94,izlaziti
osetiti,94,osetiti
najednom,94,najednom
замислити,93,zamisliti
касно,93,kasno
владати,93,vladati
valjati,93,valjati
najzad,93,najzad
смејати,92,smejati
vikati,92,vikati
začuditi,92,začuditi
rano,92,rano
ulaziti,92,ulaziti
умирати,91,umirati
крити,91,kriti
vrlo,91,vrlo
primetiti,91,primetiti
stalno,91,stalno
shvatati,91,shvatati
umreti,91,umreti
улазити,90,ulaziti
ставити,90,staviti
позвати,90,pozvati
остављати,90,ostavljati
kada,90,kada
кући,89,kući
ширити,89,širiti
preći,89,preći
napustiti,89,napustiti
zamoliti,89,zamoliti
dovesti,89,dovesti
јако,88,jako
никако,88,nikako
поставити,88,postaviti
најпосле,88,najposle
убити,88,ubiti
uveče,88,uveče
postaviti,88,postaviti
вући,87,vući
гласно,87,glasno
настати,87,nastati
прекидати,87,prekidati
закључити,86,zaključiti
настављати,86,nastavljati
везати,86,vezati
negde,86,negde
podizati,86,podizati
pročitati,86,pročitati
dosta,85,dosta
odvesti,85,odvesti
слати,84,slati
шапутати,84,šaputati
objasniti,84,objasniti
ubiti,84,ubiti
kretati,84,kretati
odgovarati,84,odgovarati
udariti,84,udariti
просто,83,prosto
непрестано,83,neprestano
опростити,83,oprostiti
делити,83,deliti
dodaditi,83,dodaditi
најпре,83,najpre
понављати,82,ponavljati
трчати,82,trčati
правити,82,praviti
сутрадан,82,sutradan
једнако,82,jednako
променити,82,promeniti
памтити,82,pamtiti
давити,82,daviti
očigledno,82,očigledno
padati,82,padati
uzvikan,82,uzvikan
решити,81,rešiti
нестати,81,nestati
срести,81,sresti
створити,81,stvoriti
настојати,81,nastojati
skoro,81,skoro
potom,81,potom
poleteti,81,poleteti
družiti,81,družiti
дочекати,80,dočekati
гонити,80,goniti
одлучити,79,odlučiti
стизати,79,stizati
одувек,79,oduvek
ponekad,79,ponekad
jasno,79,jasno
одвратити,78,odvratiti
загледати,78,zagledati
очигледно,78,očigledno
уплашити,78,uplašiti
пазити,78,paziti
prekinuti,78,prekinuti
изговорити,77,izgovoriti
пушити,77,pušiti
извести,77,izvesti
написати,77,napisati
престати,77,prestati
овамо,77,ovamo
пре,77,pre
lepo,77,lepo
davati,77,davati
truditi,77,truditi
pažljivo,77,pažljivo
платити,76,platiti
задржати,76,zadržati
горе,76,gore
извући,76,izvući
надати,76,nadati
ćutati,76,ćutati
pola,76,pola
kuda,76,kuda
pomoći,76,pomoći
inače,76,inače
куда,75,kuda
научити,75,naučiti
izići,75,izići
iznenada,75,iznenada
доста,74,dosta
испричати,74,ispričati
помагати,74,pomagati
prestati,74,prestati
često,74,često
plakati,74,plakati
sigurno,74,sigurno
spremati,74,spremati
kupiti,74,kupiti
догодити,74,dogoditi
изаћи,73,izaći
пријећи,73,prijeći
вредити,73,vrediti
навићи,73,navići
прихватити,73,prihvatiti
дотле,73,dotle
pokušati,73,pokušati
sesti,73,sesti
прво,72,prvo
прекинути,72,prekinuti
напуштати,72,napuštati
споро,72,sporo
skočiti,72,skočiti
razmišljati,72,razmišljati
dešavati,72,dešavati
нигде,71,nigde
изменити,71,izmeniti
доле,71,dole
noću,71,noću
жалити,70,žaliti
убрзо,70,ubrzo
подизати,70,podizati
претворити,70,pretvoriti
стварно,70,stvarno
vraćati,70,vraćati
primiti,70,primiti
zaista,70,zaista
представљати,69,predstavljati
претварати,69,pretvarati
куд,69,kud
унапред,69,unapred
smestiti,69,smestiti
nikako,69,nikako
čvrsto,69,čvrsto
застати,68,zastati
натраг,68,natrag
ударати,68,udarati
сачувати,68,sačuvati
изненадити,68,iznenaditi
понети,68,poneti
плакати,68,plakati
odlučiti,68,odlučiti
zagledati,68,zagledati
вели,67,veli
спасти,67,spasti
трудити,67,truditi
изјавити,67,izjaviti
oko,67,oko
pratiti,66,pratiti
jesti,66,jesti
mučiti,66,mučiti
stezati,66,stezati
izviniti,66,izviniti
dočekati,66,dočekati
uraditi,66,uraditi
узбудити,65,uzbuditi
помишљати,65,pomišljati
мешати,65,mešati
gubiti,65,gubiti
uostalom,65,uostalom
umeti,65,umeti
prolaziti,65,prolaziti
smeti,65,smeti
dopustiti,65,dopustiti
свирати,64,svirati
преварити,64,prevariti
називати,64,nazivati
десно,64,desno
користити,64,koristiti
međutim,64,međutim
извадити,63,izvaditi
напољу,63,napolju
вршити,63,vršiti
добијати,63,dobijati
ослободити,63,osloboditi
саставити,63,sastaviti
napred,63,napred
mirno,63,mirno
popiti,63,popiti
ovako,63,ovako
давно,63,davno
izgovoriti,63,izgovoriti
терати,62,terati
додати,62,dodati
испунити,62,ispuniti
