infinitive_latin,frequency
бити,1891
моћи,137
само,99
много,97
говорити,87
тако,71
имати,69
хтети,69
знати,68
још,67
видети,58
увек,56
већ,52
ту,51
казати,50
видјети,44
мало,43
добро,42
немати,40
причати,40
далеко,38
изгледати,37
требати,37
овде,34
тражити,34
мислити,33
рећи,32
остати,31
гледати,30
опет,30
слушати,28
доћи,27
неколико,27
где,27
никад,27
стати,26
чути,25
живети,25
одмах,24
пут,22
често,21
тада,20
ићи,19
брзо,19
почети,19
наћи,19
радити,18
морати,17
пустити,17
сад,17
одједном,17
држати,16
бивати,16
умрети,16
исто,16
чинити,15
лако,15
тамо,15
живјети,15
дуго,15
дати,14
настављати,14
вратити,14
колико,14
толико,14
сада,13
ухватити,13
стално,13
негде,13
онда,13
затим,12
седети,12
тешко,12
једном,12
довести,12
повући,12
чекати,12
нарочито,12
познавати,12
потпуно,12
осећати,12
отићи,11
ипак,11
испитивати,11
умријети,11
питати,11
викати,11
разговарати,11
наставити,10
лепо,10
десити,10
заиста,10
заборављати,10
бранити,10
почињати,10
одлазити,10
учинити,10
постати,10
трајати,10
врло,10
готово,10
рано,10
остајати,10
постојати,10
стајати,10
сазнати,10
звати,9
писати,9
изгубити,9
читати,9
некако,9
стићи,9
предати,9
узети,9
сутрадан,9
налазити,9
пратити,9
очигледно,9
онако,9
губити,8
овако,8
лежати,8
умети,8
јести,8
прићи,8
свуда,8
кренути,8
мењати,8
одговарати,8
ваљати,8
очекивати,8
понекад,8
заједно,8
веровати,8
некад,8
водити,8
примити,8
осетити,8
једино,7
послати,7
успети,7
казивати,7
доста,7
долазити,7
добити,7
бежати,7
посве,7
примати,7
тихо,7
проћи,7
поћи,7
волети,7
прилазити,7
значити,7
кретати,7
одвојити,7
окренути,7
сматрати,7
јасно,7
иначе,7
желети,7
носити,7
погледати,7
молити,7
признати,7
најпосле,7
јављати,7
бацати,7
пасти,7
нудити,7
слати,7
сасвим,6
свршити,6
побећи,6
провести,6
редовно,6
враћати,6
стварно,6
наравно,6
пролазити,6
зато,6
пушити,6
упутити,6
јавити,6
ударити,6
поменути,6
пуштати,6
нагло,6
отимати,6
седити,6
помислити,6
овамо,6
једва,6
једнако,6
расти,6
уплашити,6
појавити,6
давати,6
изнети,6
живо,6
објаснити,6
ширити,5
вршити,5
одмахивати,5
посматрати,5
помало,5
престати,5
трудити,5
тачно,5
понављати,5
заувек,5
сумњати,5
доносити,5
затварати,5
споља,5
стварати,5
вредити,5
ослободити,5
извући,5
родити,5
настојати,5
постајати,5
изазивати,5
избегавати,5
предавати,5
напустити,5
припадати,5
мирно,5
лично,5
заузети,5
помоћи,5
преварити,5
затворити,5
жељети,5
изменити,5
замислити,5
можда,5
решити,5
прво,5
како,5
склонити,5
свакако,5
излазити,5
дизати,5
пробудити,5
приметити,5
жао,5
поновити,5
застати,5
попустити,5
показивати,5
умирати,5
зауставити,4
чувати,4
грдити,4
присетити,4
заћутати,4
слутити,4
споро,4
прекидати,4
објашњавати,4
постављати,4
непрестано,4
красти,4
уживати,4
крити,4
обично,4
лупати,4
сигурно,4
оженити,4
тужно,4
најурити,4
развити,4
нестајати,4
данас,4
престајати,4
упадати,4
угледати,4
падати,4
настати,4
извршити,4
сетити,4
одбијати,4
оставити,4
изаћи,4
откуд,4
лево,4
око,4
изговарати,4
друкчије,4
чудити,4
обилазити,4
случајно,4
мало-помало,4
шапутати,4
одувек,4
извести,4
сести,4
изабрати,4
дочно,4
задржати,4
потврђивати,4
учествовати,4
испричати,4
сахранити,4
оздравити,4
проучавати,4
пренети,4
послужити,4
прочитати,4
искористити,4
убити,4
довољно,4
узалуд,4
изручити,4
уцењивати,4
заборавити,4
ваљда,3
узимати,3
одакле,3
тупо,3
нестати,3
стога,3
саслушати,3
унапред,3
поготову,3
свакодневно,3
одлежати,3
варати,3
платити,3
решавати,3
оптужити,3
делити,3
стизати,3
ноћу,3
продуживати,3
бојати,3
покрасти,3
допирати,3
осудити,3
сванути,3
доживети,3
прекинути,3
направити,3
гонити,3
љутито,3
угасити,3
пазити,3
стрепити,3
доказати,3
смејати,3
настајати,3
дотле,3
одавно,3
претварати,3
играти,3
дружити,3
привлачити,3
користити,3
дешавати,3
занимати,3
запустити,3
одавде,3
везати,3
дисати,3
десно,3
нападати,3
збуњивати,3
тврдити,3
претворити,3
притеснити,3
уверавати,3
променити,3
доспети,3
хватати,3
изјавити,3
прелазити,3
напуштати,3
помагати,3
одржавати,3
замрсити,3
вољети,3
притискивати,3
спасти,3
приказати,3
понашати,3
јако,3
напола,3
управо,3
утврдити,3
отворити,3
спустити,3
подстицати,3
улазити,3
завршавати,3
удати,3
путовати,3
одлучно,3
положити,3
топити,3
везивати,3
виђати,3
спремати,3
опомињати,3
зашто,3
пре,3
бавити,3
прати,3
подићи,3
трпети,3
одбити,3
загледати,3
правити,3
полако,3
после,3
подаље,3
разликовати,3
одговорити,3
отпочети,3
поново,3
полазити,3
продужити,3
покушати,3
полагати,3
повести,3
свечано,3
бунити,3
сећати,3
помишљати,3
тргнути,3
уплести,3
шетати,3
јуче,2
неприметно,2
мешати,2
владати,2
страшно,2
гласно,2
потрошити,2
увијек,2
докле,2
осигурати,2
изненадити,2
јекнути,2
бацити,2
грубо,2
окретати,2
понети,2
убрзо,2
ухапсити,2
напред,2
придавати,2
називати,2
пунити,2
заустављати,2
сакрити,2
растурити,2
личити,2
певати,2
дозивати,2
уздихати,2
одводити,2
рецитовати,2
дрско,2
поштовати,2
поштено,2
ћутке,2
завадити,2
омрзнути,2
распродати,2
потајно,2
разболети,2
женити,2
стрпљиво,2
планути,2
казнити,2
мучити,2
затезати,2
преносити,2
узнемирити,2
трептети,2
одјекивати,2
урлати,2
заразити,2
појачавати,2
послушати,2
весело,2
спасити,2
учити,2
плести,2
упасти,2
вадити,2
немилосрдно,2
одати,2
дирати,2
продати,2
купити,2
заштитити,2
служити,2
ући,2
искрснути,2
стећи,2
развијати,2
стезати,2
растезати,2
продирати,2
претресати,2
стрепети,2
неочекивано,2
вели,2
пронаћи,2
прећи,2
пријећи,2
склопити,2
погрешити,2
отпремити,2
жалити,2
наредити,2
остављати,2
уносити,2
донекле,2
управљати,2
препричавати,2
навићи,2
изводити,2
опширно,2
удесити,2
куповати,2
откупити,2
отприлике,2
објавити,2
покушавати,2
договорити,2
истерати,2
сазнавати,2
клонити,2
заузимати,2
разабрати,2
пити,2
закретати,2
негодовати,2
привући,2
никако,2
вазда,2
спавати,2
синоћ,2
повезати,2
трепнути,2
плашити,2
допустити,2
најпре,2
увидети,2
изговорити,2
гасити,2
докраја,2
обнављати,2
вечерати,2
дотад,2
угонити,2
трчати,2
опростити,2
занети,2
издржати,2
досад,2
присилити,2
пренути,2
одиграти,2
откривати,2
жустро,2
задржавати,2
захтевати,2
вући,2
одупрети,2
упорно,2
смести,2
смислити,2
испунити,2
саопштити,2
изазвати,2
подржавати,2
спремити,2
уосталом,2
уопште,2
проводити,2
кружити,2
односити,2
умешати,2
изрећи,2
заточити,2
узајамно,2
узбунити,2
оштро,2
написати,2
починити,2
укратко,2
издвојити,2
хајати,2
умиривати,2
умирити,2
погрешно,2
мировати,2
пажљиво,2
навраћати,2
однекуд,2
завршити,2
предвидети,2
створити,2
ранити,2
погодити,2
под,2
потиснути,2
свега,2
приметно,2
звучати,2
упитати,2
наилазити,2
оклевати,2
рађати,2
наследити,2
победити,2
изнијети,2
дочекати,2
плаћати,2
освојити,2
напасти,2
дочекивати,2
поклонити,2
уверити,2
пристајати,2
ставити,2
боловати,2
пронети,2
отровати,2
покопати,2
издати,2
поразити,2
напамет,2
слободно,2
срести,2
узгред,2
хладно,2
брисати,2
оборити,2
размишљати,2
продрмати,2
немирно,2
ходати,2
сакупљати,2
напротив,2
смркнути,2
близу,2
надати,2
подизати,2
искакати,2
предузимати,2
ћутати,2
освртати,2
пореметити,2
окруживати,2
сићи,2
побити,2
трептати,2
ниско,2
слабо,2
нигде,2
гдје,2
допасти,2
сјести,2
икад,2
шалити,2
замести,1
одузети,1
ишчезнути,1
вирити,1
пропрћити,1
протезати,1
унедоглед,1
друговати,1
реметити,1
састављати,1
гунђати,1
сабирати,1
трошити,1
љубоморно,1
предлагати,1
наложити,1
слећи,1
карати,1
богзна,1
пописивати,1
наџивети,1
подсећати,1
записати,1
бројати,1
присвајати,1
достојанствено,1
задужити,1
задесити,1
разазнавати,1
честито,1
показати,1
прескочити,1
уназад,1
допуњавати,1
туда,1
притварати,1
апсити,1
захватати,1
трагати,1
упућивати,1
пробирати,1
решетати,1
украсти,1
сачињавати,1
гамизати,1
завлачити,1
попити,1
непоправљиво,1
упропастити,1
улепшавати,1
излагати,1
проговарати,1
оковати,1
звекетати,1
псовати,1
изумети,1
пристизати,1
ослобађати,1
кући,1
заплести,1
угазити,1
никнути,1
газити,1
сатеривати,1
зарезивати,1
довикивати,1
свађати,1
шкрипати,1
кркљати,1
хркати,1
отварати,1
истурати,1
доводити,1
вруће,1
режати,1
претити,1
раздвојити,1
позатварати,1
смиривати,1
поврвјети,1
требити,1
превијати,1
наивно,1
јевтино,1
