infinitive_latin,frequency
biti,48
ljubiti,15
voleti,5
doći,3
ponositi,3
voljeti,3
donositi,2
prolaziti,2
družiti,2
proneti,2
nemati,2
služiti,2
ići,2
dogoreti,2
buditi,2
hteti,2
čeznuti,2
nositi,2
otvoriti,1
brisati,1
uvrtati,1
preplašiti,1
ćutati,1
stajati,1
čekati,1
pronositi,1
mnogo,1
pronesoti,1
pobeleti,1
potamniti,1
smršati,1
osušiti,1
gde,1
odakle,1
sići,1
piti,1
ubijati,1
goniti,1
jurišati,1
terati,1
hvatati,1
želeti,1
put,1
zalivati,1
osvetljavati,1
zepsti,1
boliti,1
marširati,1
napred,1
lepršati,1
bacati,1
brzo,1
skidati,1
mirisati,1
snevati,1
sahraniti,1
mrziti,1
učiniti,1
dobiti,1
dočaravati,1
zamoriti,1
znati,1
štati,1
čuvati,1
braniti,1
narasti,1
grmiti,1
pitati,1
vratiti,1
gušiti,1
zgrušavati,1
