infinitive_latin,frequency
бити,7710
хтети,505
моћи,431
имати,377
знати,335
тако,309
само,272
рећи,222
још,216
видети,212
много,203
већ,180
сада,161
тада,160
увек,152
где,148
почети,137
носити,134
мислити,125
гледати,121
видјети,120
требати,119
потом,110
говорити,103
немати,102
ићи,100
наћи,100
казати,100
морати,100
опет,99
овде,94
тамо,94
колико,92
чути,92
држати,91
доћи,89
добро,89
мало,88
волети,85
далеко,85
ту,84
стајати,84
никада,83
дати,82
пут,81
упитати,77
остати,75
долазити,74
узети,74
добити,73
одмах,71
онда,70
живети,65
радити,62
тражити,61
можда,58
седети,58
постати,57
пити,56
помислити,56
изгледати,55
постојати,54
умети,54
читати,53
отићи,53
сасвим,53
вратити,53
негде,51
брзо,51
толико,51
осећати,49
једном,49
учинити,49
вољети,48
чекати,48
звати,47
зато,47
ући,44
заједно,43
купити,43
умрети,42
поново,42
причати,42
зашто,42
пасти,42
лежати,41
чинити,41
схватити,40
рано,40
учити,39
показати,39
када,39
исто,38
осетити,38
понекад,38
шапутати,38
падати,38
најзад,38
усправно,38
живјети,37
расти,37
припадати,37
дуго,37
одједном,37
оставити,37
погледати,37
родити,37
заборавити,36
јести,36
после,36
донети,36
давати,35
кренути,35
неколико,34
водити,34
заувек,34
сетити,34
никад,32
ипак,32
певати,32
онако,32
спавати,32
данас,32
лепо,32
веома,32
бојати,31
ноћу,30
некада,30
узвратити,30
како,30
налазити,30
слушати,29
сећати,29
полако,29
добијати,29
унапред,28
сматрати,28
често,28
открити,28
начинити,28
сањати,28
значити,28
спустити,28
сад,28
наставити,28
питати,27
окренути,27
поставити,27
касно,27
уопште,27
пустити,27
отворити,27
појавити,27
бацити,26
око,26
разумети,26
једва,26
дубоко,26
тачно,26
изгубити,26
писати,26
догодити,25
ухватити,25
потпуно,25
одлазити,25
наравно,25
прочитати,24
пазити,24
ставити,24
лако,24
десити,24
проћи,23
попити,23
подићи,23
постајати,23
стално,23
прићи,23
показивати,23
пратити,23
ваљати,23
променити,23
личити,23
стићи,23
одавно,23
хватати,22
остајати,22
мењати,22
опазити,22
тећи,22
приметити,22
напољу,22
остављати,22
повремено,22
угледати,22
испричати,22
претварати,22
бацати,21
тешко,21
враћати,21
свуда,21
окретати,21
прећи,21
играти,21
насликати,21
решити,21
зауставити,21
претворити,21
ударити,20
отварати,20
куд,20
обично,20
узимати,20
одлучити,20
иначе,20
најпре,20
завршити,20
умријети,19
почињати,19
научити,19
овако,19
појести,19
потражити,19
срести,19
седити,19
натраг,19
ујутру,19
управо,19
очигледно,19
некако,19
ћутати,18
сести,18
међутим,18
једино,18
крстити,18
познати,18
некад,18
служити,18
насмејати,18
обратити,18
изаћи,18
убити,18
веровати,18
додуше,17
готово,17
закључити,17
правити,17
губити,17
смести,17
одговорити,17
извадити,17
стати,17
доносити,16
кретати,16
зачудити,16
јако,16
загледати,16
чувати,16
познавати,16
сметати,16
изненада,16
желети,16
послати,16
изићи,16
замислити,16
памтити,16
сликати,16
смејати,15
никако,15
мирисати,15
убрзо,15
боравити,15
преносити,15
свирати,15
пробудити,15
вући,15
додати,15
градити,15
пушити,15
пола,15
измислити,15
јасно,15
терати,14
затворити,14
тихо,14
везивати,14
кући,14
покушати,14
примити,14
пружити,14
уосталом,14
молити,14
довести,14
пљунути,14
устати,14
овамо,14
саставити,13
наићи,13
путовати,13
пренети,13
олизати,13
двапут,13
користити,13
улазити,13
нестајати,13
заборављати,13
тврдити,13
везати,13
трајати,13
излазити,13
поћи,13
палити,13
сахранити,13
бранити,13
бирати,13
ударати,13
понудити,13
сигурно,13
куповати,13
угасити,13
престати,13
следити,13
употребити,13
завршавати,12
разбити,12
понети,12
нарочито,12
пунити,12
створити,12
препознати,12
узалуд,12
посматрати,12
напоље,12
прати,12
ваљда,12
дотле,12
спуштати,12
заправо,12
напустити,12
унети,12
наредити,12
посветити,12
помињати,12
извући,12
односити,12
прелазити,12
прихватити,12
гасити,12
ширити,12
вели,12
водоравно,12
преводити,12
склопити,12
делити,11
неговати,11
слати,11
доиста,11
бивати,11
увече,11
затећи,11
уплашити,11
упамтити,11
бројати,11
јавити,11
спасти,11
умирати,11
обући,11
однети,11
понашати,11
донијети,11
спазити,11
продавати,11
објаснити,11
сејати,11
зависити,11
чудити,11
схватати,11
одвести,11
задржати,11
стећи,11
одувек,11
свеједно,11
затим,11
чистити,11
гојити,11
владати,10
разликовати,10
записати,10
покушавати,10
лево,10
будити,10
пажљиво,10
случајно,10
сићи,10
пловити,10
жељети,10
избегавати,10
куда,10
указати,10
чудно,10
пријећи,10
изненадити,10
плакати,10
сутра,10
посебно,10
обраћати,10
пећи,10
оженити,10
убијати,10
лечити,10
давно,10
набавити,10
продати,10
дешавати,10
замишљати,10
почивати,9
одвојити,9
настављати,9
страховито,9
сазнати,9
стварно,9
бавити,9
високо,9
пуштати,9
одакле,9
љубити,9
звиждати,9
сувише,9
обавити,9
пољубити,9
прекидати,9
стизати,9
позвати,9
наједном,9
висити,9
газити,9
платити,9
нигде,9
вирити,9
прекрстити,9
