infinitive_latin,frequency
бити,502
само,26
моћи,24
видјети,21
хтети,20
тако,19
много,17
ићи,16
још,16
видети,15
гледати,15
знати,15
онда,14
чути,13
сад,13
већ,12
дизати,12
говорити,12
одмах,11
ту,10
мало,10
смјети,10
увек,10
увијек,10
пут,9
чинити,9
сједити,9
пити,9
стати,9
поћи,8
почети,8
ширити,8
певати,8
пјевати,8
доћи,8
остати,8
живјети,8
где,8
лежати,8
имати,7
водити,7
бивати,7
изгубити,7
пушити,7
стајати,7
држати,6
јести,6
зашто,6
онако,6
добро,6
осетити,6
гдје,6
отићи,6
никад,6
заустављати,5
казивати,5
трчати,5
изићи,5
ваљати,5
окренути,5
немати,5
живети,5
пролазити,5
смети,5
погледати,5
никако,5
слушати,5
рећи,5
брзо,5
осјетити,5
угледати,5
путовати,4
чекати,4
шкрипати,4
продавати,4
куд,4
сјати,4
ударити,4
причати,4
зауставити,4
дати,4
одмицати,4
осећати,4
осјећати,4
враћати,4
далеко,4
ударати,4
дуго,4
једном,4
тражити,4
отворити,4
испрва,4
сећати,4
сјећати,4
узалуд,4
неколико,3
повући,3
изгледати,3
заједно,3
стићи,3
носити,3
ући,3
занети,3
свјетовати,3
долазити,3
лагано,3
седати,3
наједном,3
малко,3
заборавити,3
прећи,3
остајати,3
ћутати,3
нудити,3
питати,3
умрети,3
умријети,3
ухватити,3
отискивати,3
плести,3
готово,3
пасти,3
ловити,3
купити,3
сести,3
сјести,3
звати,3
смијати,3
нигде,3
нигдје,3
колико,3
сакупити,2
набујати,2
јахати,2
вести,2
дочекати,2
пуно,2
ходити,2
сићи,2
губити,2
изједначити,2
прилазити,2
врзати,2
кружити,2
посве,2
ишчезнути,2
сутрадан,2
улазити,2
викнути,2
скакати,2
наговарати,2
блажено,2
стизати,2
запевати,2
распасати,2
наређивати,2
ниско,2
ругати,2
имало,2
вући,2
издахнути,2
пунити,2
посадити,2
сједати,2
тапшати,2
потпуно,2
магарчити,2
некако,2
вриштати,2
потећи,2
бацати,2
радити,2
засукивати,2
летјети,2
савијати,2
подузети,2
непрестано,2
обесити,2
високо,2
дохватити,2
нагло,2
оставити,2
докраја,2
терати,2
тјерати,2
иначе,2
махати,2
пружити,2
јасно,2
оборити,2
сакрити,2
дражити,2
изазивати,2
затворити,2
жестоко,2
понети,2
ретко,2
ријетко,2
откако,2
упутити,2
правити,2
бежати,2
овако,2
чудити,2
коначно,2
учинити,2
узимати,2
мислити,2
крити,2
викати,2
шибати,2
затећи,2
бијахати,2
венути,2
некад,2
потајно,2
упитати,2
узети,2
поздравити,2
казати,2
спавати,2
помало,2
тући,2
престајати,2
прелазити,2
лепршати,2
тешко,2
дисати,2
почесити,2
мешати,2
одједном,2
ранити,2
давно,2
сада,2
псовати,2
глоати,2
десно,2
падати,2
разилазити,2
најприје,2
пустити,2
гушити,2
наћи,2
пењати,2
закренути,2
налево,2
одупирати,2
веома,2
растављати,2
стругати,2
гласно,2
устати,2
запазити,2
морати,2
