base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
gledati,izgledati,iz,33718159827,11801
činiti,učiniti,u,140123051,20096
pitati,upitati,u,4493498,383311
govoriti,odgovoriti,od,14017492867,11108
laziti,nalaziti,na,11105420,4932433
laziti,dolaziti,do,11105420,387190
staviti,nastaviti,na,121715173,22713
gubiti,izgubiti,iz,125241,8942
biti,dobiti,do,366890161089,3428335
laziti,odlaziti,od,11105420,5447
boraviti,zaboraviti,za,51558,6260
laziti,prolaziti,pro,11105420,6983
vršiti,završiti,za,11751190,13888
stati,ustati,u,194127641,156414
dati,dodati,do,3229395431,222649
naći,pronaći,pro,488660,18461
praviti,napraviti,na,7678200,15606
goditi,dogoditi,do,476450,6512
lučiti,odlučiti,od,29578,13222
ustaviti,zaustaviti,za,29290,5047
gledati,ugledati,u,33718159827,2816
znati,saznati,sa,22535185,10684
laziti,izlaziti,iz,11105420,155348
raditi,uraditi,u,2134972268,12523
biti,ubiti,u,366890161089,3841
tvoriti,zatvoriti,za,34696,4217
misliti,zamisliti,za,1332416615,4557
stati,prestati,pre,194127641,5128
pisati,napisati,na,445014184,5537
vući,izvući,iz,2389195232,2257
čitati,pročitati,pro,2228722,6112
vesti,provesti,pro,87027535,5771
ići,izići,iz,446248180,111586
buditi,probuditi,pro,408191,2718
vratiti,odvratiti,od,5891786,1888
kinuti,prekinuti,pre,1612,3249
pustiti,napustiti,na,277845735,5206
držati,zadržati,za,94152923,5135
znati,priznati,pri,22535185,5161
laziti,ulaziti,u,11105420,5450
učiti,naučiti,na,142665549,7842
miti,primiti,pri,253221,8263
vesti,dovesti,do,87027535,11151
padati,pripadati,pri,307297646,7619
putiti,uputiti,u,2565,9663
vesti,odvesti,od,87027535,2759
veriti,uveriti,u,411183,101689
stati,zastati,za,194127641,1704
stavljati,nastavljati,na,45653238,7248
viknuti,uzviknuti,uz,41853149,1343
imati,uzimati,uz,138708123,154098595
tvoriti,pretvoriti,pre,34696,3428
teći,zateći,za,39369597,1728
smejati,nasmejati,na,115126,1401
rediti,odrediti,od,20000101,5230
dati,predati,pre,3229395431,87240
laziti,prelaziti,pre,11105420,3687
čekati,sačekati,sa,4314736,1779
čuti,začuti,za,487358185,1150
ići,naići,na,446248180,2464
gađati,događati,do,982131,2508
stojati,nastojati,na,38856,4071
nositi,donositi,do,21523599496,10291
gledati,zagledati,za,33718159827,1156
plašiti,uplašiti,u,1091817,1289
govoriti,izgovoriti,iz,14017492867,1643
rediti,narediti,na,20000101,1610
bediti,ubediti,u,780,1575
viknuti,naviknuti,na,41853149,1029
stati,nastati,na,194127641,10156
bližiti,približiti,pri,238,2643
pitati,zapitati,za,4493498,1602
uzeti,obuzeti,ob,192286640,1012
čekati,dočekati,do,4314736,1904
miriti,umiriti,u,4159178,1021
voditi,provoditi,pro,9194327168,3436
vaditi,izvaditi,iz,28275,1661
moliti,zamoliti,za,44907550,1756
nositi,odnositi,od,21523599496,17234
biti,odbiti,od,366890161089,3506
pustiti,dopustiti,do,277845735,1734
sećati,podsećati,pod,1839373,4360
vesti,izvesti,iz,87027535,69071
početi,započeti,za,31830,7719
čuvati,sačuvati,sa,117992,3996
mati,primati,pri,1404,3976
kazati,ukazati,u,794519993,9186
činiti,načiniti,na,140123051,1215
mrmljati,promrmljati,pro,503,759
zvati,nazvati,na,187230720,2339
uzeti,zauzeti,za,192286640,2289
dati,udati,u,3229395431,49341
ljubiti,zaljubiti,za,15735731,1053
govoriti,progovoriti,pro,14017492867,1084
dužiti,produžiti,pro,177494,1974
grliti,zagrliti,za,263588,787
gasiti,ugasiti,u,27713,905
držati,izdržati,iz,94152923,1474
stajati,ustajati,u,1606384158,45865
tražiti,zatražiti,za,476487,5906
vršiti,izvršiti,iz,11751190,7940
ustavljati,zaustavljati,za,7300,1197
laziti,prilaziti,pri,11105420,1041
pustiti,prepustiti,pre,277845735,1803
variti,prevariti,pre,87,902
vesti,navesti,na,87027535,12451
likovati,razlikovati,raz,2078421,4773
terati,naterati,na,74887907,1511
javiti,objaviti,ob,66071722,10889
ništiti,uništiti,u,10,1613
učiti,obučiti,ob,142665549,1108
titi,pretiti,pre,30,504914
stati,pristati,pri,194127641,1550
čuditi,začuditi,za,42381,697
tvrditi,utvrditi,u,7666,7361
paliti,zapaliti,za,264347,879
paliti,upaliti,u,264347,782
stajati,prestajati,pre,1606384158,1588
davati,dodavati,do,1325742476,57104
dati,prodati,pro,3229395431,52009
dahnuti,uzdahnuti,uz,90112,603
padati,dopadati,do,307297646,1097
vratiti,uzvratiti,uz,5891786,1028
suditi,usuditi,u,3142916,923
vući,privući,pri,2389195232,2928
biti,izbiti,iz,366890161089,1071
ložiti,izložiti,iz,51618574,1507
smešiti,nasmešiti,na,491,620
opštiti,saopštiti,sa,21988,5629
veriti,proveriti,pro,411183,3294
misliti,razmisliti,raz,1332416615,1886
puštati,napuštati,na,37081034,1530
misliti,izmisliti,iz,1332416615,783
davati,prodavati,pro,1325742476,56969
nositi,podnositi,pod,21523599496,3035
ući,obući,ob,13003,35669
voditi,dovoditi,do,9194327168,5402
vući,uvući,u,2389195232,565
vesti,uvesti,u,87027535,4592
mešati,umešati,u,543046,767
puštati,dopuštati,do,37081034,1111
davati,predavati,pre,1325742476,2102
biti,razbiti,raz,366890161089,861
družiti,pridružiti,pri,17465,4857
baciti,prebaciti,pre,669494341,1727
javiti,izjaviti,iz,66071722,10576
znati,doznati,do,22535185,628
visiti,zavisiti,za,744843,6924
kazati,dokazati,do,794519993,2850
baciti,izbaciti,iz,669494341,1093
gutati,progutati,pro,23771,661
staviti,sastaviti,sa,121715173,1311
dirnuti,dodirnuti,do,299,827
baciti,odbaciti,od,669494341,1653
kidati,prekidati,pre,183062,963
puniti,napuniti,na,1457872,1419
ustati,odustati,od,156414,1932
tisnuti,pritisnuti,pri,448,786
mahnuti,odmahnuti,od,211229,495
pustiti,propustiti,pro,277845735,2269
vladati,savladati,sa,3870976,2465
kazivati,ukazivati,u,8869684,7707
voditi,navoditi,na,9194327168,13796
dati,izdati,iz,3229395431,3696
živeti,doživeti,do,291048414,3414
štititi,zaštititi,za,3737,2792
vrediti,uvrediti,u,1543,557
uzeti,preuzeti,pre,192286640,8445
slutiti,naslutiti,na,634,554
hvatati,prihvatati,pri,4049409,2998
pasti,napasti,na,61384116,1517
nositi,prenositi,pre,21523599496,4994
igrati,odigrati,od,343133215,2926
putiti,zaputiti,za,2565,608
poznavati,prepoznavati,pre,188328,2149
tonuti,utonuti,u,347,458
vesti,prevesti,pre,87027535,1210
taknuti,dotaknuti,do,47467,464
pasti,upasti,u,61384116,1601
paziti,zapaziti,za,73776,578
krasti,ukrasti,u,330,429
uzeti,oduzeti,od,192286640,1220
gledati,pregledati,pre,33718159827,2307
govoriti,dogovoriti,do,14017492867,2175
reći,odreći,od,1536040379,996
viti,razviti,raz,391519233,6103
ići,obići,ob,446248180,41780
vijati,odvijati,od,179658433,5016
hraniti,sahraniti,sa,1709459,519
setiti,podsetiti,pod,1192388,5271
dizati,uzdizati,uz,3933833,792
vajati,odvajati,od,11327,1095
kočiti,ukočiti,u,6847,411
stojati,sastojati,sa,38856,9254
stajati,pristajati,pri,1606384158,688
vući,navući,na,2389195232,411
kloniti,ukloniti,u,1078162,3567
braniti,zabraniti,za,78666,966
vući,zavući,za,2389195232,380
risati,obrisati,ob,6,911
puštati,prepuštati,pre,37081034,546
rediti,urediti,u,20000101,33950
nositi,iznositi,iz,21523599496,10344
buditi,uzbuditi,uz,408191,380
hvaliti,zahvaliti,za,24431,4919
nositi,unositi,u,21523599496,1938
siliti,prisiliti,pri,182,435
ostati,preostati,pre,8688017,369
baciti,ubaciti,u,669494341,1159
ložiti,odložiti,od,51618574,1151
kazati,prikazati,pri,794519993,4700
uzimati,obuzimati,ob,154098595,384
maknuti,odmaknuti,od,61079617,350
viknuti,doviknuti,do,41853149,348
voditi,izvoditi,iz,9194327168,44350
držati,uzdržati,uz,94152923,528
pisati,upisati,u,445014184,2919
očarati,razočarati,raz,226,518
dirati,prodirati,pro,1182796,469
baviti,nabaviti,na,60946268,2141
javiti,prijaviti,pri,66071722,9549
stajati,zastajati,za,1606384158,445
reći,izreći,iz,1536040379,761
davati,izdavati,iz,1325742476,2513
plakati,zaplakati,za,114905,355
biti,probiti,pro,366890161089,565
kazivati,prikazivati,pri,8869684,7366
slušati,saslušati,sa,17075690,823
stajati,nastajati,na,1606384158,3604
setiti,prisetiti,pri,1192388,459
nuditi,prinuditi,pri,152088,348
vući,odvući,od,2389195232,340
seći,preseći,pre,64570111,404
morati,primorati,pri,67661,588
gurnuti,odgurnuti,od,720,328
moriti,odmoriti,od,2337001,685
maknuti,primaknuti,pri,61079617,303
mrštiti,namrštiti,na,157,306
baciti,dobaciti,do,669494341,329
laziti,zalaziti,za,11105420,436
uzimati,zauzimati,za,154098595,2908
vijati,razvijati,raz,179658433,9546
kupiti,sakupiti,sa,7035289,926
živeti,preživeti,pre,291048414,2645
pamtiti,zapamtiti,za,54214,804
seliti,preseliti,pre,1736286,1112
disati,uzdisati,uz,3253224,292
kazivati,dokazivati,do,8869684,1572
maknuti,izmaknuti,iz,61079617,308
ćutati,ućutati,u,1349625,290
