base_verb,prefixed_verb,prefix,freq_base,freq_prefixed,,prefix,base_verb
gledati,izgledati,iz,3465276,27424,,iz,gledati
činiti,učiniti,u,3465276,2940,,u,činiti
pitati,upitati,u,3465276,2097,,od,pitati
govoriti,odgovoriti,od,3465276,818,,na,govoriti
laziti,nalaziti,na,3465276,679,,do,laziti
laziti,dolaziti,do,3465276,429,,za,staviti
staviti,nastaviti,na,3465276,138,,pro,gubiti
gubiti,izgubiti,iz,3465276,132,,sa,biti
biti,dobiti,do,3465276,114,,pre,boraviti
laziti,odlaziti,od,3465276,71,,pri,vršiti
boraviti,zaboraviti,za,3465276,46,,uz,stati
laziti,prolaziti,pro,216375,223,,ob,dati
vršiti,završiti,za,216375,33,,pod,naći
stati,ustati,u,214541,684,,raz,praviti
dati,dodati,do,214541,527,,su,goditi
naći,pronaći,pro,214541,48,,nad,lučiti
praviti,napraviti,na,214541,28,,,ustaviti
goditi,dogoditi,do,214541,11,,,znati
lučiti,odlučiti,od,214541,6,,,raditi
ustaviti,zaustaviti,za,202919,10367,,,tvoriti
gledati,ugledati,u,202919,131,,,misliti
znati,saznati,sa,202919,30,,,pisati
laziti,izlaziti,iz,202919,11,,,vući
raditi,uraditi,u,175041,64,,,čitati
biti,ubiti,u,150037,8248,,,vesti
tvoriti,zatvoriti,za,150037,1328,,,ići
misliti,zamisliti,za,150037,895,,,buditi
stati,prestati,pre,150037,1234,,,vratiti
pisati,napisati,na,150037,201,,,kinuti
vući,izvući,iz,150037,276,,,pustiti
čitati,pročitati,pro,150037,101,,,držati
vesti,provesti,pro,150037,47,,,učiti
ići,izići,iz,150037,9,,,miti
buditi,probuditi,pro,150037,7,,,padati
vratiti,odvratiti,od,138015,9247,,,putiti
kinuti,prekinuti,pre,138015,2510,,,veriti
pustiti,napustiti,na,138015,1112,,,stavljati
držati,zadržati,za,138015,1297,,,viknuti
znati,priznati,pri,138015,1032,,,imati
laziti,ulaziti,u,138015,310,,,teći
učiti,naučiti,na,138015,525,,,smejati
miti,primiti,pri,138015,106,,,rediti
vesti,dovesti,do,138015,57,,,čekati
padati,pripadati,pri,138015,63,,,čuti
putiti,uputiti,u,138015,17,,,gađati
vesti,odvesti,od,138015,8,,,stojati
veriti,uveriti,u,114551,4693,,,nositi
stati,zastati,za,114551,1599,,,plašiti
stavljati,nastavljati,na,114551,2377,,,bediti
viknuti,uzviknuti,uz,114551,475,,,bližiti
imati,uzimati,uz,114551,24,,,uzeti
tvoriti,pretvoriti,pre,114551,13,,,miriti
teći,zateći,za,101818,6156,,,voditi
smejati,nasmejati,na,101818,3283,,,vaditi
rediti,odrediti,od,101818,559,,,moliti
dati,predati,pre,89644,6981,,,sećati
laziti,prelaziti,pre,89644,665,,,početi
čekati,sačekati,sa,89644,1789,,,čuvati
čuti,začuti,za,89644,434,,,mati
ići,naići,na,89644,122,,,kazati
gađati,događati,do,89644,70,,,mrmljati
stojati,nastojati,na,89644,215,,,zvati
nositi,donositi,do,89644,125,,,ljubiti
gledati,zagledati,za,87467,469,,,dužiti
plašiti,uplašiti,u,87467,247,,,grliti
govoriti,izgovoriti,iz,87467,32,,,gasiti
rediti,narediti,na,87467,39,,,stajati
bediti,ubediti,u,87467,20,,,tražiti
viknuti,naviknuti,na,87467,7,,,ustavljati
stati,nastati,na,87467,5,,,variti
bližiti,približiti,pri,84782,3248,,,likovati
pitati,zapitati,za,84782,1183,,,terati
uzeti,obuzeti,ob,84782,665,,,javiti
čekati,dočekati,do,84782,163,,,ništiti
