base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
biti,dobiti,do,38194575,82730
biti,ubiti,u,38194575,3112
biti,odbiti,od,38194575,2190
biti,izbiti,iz,38194575,881
biti,razbiti,raz,38194575,757
biti,probiti,pro,38194575,493
biti,nabiti,na,38194575,153
biti,zabiti,za,38194575,149
biti,prebiti,pre,38194575,118
biti,sabiti,sa,38194575,76
biti,pribiti,pri,38194575,50
gledati,izgledati,iz,1657248,9884
gledati,ugledati,u,1657248,2779
gledati,zagledati,za,1657248,1258
gledati,pregledati,pre,1657248,1339
gledati,sagledati,sa,1657248,1054
gledati,razgledati,raz,1657248,366
gledati,nadgledati,nad,1657248,530
gledati,nagledati,na,1657248,122
gledati,progledati,pro,1657248,60
gledati,odgledati,od,1657248,64
gledati,dogledati,do,1657248,19
gledati,prigledati,pri,1657248,11
govoriti,odgovoriti,od,1501894,9023
govoriti,izgovoriti,iz,1501894,1468
govoriti,progovoriti,pro,1501894,1049
govoriti,dogovoriti,do,1501894,1270
govoriti,nagovoriti,na,1501894,222
govoriti,ugovoriti,u,1501894,280
govoriti,prigovoriti,pri,1501894,104
govoriti,razgovoriti,raz,1501894,47
govoriti,podgovoriti,pod,1501894,11
govoriti,zagovoriti,za,1501894,8
reći,odreći,od,1289935,709
reći,izreći,iz,1289935,549
reći,zareći,za,1289935,52
reći,proreći,pro,1289935,32
reći,ureći,u,1289935,15
reći,doreći,do,1289935,6
imati,uzimati,uz,814165,72735
imati,nadimati,nad,814165,142
imati,doimati,do,814165,30
imati,zaimati,za,814165,15
nositi,donositi,do,801113,5507
nositi,odnositi,od,801113,8591
nositi,podnositi,pod,801113,1772
nositi,prenositi,pre,801113,2624
nositi,iznositi,iz,801113,5045
nositi,unositi,u,801113,1140
nositi,zanositi,za,801113,219
nositi,prinositi,pri,801113,819
nositi,nanositi,na,801113,698
nositi,nadnositi,nad,801113,82
nositi,raznositi,raz,801113,102
nositi,pronositi,pro,801113,67
nositi,uznositi,uz,801113,30
voditi,provoditi,pro,729950,2143
voditi,dovoditi,do,729950,2848
voditi,navoditi,na,729950,6710
voditi,izvoditi,iz,729950,5270
voditi,prevoditi,pre,729950,621
voditi,odvoditi,od,729950,290
voditi,uvoditi,u,729950,1109
voditi,zavoditi,za,729950,118
voditi,privoditi,pri,729950,113
voditi,razvoditi,raz,729950,37
voditi,podvoditi,pod,729950,12
raditi,uraditi,u,718034,7092
raditi,zaraditi,za,718034,698
raditi,izraditi,iz,718034,1813
raditi,obraditi,ob,718034,443
raditi,razraditi,raz,718034,125
raditi,proraditi,pro,718034,76
raditi,odraditi,od,718034,219
raditi,preraditi,pre,718034,127
kazati,ukazati,u,688489,4753
kazati,dokazati,do,688489,1639
kazati,prikazati,pri,688489,2414
kazati,zakazati,za,688489,481
kazati,prokazati,pro,688489,25
kazati,nakazati,na,688489,13
videti,uvideti,u,614315,507
videti,zavideti,za,614315,260
videti,izvideti,iz,614315,33
videti,prevideti,pre,614315,40
videti,privideti,pri,614315,21
videti,razvideti,raz,614315,9
videti,provideti,pro,614315,6
misliti,zamisliti,za,594430,3437
misliti,razmisliti,raz,594430,1233
misliti,izmisliti,iz,594430,706
misliti,promisliti,pro,594430,176
misliti,umisliti,u,594430,58
misliti,namisliti,na,594430,24
misliti,domisliti,do,594430,31
dati,dodati,do,569473,21950
dati,predati,pre,569473,7221
dati,udati,u,569473,3337
dati,prodati,pro,569473,4784
dati,izdati,iz,569473,2048
dati,zadati,za,569473,357
dati,uzdati,uz,569473,2404
dati,pridati,pri,569473,87
dati,razdati,raz,569473,17
moći,domoći,do,436944,229
moći,uzmoći,uz,436944,35
stajati,ustajati,u,415239,3024
stajati,prestajati,pre,415239,1110
stajati,pristajati,pri,415239,565
stajati,zastajati,za,415239,407
stajati,nastajati,na,415239,1881
stajati,sastajati,sa,415239,468
stajati,odstajati,od,415239,34
stajati,dostajati,do,415239,10
čuti,začuti,za,393526,1285
čuti,pročuti,pro,393526,160
čuti,načuti,na,393526,78
čuti,pričuti,pri,393526,20
čuti,dočuti,do,393526,15
čuti,prečuti,pre,393526,11
ići,izići,iz,366393,7254
ići,naići,na,366393,1854
ići,obići,ob,366393,4524
ići,razići,raz,366393,263
ići,podići,pod,366393,2172
ići,uzići,uz,366393,18
znati,saznati,sa,307821,6372
znati,priznati,pri,307821,3397
znati,doznati,do,307821,604
činiti,učiniti,u,277966,13331
činiti,načiniti,na,277966,1093
činiti,sačiniti,sa,277966,476
činiti,pričiniti,pri,277966,176
činiti,začiniti,za,277966,140
davati,dodavati,do,242915,5613
davati,prodavati,pro,242915,6025
davati,predavati,pre,242915,1330
davati,izdavati,iz,242915,1369
davati,pridavati,pri,242915,494
davati,udavati,u,242915,171
davati,zadavati,za,242915,215
davati,uzdavati,uz,242915,234
davati,razdavati,raz,242915,16
pisati,napisati,na,206827,3756
pisati,upisati,u,206827,1601
pisati,zapisati,za,206827,487
pisati,prepisati,pre,206827,211
pisati,pripisati,pri,206827,286
pisati,propisati,pro,206827,249
pisati,dopisati,do,206827,39
hteti,prohteti,pro,180588,76
živeti,doživeti,do,174338,1883
živeti,preživeti,pre,174338,1427
živeti,proživeti,pro,174338,346
živeti,nadživeti,nad,174338,72
živeti,saživeti,sa,174338,44
živeti,uživeti,u,174338,18
živeti,zaživeti,za,174338,162
igrati,odigrati,od,168211,1644
igrati,zaigrati,za,168211,236
igrati,izigrati,iz,168211,50
igrati,razigrati,raz,168211,52
igrati,nadigrati,nad,168211,41
igrati,obigrati,ob,168211,11
igrati,proigrati,pro,168211,7
baciti,prebaciti,pre,166348,1152
baciti,izbaciti,iz,166348,849
baciti,odbaciti,od,166348,1069
baciti,ubaciti,u,166348,767
baciti,dobaciti,do,166348,342
