base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
gledati,izgledati,iz,3465276,27424
činiti,učiniti,u,3465276,2940
pitati,upitati,u,3465276,2097
govoriti,odgovoriti,od,3465276,818
laziti,nalaziti,na,3465276,679
laziti,dolaziti,do,3465276,429
staviti,nastaviti,na,3465276,138
gubiti,izgubiti,iz,3465276,132
biti,dobiti,do,3465276,114
laziti,prolaziti,pro,216375,223
stati,ustati,u,214541,684
dati,dodati,do,214541,527
ustaviti,zaustaviti,za,202919,10367
gledati,ugledati,u,202919,131
biti,ubiti,u,150037,8248
tvoriti,zatvoriti,za,150037,1328
misliti,zamisliti,za,150037,895
stati,prestati,pre,150037,1234
pisati,napisati,na,150037,201
vući,izvući,iz,150037,276
čitati,pročitati,pro,150037,101
vratiti,odvratiti,od,138015,9247
kinuti,prekinuti,pre,138015,2510
pustiti,napustiti,na,138015,1112
držati,zadržati,za,138015,1297
znati,priznati,pri,138015,1032
laziti,ulaziti,u,138015,310
učiti,naučiti,na,138015,525
miti,primiti,pri,138015,106
veriti,uveriti,u,114551,4693
stati,zastati,za,114551,1599
stavljati,nastavljati,na,114551,2377
viknuti,uzviknuti,uz,114551,475
teći,zateći,za,101818,6156
smejati,nasmejati,na,101818,3283
rediti,odrediti,od,101818,559
dati,predati,pre,89644,6981
laziti,prelaziti,pre,89644,665
čekati,sačekati,sa,89644,1789
čuti,začuti,za,89644,434
ići,naići,na,89644,122
stojati,nastojati,na,89644,215
nositi,donositi,do,89644,125
gledati,zagledati,za,87467,469
plašiti,uplašiti,u,87467,247
bližiti,približiti,pri,84782,3248
pitati,zapitati,za,84782,1183
uzeti,obuzeti,ob,84782,665
čekati,dočekati,do,84782,163
moliti,zamoliti,za,66323,2075
nositi,odnositi,od,66323,2811
biti,odbiti,od,66323,6683
pustiti,dopustiti,do,66323,2612
sećati,podsećati,pod,66323,574
vesti,izvesti,iz,66323,274
početi,započeti,za,66323,1098
čuvati,sačuvati,sa,66323,109
mati,primati,pri,66323,110
mrmljati,promrmljati,pro,65437,1133
zvati,nazvati,na,65437,147
dužiti,produžiti,pro,63176,10921
grliti,zagrliti,za,63176,3494
gasiti,ugasiti,u,63176,1653
držati,izdržati,iz,63176,2351
stajati,ustajati,u,63176,1966
tražiti,zatražiti,za,63176,345
vršiti,izvršiti,iz,63176,597
pustiti,prepustiti,pre,61577,5385
variti,prevariti,pre,61577,8518
vesti,navesti,na,61577,1722
likovati,razlikovati,raz,61577,2575
terati,naterati,na,61577,5007
javiti,objaviti,ob,61577,1097
ništiti,uništiti,u,61577,189
učiti,obučiti,ob,61577,407
titi,pretiti,pre,61577,690
paliti,upaliti,u,60880,3518
stajati,prestajati,pre,60880,1740
davati,dodavati,do,60880,2244
dati,prodati,pro,60880,222
dahnuti,uzdahnuti,uz,60880,2009
vratiti,uzvratiti,uz,55491,12906
suditi,usuditi,u,55491,968
vući,privući,pri,55491,473
biti,izbiti,iz,55491,160
ložiti,izložiti,iz,55491,133
smešiti,nasmešiti,na,51798,1489
opštiti,saopštiti,sa,51798,1066
veriti,proveriti,pro,51798,522
misliti,razmisliti,raz,51798,384
puštati,napuštati,na,51798,1856
misliti,izmisliti,iz,51798,454
ući,obući,ob,45821,261
voditi,dovoditi,do,40226,360
vući,uvući,u,40226,166
vesti,uvesti,u,40226,346
mešati,umešati,u,40078,844
davati,predavati,pre,39853,440
biti,razbiti,raz,32053,3284
družiti,pridružiti,pri,32053,1058
baciti,prebaciti,pre,32053,425
javiti,izjaviti,iz,32053,6948
znati,doznati,do,32053,112
visiti,zavisiti,za,29483,3575
kazati,dokazati,do,29483,1558
baciti,izbaciti,iz,29483,415
gutati,progutati,pro,29483,201
staviti,sastaviti,sa,29483,285
dirnuti,dodirnuti,do,29483,248
