base_verb,prefixed_verb,prefix,freq_base,freq_prefixed,,
biti,dobiti,do,38194575,82730,biti,
biti,ubiti,u,38194575,3112,,
biti,odbiti,od,38194575,2190,,
biti,izbiti,iz,38194575,881,,
biti,razbiti,raz,38194575,757,,
gledati,izgledati,iz,1657248,9884,gledati,
gledati,ugledati,u,1657248,2779,,
gledati,zagledati,za,1657248,1258,,
gledati,pregledati,pre,1657248,1339,,
gledati,sagledati,sa,1657248,1054,,
gledati,nadgledati,nad,1657248,530,,
govoriti,odgovoriti,od,1501894,9023,govoriti,
govoriti,izgovoriti,iz,1501894,1468,,
govoriti,progovoriti,pro,1501894,1049,,
govoriti,dogovoriti,do,1501894,1270,,
reći,odreći,od,1289935,709,reći,
reći,izreći,iz,1289935,549,,
imati,uzimati,uz,814165,72735,imati,
nositi,donositi,do,801113,5507,nositi,
nositi,odnositi,od,801113,8591,,
nositi,podnositi,pod,801113,1772,,
nositi,prenositi,pre,801113,2624,,
nositi,iznositi,iz,801113,5045,,
nositi,unositi,u,801113,1140,,
nositi,prinositi,pri,801113,819,,
nositi,nanositi,na,801113,698,,
voditi,provoditi,pro,729950,2143,voditi,
voditi,dovoditi,do,729950,2848,,
voditi,navoditi,na,729950,6710,,
voditi,izvoditi,iz,729950,5270,,
voditi,prevoditi,pre,729950,621,,
voditi,uvoditi,u,729950,1109,,
raditi,uraditi,u,718034,7092,raditi,
raditi,zaraditi,za,718034,698,,
raditi,izraditi,iz,718034,1813,,
kazati,ukazati,u,688489,4753,kazati,
kazati,dokazati,do,688489,1639,,
kazati,prikazati,pri,688489,2414,,
videti,uvideti,u,614315,507,videti,
misliti,zamisliti,za,594430,3437,misliti,
misliti,razmisliti,raz,594430,1233,,
misliti,izmisliti,iz,594430,706,,
dati,dodati,do,569473,21950,dati,
dati,predati,pre,569473,7221,,
dati,udati,u,569473,3337,,
dati,prodati,pro,569473,4784,,
dati,izdati,iz,569473,2048,,
dati,uzdati,uz,569473,2404,,
stajati,ustajati,u,415239,3024,stajati,
stajati,prestajati,pre,415239,1110,,
stajati,pristajati,pri,415239,565,,
stajati,nastajati,na,415239,1881,,
čuti,začuti,za,393526,1285,čuti,
ići,izići,iz,366393,7254,ići,
ići,naići,na,366393,1854,,
ići,obići,ob,366393,4524,,
ići,podići,pod,366393,2172,,
znati,saznati,sa,307821,6372,znati,
znati,priznati,pri,307821,3397,,
znati,doznati,do,307821,604,,
činiti,učiniti,u,277966,13331,činiti,
činiti,načiniti,na,277966,1093,,
davati,dodavati,do,242915,5613,davati,
davati,prodavati,pro,242915,6025,,
davati,predavati,pre,242915,1330,,
davati,izdavati,iz,242915,1369,,
pisati,napisati,na,206827,3756,pisati,
pisati,upisati,u,206827,1601,,
živeti,doživeti,do,174338,1883,živeti,
živeti,preživeti,pre,174338,1427,,
igrati,odigrati,od,168211,1644,igrati,
baciti,prebaciti,pre,166348,1152,baciti,
baciti,izbaciti,iz,166348,849,,
baciti,odbaciti,od,166348,1069,,
baciti,ubaciti,u,166348,767,,
vući,izvući,iz,163678,2250,vući,
vući,privući,pri,163678,1736,,
vući,uvući,u,163678,602,,
držati,zadržati,za,160813,3399,držati,
držati,izdržati,iz,160813,1130,,
držati,sadržati,sa,160813,6972,,
uzeti,obuzeti,ob,156854,1033,uzeti,
uzeti,zauzeti,za,156854,1581,,
uzeti,preuzeti,pre,156854,4205,,
uzeti,oduzeti,od,156854,819,,
stati,ustati,u,155667,10261,stati,
stati,prestati,pre,155667,3552,,
stati,zastati,za,155667,1677,,
stati,nastati,na,155667,5402,,
stati,pristati,pri,155667,1140,,
stati,sastati,sa,155667,2487,,
zvati,nazvati,na,152752,1564,zvati,
zvati,sazvati,sa,152752,900,,
padati,pripadati,pri,132803,4476,padati,
padati,dopadati,do,132803,876,,
nalaziti,pronalaziti,pro,120677,850,nalaziti,
pustiti,napustiti,na,120371,3553,pustiti,
pustiti,dopustiti,do,120371,1360,,
pustiti,prepustiti,pre,120371,1232,,
pustiti,propustiti,pro,120371,1354,,
staviti,nastaviti,na,106246,12930,staviti,
staviti,sastaviti,sa,106246,949,,
staviti,dostaviti,do,106246,2749,,
pasti,napasti,na,101982,977,pasti,
pasti,upasti,u,101982,1015,,
pasti,pripasti,pri,101982,590,,
ticati,uticati,u,98389,6415,ticati,
baviti,nabaviti,na,97601,1235,baviti,
vratiti,odvratiti,od,84216,1872,vratiti,
vratiti,uzvratiti,uz,84216,864,,
uzimati,zauzimati,za,72735,1545,uzimati,
uzimati,preuzimati,pre,72735,1150,,
moliti,zamoliti,za,72597,1420,moliti,
slušati,saslušati,sa,71622,608,slušati,
učiti,naučiti,na,67782,4627,učiti,
učiti,obučiti,ob,67782,864,,
pitati,upitati,u,60569,25040,pitati,
pitati,zapitati,za,60569,1299,,
čekati,sačekati,sa,59686,1504,čekati,
čekati,dočekati,do,59686,1517,,
javiti,objaviti,ob,57173,5516,javiti,
javiti,izjaviti,iz,57173,5321,,
javiti,prijaviti,pri,57173,4655,,
javiti,najaviti,na,57173,2251,,
lagati,izlagati,iz,47770,1016,lagati,
lagati,ulagati,u,47770,1616,,
lagati,zalagati,za,47770,1125,,
graditi,sagraditi,sa,43897,634,graditi,
graditi,izgraditi,iz,43897,2442,,
stavljati,nastavljati,na,42495,4240,stavljati,
stavljati,dostavljati,do,42495,865,,
vršiti,završiti,za,40942,8117,vršiti,
vršiti,izvršiti,iz,40942,4158,,
vršiti,dovršiti,do,40942,588,,
tražiti,zatražiti,za,40404,3174,tražiti,
naći,pronaći,pro,38924,9981,naći,
kupiti,sakupiti,sa,36793,629,kupiti,
kupiti,prikupiti,pri,36793,1064,,
praviti,napraviti,na,36219,8637,praviti,
teći,zateći,za,32906,1526,teći,
teći,proteći,pro,32906,958,,
viknuti,uzviknuti,uz,32507,1363,viknuti,
viknuti,naviknuti,na,32507,1020,,
terati,naterati,na,32267,1118,terati,
piti,napiti,na,31724,797,piti,
čitati,pročitati,pro,30243,4013,čitati,
puštati,napuštati,na,30180,1115,puštati,
puštati,dopuštati,do,30180,845,,
viti,razviti,raz,26814,3112,viti,
viti,saviti,sa,26814,1024,,
služiti,zaslužiti,za,25866,505,služiti,
ljubiti,zaljubiti,za,25511,887,ljubiti,
sećati,podsećati,pod,24504,2536,sećati,
stupiti,nastupiti,na,23558,1152,stupiti,
stupiti,pristupiti,pri,23558,2265,,
početi,započeti,za,22648,4081,početi,
deliti,dodeliti,do,21055,923,deliti,
ličiti,priličiti,pri,19905,597,ličiti,
vladati,savladati,sa,17131,1476,vladati,
hvatati,prihvatati,pri,16252,1642,hvatati,
platiti,uplatiti,u,15900,506,platiti,
setiti,podsetiti,pod,15845,2704,setiti,
setiti,dosetiti,do,15845,570,,
dizati,uzdizati,uz,15741,599,dizati,
metati,nametati,na,15193,832,metati,
plašiti,uplašiti,u,14794,1268,plašiti,
desiti,udesiti,u,14571,898,desiti,
kazivati,ukazivati,u,14322,3886,kazivati,
kazivati,prikazivati,pri,14322,3642,,
kazivati,dokazivati,do,14322,935,,
suditi,usuditi,u,13248,776,suditi,
poznavati,prepoznavati,pre,13152,1255,poznavati,
značiti,naznačiti,na,11783,512,značiti,
slediti,uslediti,u,11710,1532,slediti,
uhvatiti,obuhvatiti,ob,11358,1358,uhvatiti,
čuvati,sačuvati,sa,11190,2362,čuvati,
ustati,odustati,od,10261,1156,ustati,
visiti,zavisiti,za,9381,3553,visiti,
gubiti,izgubiti,iz,9377,6290,gubiti,
ući,obući,ob,8838,2402,ući,
vijati,odvijati,od,8657,2568,vijati,
vijati,razvijati,raz,8657,4633,,
vijati,savijati,sa,8657,1014,,
vijati,uvijati,u,8657,697,,
šetati,prošetati,pro,8136,522,šetati,
ložiti,izložiti,iz,7961,1063,ložiti,
ložiti,odložiti,od,7961,741,,
ložiti,uložiti,u,7961,1690,,
mešati,umešati,u,7662,696,mešati,
stupati,nastupati,na,7632,1332,stupati,
stupati,zastupati,za,7632,865,,
stupati,pristupati,pri,7632,569,,
hraniti,sahraniti,sa,7558,523,hraniti,
smejati,nasmejati,na,7468,1364,smejati,
buditi,probuditi,pro,7457,2375,buditi,
glasiti,proglasiti,pro,7308,1145,glasiti,
glasiti,naglasiti,na,7308,11375,,
glasiti,saglasiti,sa,7308,1431,,
miriti,umiriti,u,6832,1017,miriti,
vesti,provesti,pro,6677,3756,vesti,
vesti,dovesti,do,6677,6244,,
vesti,odvesti,od,6677,2261,,
vesti,izvesti,iz,6677,5950,,
vesti,navesti,na,6677,6190,,
vesti,uvesti,u,6677,2488,,
vesti,prevesti,pre,6677,835,,
boraviti,zaboraviti,za,6313,4770,boraviti,
puniti,napuniti,na,6278,948,puniti,
braniti,zabraniti,za,6073,687,braniti,
braniti,odbraniti,od,6073,679,,
izvesti,proizvesti,pro,5950,941,izvesti,
brisati,izbrisati,iz,5711,749,brisati,
počinjati,započinjati,za,5611,905,počinjati,
izvoditi,proizvoditi,pro,5270,2843,izvoditi,
beležiti,zabeležiti,za,5257,1061,beležiti,
paziti,zapaziti,za,5049,540,paziti,
tvrditi,utvrditi,u,4705,3836,tvrditi,
pomenuti,napomenuti,na,4631,1246,pomenuti,
ceniti,proceniti,pro,4472,1073,ceniti,
pamtiti,zapamtiti,za,4178,561,pamtiti,
gađati,događati,do,4144,1778,gađati,
paliti,zapaliti,za,4120,803,paliti,
paliti,upaliti,u,4120,730,,
moriti,odmoriti,od,3841,538,moriti,
boriti,izboriti,iz,3662,655,boriti,
likovati,razlikovati,raz,3376,2626,likovati,
likovati,oblikovati,ob,3376,1896,,
likovati,odlikovati,od,3376,1296,,
grliti,zagrliti,za,3373,794,grliti,
seliti,preseliti,pre,3372,694,seliti,
miti,primiti,pri,3142,4969,miti,
miti,umiti,u,3142,1737,,
čuditi,začuditi,za,3006,798,čuditi,
mahnuti,odmahnuti,od,2661,507,mahnuti,
poručiti,preporučiti,pre,2476,815,poručiti,
sretati,susretati,su,2449,1098,sretati,
kidati,prekidati,pre,2326,853,kidati,
širiti,proširiti,pro,2291,1991,širiti,
klanjati,uklanjati,u,2043,636,klanjati,
šiti,sušiti,su,2016,2019,šiti,
rediti,odrediti,od,2011,3100,rediti,
rediti,narediti,na,2011,1529,,
rediti,urediti,u,2011,3369,,
rediti,prirediti,pri,2011,675,,
vaditi,izvaditi,iz,1976,1355,vaditi,
gasiti,ugasiti,u,1933,878,gasiti,
štititi,zaštititi,za,1931,1565,štititi,
goditi,dogoditi,do,1921,4384,goditi,
kloniti,ukloniti,u,1845,1886,kloniti,
družiti,pridružiti,pri,1740,2567,družiti,
hvaliti,zahvaliti,za,1697,2519,hvaliti,
veriti,uveriti,u,1644,7272,veriti,
veriti,proveriti,pro,1644,1899,,
pominjati,napominjati,na,1639,550,pominjati,
gutati,progutati,pro,1540,606,gutati,
sticati,podsticati,pod,1455,1758,sticati,
mati,primati,pri,1375,2383,mati,
slaviti,proslaviti,pro,1249,774,slaviti,
laziti,nalaziti,na,1201,120677,laziti,
laziti,dolaziti,do,1201,34149,,
laziti,odlaziti,od,1201,4345,,
laziti,prolaziti,pro,1201,4884,,
laziti,izlaziti,iz,1201,11634,,
laziti,ulaziti,u,1201,3594,,
laziti,prelaziti,pre,1201,2469,,
laziti,prilaziti,pri,1201,924,,
radovati,obradovati,ob,1156,513,radovati,
vrediti,uvrediti,u,1111,562,vrediti,
stojati,nastojati,na,979,2564,stojati,
stojati,sastojati,sa,979,4537,,
dužiti,produžiti,pro,824,1365,dužiti,
prinositi,doprinositi,do,819,3702,prinositi,
trpeti,pretrpeti,pre,814,587,trpeti,
uzrokovati,prouzrokovati,pro,789,505,uzrokovati,
motriti,razmotriti,raz,709,3328,motriti,
slutiti,naslutiti,na,628,518,slutiti,
mrmljati,promrmljati,pro,550,806,mrmljati,
tvoriti,zatvoriti,za,544,3295,tvoriti,
tvoriti,pretvoriti,pre,544,2372,,
poručivati,preporučivati,pre,544,2664,poručivati,
