infinitive_latin,form_latin,form_frequency
biti,je,177
biti,sam,57
biti,su,55
biti,smo,25
biti,nije,14
biti,bilo,12
biti,bio,8
biti,bi,8
biti,biti,6
biti,bila,6
biti,nisu,5
biti,bili,5
biti,nisam,3
biti,Bio,2
biti,Nije,2
biti,ste,1
biti,jest,1
biti,Nismo,1
biti,budem,1
biti,beše,1
biti,j,1
biti,Jesi,1
biti,bile,1
biti,bismo,1
biti,bih,1
biti,Je,1
biti,si,1
služiti,služio,1
raniti,ranjen,1
sad,sad,8
sad,Sad,1
zaceljivati,zaceljivao,1
prekaliti,prekaljen,1
međutim,međutim,4
razbacati,razbacao,1
gubiti,gubeći,1
gubiti,gubi,1
pomalo,Pomalo,1
grimizno,grimizno,1
jednom,jednom,3
zanavek,zanavek,4
zarđati,zarđalo,1
stalno,stalno,1
nositi,nosilo,1
nositi,nosim,1
čuvati,čuvajući,1
čuvati,čuva,1
govoriti,govorio,2
govoriti,Govorio,1
govoriti,govorila,1
rađati,rađale,1
rađati,rađalo,1
retko,retko,3
mnogo,više,5
mnogo,mnogo,2
mnogo,Više,1
voleti,voleo,4
voleti,volim,1
voleti,voli,1
imati,ima,3
imati,imao,1
imati,imala,1
imati,imali,1
još,još,16
još,Još,1
misliti,mislio,1
misliti,misli,1
pogrešiti,pogrešio,1
pijuckati,pijuckao,1
samo,samo,12
samo,Samo,2
preterivati,preteruje,1
tamo,tamo,16
tamo,Tamo,3
lepo,lepo,1
vrzmati,vrzma,1
moći,može,6
moći,mogu,2
moći,mogla,1
moći,mogli,1
moći,Mogu,1
moći,mogao,1
voziti,voziti,1
sretati,sreće,1
nemati,nema,2
nemati,nemaju,1
dobro,bolje,2
živeti,žive,2
živeti,živimo,2
živeti,živeo,1
živeti,živi,1
živeti,Živeli,1
živeti,Živeti,1
zašto,Zašto,3
zašto,zašto,2
onda,onda,2
pitati,pitao,6
malo,malo,2
malo,Malo,1
malo,manje,1
ćutati,ćutao,1
sedeti,Sedeli,1
sedeti,sede,1
pružati,pružala,1
uroviti,urovile,1
počinjati,počinjali,1
spuštati,spuštali,1
nadole,nadole,1
ploviti,plovili,1
ploviti,plovio,1
toliko,toliko,2
zaslepljujuće,zaslepljujuće,1
prosvetljivati,prosvetljivalo,1
činiti,činili,1
činiti,činila,1
činiti,činilo,1
ležati,ležala,3
ležati,ležao,3
ležati,leže,2
ležati,leži,2
ležati,ležalo,1
otvoriti,otvorena,1
neprekidno,neprekidno,1
stvarati,stvarajući,1
reći,rekao,10
reći,reče,8
reći,rekoh,1
reći,rekla,1
zaćutati,zaćutao,1
odjednom,odjednom,7
tiho,tiho,3
zaplakati,zaplakao,1
zatim,zatim,4
zatim,Zatim,2
zakrkljati,zakrkljao,1
nakašljati,nakašljao,1
prmrmljati,prmrmljao,1
prekorno,prekorno,1
izustiti,izustio,2
uvek,uvek,4
tako,tako,5
obavezno,obavezno,1
kad-tad,kad-tad,1
morati,moraju,2
morati,mora,1
