type,verb,frequency,prefix,base_verb,derivatives_count
BASE,vesti,11,,vesti,15
DERIVATIVE,navesti,780,na,vesti,
DERIVATIVE,dovesti,638,do,vesti,
DERIVATIVE,provesti,278,pro,vesti,
DERIVATIVE,uvesti,248,u,vesti,
DERIVATIVE,izvesti,196,iz,vesti,
DERIVATIVE,povesti,126,po,vesti,
DERIVATIVE,odvesti,61,od,vesti,
DERIVATIVE,prevesti,52,pre,vesti,
DERIVATIVE,svesti,42,s,vesti,
DERIVATIVE,privesti,28,pri,vesti,
DERIVATIVE,rasvesti,6,ras,vesti,
DERIVATIVE,razvesti,6,raz,vesti,
DERIVATIVE,zavesti,6,za,vesti,
DERIVATIVE,ovesti,3,o,vesti,
DERIVATIVE,uzvesti,1,uz,vesti,
BASE,neti,1,,neti,14
DERIVATIVE,podneti,982,pod,neti,
DERIVATIVE,doneti,841,do,neti,
DERIVATIVE,preneti,281,pre,neti,
DERIVATIVE,izneti,215,iz,neti,
DERIVATIVE,uneti,95,u,neti,
DERIVATIVE,poneti,81,po,neti,
DERIVATIVE,naneti,61,na,neti,
DERIVATIVE,odneti,49,od,neti,
DERIVATIVE,sneti,3,s,neti,
DERIVATIVE,razneti,1,raz,neti,
DERIVATIVE,prineti,1,pri,neti,
DERIVATIVE,nadneti,1,nad,neti,
DERIVATIVE,uzneti,1,uz,neti,
DERIVATIVE,zaneti,1,za,neti,
BASE,biti,197977,,biti,13
DERIVATIVE,dobiti,2440,do,biti,
DERIVATIVE,odbiti,173,od,biti,
DERIVATIVE,ubiti,92,u,biti,
DERIVATIVE,probiti,24,pro,biti,
DERIVATIVE,razbiti,20,raz,biti,
DERIVATIVE,izbiti,20,iz,biti,
DERIVATIVE,nabiti,5,na,biti,
DERIVATIVE,pobiti,5,po,biti,
DERIVATIVE,zabiti,2,za,biti,
DERIVATIVE,obiti,2,o,biti,
DERIVATIVE,pribiti,1,pri,biti,
DERIVATIVE,sabiti,1,sa,biti,
DERIVATIVE,prebiti,1,pre,biti,
BASE,nositi,599,,nositi,13
DERIVATIVE,odnositi,1072,od,nositi,
DERIVATIVE,iznositi,693,iz,nositi,
DERIVATIVE,donositi,601,do,nositi,
DERIVATIVE,prenositi,280,pre,nositi,
DERIVATIVE,podnositi,140,pod,nositi,
DERIVATIVE,unositi,100,u,nositi,
DERIVATIVE,nanositi,85,na,nositi,
DERIVATIVE,snositi,79,s,nositi,
DERIVATIVE,ponositi,53,po,nositi,
DERIVATIVE,prinositi,8,pri,nositi,
DERIVATIVE,pronositi,3,pro,nositi,
DERIVATIVE,zanositi,1,za,nositi,
DERIVATIVE,raznositi,1,raz,nositi,
BASE,gledati,392,,gledati,13
DERIVATIVE,pogledati,1049,po,gledati,
DERIVATIVE,izgledati,305,iz,gledati,
DERIVATIVE,ogledati,199,o,gledati,
DERIVATIVE,pregledati,138,pre,gledati,
DERIVATIVE,sagledati,111,sa,gledati,
DERIVATIVE,nadgledati,51,nad,gledati,
DERIVATIVE,ugledati,48,u,gledati,
DERIVATIVE,razgledati,13,raz,gledati,
DERIVATIVE,odgledati,7,od,gledati,
DERIVATIVE,zagledati,4,za,gledati,
DERIVATIVE,nagledati,2,na,gledati,
DERIVATIVE,progledati,2,pro,gledati,
DERIVATIVE,uzgledati,1,uz,gledati,
BASE,rasti,192,,rasti,13
DERIVATIVE,odrasti,185,od,rasti,
DERIVATIVE,porasti,129,po,rasti,
DERIVATIVE,prerasti,51,pre,rasti,
DERIVATIVE,izrasti,28,iz,rasti,
DERIVATIVE,narasti,18,na,rasti,
DERIVATIVE,zarasti,11,za,rasti,
DERIVATIVE,obrasti,9,ob,rasti,
DERIVATIVE,orasti,6,o,rasti,
DERIVATIVE,prirasti,4,pri,rasti,
DERIVATIVE,srasti,3,s,rasti,
DERIVATIVE,dorasti,3,do,rasti,
DERIVATIVE,urasti,2,u,rasti,
DERIVATIVE,uzrasti,1,uz,rasti,
BASE,padati,106,,padati,13
DERIVATIVE,pripadati,403,pri,padati,
DERIVATIVE,spadati,227,s,padati,
DERIVATIVE,opadati,38,o,padati,
DERIVATIVE,dopadati,28,do,padati,
DERIVATIVE,napadati,22,na,padati,
DERIVATIVE,propadati,14,pro,padati,
DERIVATIVE,upadati,8,u,padati,
DERIVATIVE,zapadati,4,za,padati,
DERIVATIVE,otpadati,2,ot,padati,
DERIVATIVE,popadati,1,po,padati,
DERIVATIVE,podpadati,1,pod,padati,
DERIVATIVE,odpadati,1,od,padati,
DERIVATIVE,raspadati,1,ras,padati,
BASE,dati,1431,,dati,11
DERIVATIVE,dodati,893,do,dati,
DERIVATIVE,nadati,386,na,dati,
DERIVATIVE,izdati,212,iz,dati,
DERIVATIVE,predati,160,pre,dati,
DERIVATIVE,prodati,159,pro,dati,
DERIVATIVE,odati,100,o,dati,
DERIVATIVE,zadati,34,za,dati,
DERIVATIVE,udati,27,u,dati,
DERIVATIVE,pridati,9,pri,dati,
DERIVATIVE,uzdati,3,uz,dati,
DERIVATIVE,podati,2,po,dati,
BASE,voditi,1418,,voditi,11
DERIVATIVE,navoditi,886,na,voditi,
DERIVATIVE,dovoditi,323,do,voditi,
DERIVATIVE,izvoditi,261,iz,voditi,
DERIVATIVE,provoditi,169,pro,voditi,
DERIVATIVE,uvoditi,149,u,voditi,
DERIVATIVE,svoditi,51,s,voditi,
DERIVATIVE,prevoditi,39,pre,voditi,
DERIVATIVE,zavoditi,10,za,voditi,
DERIVATIVE,privoditi,8,pri,voditi,
DERIVATIVE,povoditi,2,po,voditi,
DERIVATIVE,razvoditi,1,raz,voditi,
BASE,pisati,458,,pisati,11
DERIVATIVE,napisati,232,na,pisati,
DERIVATIVE,upisati,143,u,pisati,
DERIVATIVE,opisati,143,o,pisati,
DERIVATIVE,raspisati,76,ras,pisati,
DERIVATIVE,propisati,23,pro,pisati,
DERIVATIVE,zapisati,22,za,pisati,
DERIVATIVE,pripisati,19,pri,pisati,
DERIVATIVE,prepisati,6,pre,pisati,
DERIVATIVE,dopisati,4,do,pisati,
DERIVATIVE,popisati,3,po,pisati,
DERIVATIVE,otpisati,3,ot,pisati,
BASE,lagati,10,,lagati,11
DERIVATIVE,ulagati,208,u,lagati,
DERIVATIVE,zalagati,146,za,lagati,
DERIVATIVE,predlagati,140,pred,lagati,
DERIVATIVE,slagati,119,s,lagati,
DERIVATIVE,izlagati,114,iz,lagati,
DERIVATIVE,polagati,53,po,lagati,
DERIVATIVE,nalagati,31,na,lagati,
DERIVATIVE,odlagati,21,od,lagati,
DERIVATIVE,prilagati,17,pri,lagati,
DERIVATIVE,razlagati,2,raz,lagati,
DERIVATIVE,vlagati,1,v,lagati,
BASE,ložiti,1,,ložiti,11
DERIVATIVE,predložiti,333,pred,ložiti,
DERIVATIVE,uložiti,204,u,ložiti,
DERIVATIVE,složiti,148,s,ložiti,
DERIVATIVE,položiti,110,po,ložiti,
DERIVATIVE,izložiti,59,iz,ložiti,
DERIVATIVE,odložiti,49,od,ložiti,
DERIVATIVE,priložiti,49,pri,ložiti,
DERIVATIVE,naložiti,25,na,ložiti,
DERIVATIVE,založiti,19,za,ložiti,
DERIVATIVE,obložiti,12,ob,ložiti,
DERIVATIVE,razložiti,4,raz,ložiti,
BASE,liti,1,,liti,11
DERIVATIVE,preliti,10,pre,liti,
DERIVATIVE,uliti,9,u,liti,
DERIVATIVE,rasliti,8,ras,liti,
DERIVATIVE,izliti,3,iz,liti,
DERIVATIVE,sliti,3,s,liti,
DERIVATIVE,politi,2,po,liti,
DERIVATIVE,naliti,1,na,liti,
DERIVATIVE,zaliti,1,za,liti,
DERIVATIVE,proliti,1,pro,liti,
DERIVATIVE,razliti,1,raz,liti,
