base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
laziti,nalaziti,na,111,17813
biti,dobiti,do,2256517,12439
pitati,upitati,u,18292,11933
laziti,dolaziti,do,111,10436
imati,uzimati,uz,130463,9133
činiti,učiniti,u,44291,7384
gledati,izgledati,iz,135464,7303
govoriti,odgovoriti,od,139978,6140
dati,dodati,do,54495,5553
staviti,nastaviti,na,15573,5081
stati,ustati,u,24927,4839
laziti,izlaziti,iz,111,4542
gubiti,izgubiti,iz,3665,3750
ići,izići,iz,57248,3478
vršiti,završiti,za,3530,3404
naći,pronaći,pro,13922,3329
praviti,napraviti,na,7387,3106
boraviti,zaboraviti,za,1058,3028
laziti,odlaziti,od,111,3027
veriti,uveriti,u,401,3013
lučiti,odlučiti,od,120,2962
laziti,prolaziti,pro,111,2957
raditi,uraditi,u,64503,2831
znati,saznati,sa,91605,2766
goditi,dogoditi,do,464,2546
dati,predati,pre,54495,2468
ustaviti,zaustaviti,za,120,2447
gledati,ugledati,u,135464,2300
misliti,zamisliti,za,79097,2251
tvoriti,zatvoriti,za,140,2239
biti,ubiti,u,2256517,2223
vesti,dovesti,do,539,2203
stati,prestati,pre,24927,2108
pisati,napisati,na,26386,2077
čitati,pročitati,pro,9076,2056
vesti,provesti,pro,539,2021
miti,primiti,pri,1041,2011
učiti,naučiti,na,8449,1990
nositi,odnositi,od,57916,1946
držati,zadržati,za,30029,1907
pustiti,napustiti,na,16513,1902
padati,pripadati,pri,18264,1881
vesti,izvesti,iz,539,1880
laziti,ulaziti,u,111,1858
vući,izvući,iz,14834,1835
znati,priznati,pri,91605,1831
stavljati,nastavljati,na,5825,1788
buditi,probuditi,pro,1579,1778
vratiti,odvratiti,od,23788,1716
nositi,donositi,do,57916,1681
stati,nastati,na,24927,1554
vesti,odvesti,od,539,1525
dati,udati,u,54495,1505
rediti,odrediti,od,200,1468
stati,zastati,za,24927,1450
vesti,navesti,na,539,1447
davati,dodavati,do,22346,1434
stajati,ustajati,u,48949,1412
davati,prodavati,pro,22346,1373
tvoriti,pretvoriti,pre,140,1366
dati,prodati,pro,54495,1363
javiti,objaviti,ob,8457,1345
voditi,navoditi,na,56924,1342
