base_verb,base_frequency,derivatives_count,derivatives_examples
vesti,11,15,na+vesti (780); do+vesti (638); pro+vesti (278); u+vesti (248); iz+vesti (196); po+vesti (126); od+vesti (61); pre+vesti (52); s+vesti (42); pri+vesti (28) ... и еще 5
neti,1,14,pod+neti (982); do+neti (841); pre+neti (281); iz+neti (215); u+neti (95); po+neti (81); na+neti (61); od+neti (49); s+neti (3); nad+neti (1) ... и еще 4
biti,197977,13,do+biti (2440); od+biti (173); u+biti (92); pro+biti (24); iz+biti (20); raz+biti (20); na+biti (5); po+biti (5); za+biti (2); o+biti (2) ... и еще 3
nositi,599,13,od+nositi (1072); iz+nositi (693); do+nositi (601); pre+nositi (280); pod+nositi (140); u+nositi (100); na+nositi (85); s+nositi (79); po+nositi (53); pri+nositi (8) ... и еще 3
gledati,392,13,po+gledati (1049); iz+gledati (305); o+gledati (199); pre+gledati (138); sa+gledati (111); nad+gledati (51); u+gledati (48); raz+gledati (13); od+gledati (7); za+gledati (4) ... и еще 3
rasti,192,13,od+rasti (185); po+rasti (129); pre+rasti (51); iz+rasti (28); na+rasti (18); za+rasti (11); ob+rasti (9); o+rasti (6); pri+rasti (4); s+rasti (3) ... и еще 3
padati,106,13,pri+padati (403); s+padati (227); o+padati (38); do+padati (28); na+padati (22); pro+padati (14); u+padati (8); za+padati (4); ot+padati (2); ras+padati (1) ... и еще 3
dati,1431,11,do+dati (893); na+dati (386); iz+dati (212); pre+dati (160); pro+dati (159); o+dati (100); za+dati (34); u+dati (27); pri+dati (9); uz+dati (3) ... и еще 1
voditi,1418,11,na+voditi (886); do+voditi (323); iz+voditi (261); pro+voditi (169); u+voditi (149); s+voditi (51); pre+voditi (39); za+voditi (10); pri+voditi (8); po+voditi (2) ... и еще 1
pisati,458,11,na+pisati (232); o+pisati (143); u+pisati (143); ras+pisati (76); pro+pisati (23); za+pisati (22); pri+pisati (19); pre+pisati (6); do+pisati (4); po+pisati (3) ... и еще 1
lagati,10,11,u+lagati (208); za+lagati (146); pred+lagati (140); s+lagati (119); iz+lagati (114); po+lagati (53); na+lagati (31); od+lagati (21); pri+lagati (17); raz+lagati (2) ... и еще 1
