base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
gledati,izgledati,iz,2809846407,9552
činiti,učiniti,u,28021999,13740
pitati,upitati,u,1497153,191543
govoriti,odgovoriti,od,1401748117,8624
laziti,nalaziti,na,1110541,1635538
laziti,dolaziti,do,1110541,189875
staviti,nastaviti,na,20285453,13897
gubiti,izgubiti,iz,62084,6346
biti,dobiti,do,33353523123,1136970
laziti,odlaziti,od,1110541,4237
boraviti,zaboraviti,za,24565,4644
laziti,prolaziti,pro,1110541,4970
vršiti,završiti,za,2349156,8646
stati,ustati,u,32354424,78094
dati,dodati,do,358820591,108194
naći,pronaći,pro,241347,10895
praviti,napraviti,na,1919078,9356
goditi,dogoditi,do,119108,4529
lučiti,odlučiti,od,9850,8092
ustaviti,zaustaviti,za,9762,3747
gledati,ugledati,u,2809846407,2558
znati,saznati,sa,7507775,6725
laziti,izlaziti,iz,1110541,76983
raditi,uraditi,u,266867860,7677
biti,ubiti,u,33353523123,3032
tvoriti,zatvoriti,za,11551,3228
misliti,zamisliti,za,190344287,3404
stati,prestati,pre,32354424,3618
pisati,napisati,na,63572947,3807
vući,izvući,iz,217199563,2046
čitati,pročitati,pro,742561,4084
vesti,provesti,pro,7911587,3896
ići,izići,iz,74373984,55770
buditi,probuditi,pro,135719,2248
vratiti,odvratiti,od,1962335,1802
kinuti,prekinuti,pre,805,2520
pustiti,napustiti,na,39692138,3554
držati,zadržati,za,18830116,3521
znati,priznati,pri,7507775,3496
laziti,ulaziti,u,1110541,3654
učiti,naučiti,na,20380586,4916
miti,primiti,pri,84404,5137
vesti,dovesti,do,7911587,6677
padati,pripadati,pri,43899553,4750
putiti,uputiti,u,1282,5831
vesti,odvesti,od,7911587,2142
veriti,uveriti,u,102793,50493
stati,zastati,za,32354424,1577
stavljati,nastavljati,na,7608629,4518
viknuti,uzviknuti,uz,6975523,1319
imati,uzimati,uz,34655932,22013884
tvoriti,pretvoriti,pre,11551,2397
teći,zateći,za,6561515,1490
smejati,nasmejati,na,57534,1306
rediti,odrediti,od,2000010,3349
dati,predati,pre,358820591,43027
laziti,prelaziti,pre,1110541,2497
čekati,sačekati,sa,1437385,1482
čuti,začuti,za,81225799,1134
ići,naići,na,74373984,1832
gađati,događati,do,245511,1843
stojati,nastojati,na,12880,2670
nositi,donositi,do,1655661172,5986
gledati,zagledati,za,2809846407,1116
plašiti,uplašiti,u,363759,1181
govoriti,izgovoriti,iz,1401748117,1372
rediti,narediti,na,2000010,1353
bediti,ubediti,u,389,1317
viknuti,naviknuti,na,6975523,1012
stati,nastati,na,32354424,5855
bližiti,približiti,pri,180,1861
pitati,zapitati,za,1497153,1293
uzeti,obuzeti,ob,32047510,977
čekati,dočekati,do,1437385,1437
miriti,umiriti,u,831828,957
voditi,provoditi,pro,835846941,2244
vaditi,izvaditi,iz,14073,1294
moliti,zamoliti,za,8981495,1337
nositi,odnositi,od,1655661172,9590
biti,odbiti,od,33353523123,2270
pustiti,dopustiti,do,39692138,1323
sećati,podsećati,pod,612903,2723
vesti,izvesti,iz,7911587,33921
početi,započeti,za,22387,4489
čuvati,sačuvati,sa,57572,2493
mati,primati,pri,1382,2476
kazati,ukazati,u,132417524,5253
činiti,načiniti,na,28021999,995
mrmljati,promrmljati,pro,495,753
zvati,nazvati,na,31204850,1592
uzeti,zauzeti,za,32047510,1561
dati,udati,u,358820591,24583
ljubiti,zaljubiti,za,3147134,906
govoriti,progovoriti,pro,1401748117,920
dužiti,produžiti,pro,44363,1393
grliti,zagrliti,za,87851,749
gasiti,ugasiti,u,13810,812
držati,izdržati,iz,18830116,1117
stajati,ustajati,u,200797614,22888
tražiti,zatražiti,za,234272,3478
vršiti,izvršiti,iz,2349156,4540
ustavljati,zaustavljati,za,2433,947
laziti,prilaziti,pri,1110541,873
pustiti,prepustiti,pre,39692138,1276
variti,prevariti,pre,61,792
vesti,navesti,na,7911587,6949
likovati,razlikovati,raz,415683,2863
terati,naterati,na,10698248,1116
javiti,objaviti,ob,11011752,6117
ništiti,uništiti,u,8,1159
učiti,obučiti,ob,20380586,892
titi,pretiti,pre,20,168108
stati,pristati,pri,32354424,1119
čuditi,začuditi,za,21079,669
tvrditi,utvrditi,u,4955,4217
paliti,zapaliti,za,88001,761
paliti,upaliti,u,88001,707
stajati,prestajati,pre,200797614,1131
davati,dodavati,do,147304119,27761
dati,prodati,pro,358820591,25431
dahnuti,uzdahnuti,uz,22528,602
padati,dopadati,do,43899553,863
vratiti,uzvratiti,uz,1962335,829
suditi,usuditi,u,785657,772
vući,privući,pri,217199563,1836
biti,izbiti,iz,33353523123,838
ložiti,izložiti,iz,5735396,1074
smešiti,nasmešiti,na,469,603
opštiti,saopštiti,sa,7327,3268
veriti,proveriti,pro,102793,2032
misliti,razmisliti,raz,190344287,1270
puštati,napuštati,na,6180124,1068
misliti,izmisliti,iz,190344287,675
davati,prodavati,pro,147304119,27549
nositi,podnositi,pod,1655661172,1862
ući,obući,ob,8999,17802
voditi,dovoditi,do,835846941,3134
vući,uvući,u,217199563,553
vesti,uvesti,u,7911587,2690
mešati,umešati,u,180891,661
puštati,dopuštati,do,6180124,839
davati,predavati,pre,147304119,1362
biti,razbiti,raz,33353523123,699
družiti,pridružiti,pri,8522,2835
baciti,prebaciti,pre,83686744,1159
javiti,izjaviti,iz,11011752,5852
znati,doznati,do,7507775,573
visiti,zavisiti,za,248267,3920
kazati,dokazati,do,132417524,1746
baciti,izbaciti,iz,83686744,806
gutati,progutati,pro,11875,581
staviti,sastaviti,sa,20285453,927
dirnuti,dodirnuti,do,270,664
baciti,odbaciti,od,83686744,1104
kidati,prekidati,pre,61016,732
puniti,napuniti,na,364425,972
ustati,odustati,od,78094,1257
tisnuti,pritisnuti,pri,224,643
mahnuti,odmahnuti,od,70408,482
pustiti,propustiti,pro,39692138,1430
vladati,savladati,sa,967601,1523
kazivati,ukazivati,u,1773935,4331
voditi,navoditi,na,835846941,7569
dati,izdati,iz,358820591,2178
živeti,doživeti,do,41577070,2032
štititi,zaštititi,za,2161,1699
vrediti,uvrediti,u,1083,503
uzeti,preuzeti,pre,32047510,4702
slutiti,naslutiti,na,585,500
hvatati,prihvatati,pri,1012329,1814
pasti,napasti,na,12276658,1017
nositi,prenositi,pre,1655661172,2855
igrati,odigrati,od,49018417,1753
putiti,zaputiti,za,1282,527
poznavati,prepoznavati,pre,93692,1349
tonuti,utonuti,u,333,448
vesti,prevesti,pre,7911587,848
taknuti,dotaknuti,do,15822,450
pasti,upasti,u,12276658,1056
paziti,zapaziti,za,36771,510
krasti,ukrasti,u,330,429
uzeti,oduzeti,od,32047510,858
gledati,pregledati,pre,2809846407,1435
govoriti,dogovoriti,do,1401748117,1348
reći,odreći,od,256003313,718
viti,razviti,raz,35592657,3435
ići,obići,ob,74373984,20173
vijati,odvijati,od,14971536,2863
hraniti,sahraniti,sa,427303,459
setiti,podsetiti,pod,397331,2973
dizati,uzdizati,uz,983449,599
vajati,odvajati,od,3770,755
kočiti,ukočiti,u,3392,397
stojati,sastojati,sa,12880,5125
stajati,pristajati,pri,200797614,540
vući,navući,na,217199563,393
kloniti,ukloniti,u,215627,2078
braniti,zabraniti,za,38944,685
vući,zavući,za,217199563,374
risati,obrisati,ob,6,660
puštati,prepuštati,pre,6180124,461
rediti,urediti,u,2000010,16508
nositi,iznositi,iz,1655661172,5700
buditi,uzbuditi,uz,135719,370
hvaliti,zahvaliti,za,12166,2789
nositi,unositi,u,1655661172,1197
siliti,prisiliti,pri,111,400
ostati,preostati,pre,2894058,363
baciti,ubaciti,u,83686744,778
ložiti,odložiti,od,5735396,774
kazati,prikazati,pri,132417524,2671
uzimati,obuzimati,ob,22013884,367
maknuti,odmaknuti,od,7634952,349
viknuti,doviknuti,do,6975523,347
voditi,izvoditi,iz,835846941,21213
držati,uzdržati,uz,18830116,443
pisati,upisati,u,63572947,1701
očarati,razočarati,raz,178,433
dirati,prodirati,pro,295679,406
baviti,nabaviti,na,10156009,1293
javiti,prijaviti,pri,11011752,5248
stajati,zastajati,za,200797614,389
reći,izreći,iz,256003313,562
davati,izdavati,iz,147304119,1495
plakati,zaplakati,za,57426,339
biti,probiti,pro,33353523123,453
kazivati,prikazivati,pri,1773935,4071
slušati,saslušati,sa,4268569,585
stajati,nastajati,na,200797614,2062
setiti,prisetiti,pri,397331,390
nuditi,prinuditi,pri,71493,329
vući,odvući,od,217199563,325
seći,preseći,pre,8071259,357
morati,primorati,pri,43275,454
gurnuti,odgurnuti,od,659,317
moriti,odmoriti,od,467396,505
maknuti,primaknuti,pri,7634952,302
mrštiti,namrštiti,na,152,303
baciti,dobaciti,do,83686744,315
laziti,zalaziti,za,1110541,372
uzimati,zauzimati,za,22013884,1682
vijati,razvijati,raz,14971536,5234
kupiti,sakupiti,sa,1758111,629
živeti,preživeti,pre,41577070,1544
pamtiti,zapamtiti,za,26834,565
seliti,preseliti,pre,347232,727
disati,uzdisati,uz,813259,290
kazivati,dokazivati,do,1773935,963
maknuti,izmaknuti,iz,7634952,296
ćutati,ućutati,u,449872,286
vršiti,dovršiti,do,2349156,602
hapsiti,uhapsiti,u,119,528
krstiti,prekrstiti,pre,7663,290
lagati,izlagati,iz,24037854,1104
glasiti,proglasiti,pro,329791,1239
držati,sadržati,sa,18830116,7879
micati,odmicati,od,12685539,330
vladati,zavladati,za,967601,340
ključati,zaključati,za,3071,404
viđati,uviđati,u,709056,391
šaputati,prošaputati,pro,732,273
ticati,uticati,u,26580971,7231
ćutati,zaćutati,za,449872,277
micati,izmicati,iz,12685539,318
dahnuti,udahnuti,u,22528,337
nalaziti,pronalaziti,pro,1635538,921
raditi,zaraditi,za,266867860,721
