base_verb,prefixed_verb,prefix,freq_base,freq_base,freq_prefixed,freq_prefixed
gledati,izgledati,iz,11256,135464,6998,7303
činiti,učiniti,u,8487,44291,6550,7384
pitati,upitati,u,6008,18292,5950,11933
govoriti,odgovoriti,od,13834,139978,5764,6140
laziti,nalaziti,na,11,111,4753,17813
laziti,dolaziti,do,11,111,4696,10436
staviti,nastaviti,na,2536,15573,3818,5081
gubiti,izgubiti,iz,1750,3665,3386,3750
biti,dobiti,do,187140,2256517,3333,12439
laziti,odlaziti,od,11,111,2864,3027
boraviti,zaboraviti,za,356,1058,2814,3028
laziti,prolaziti,pro,11,111,2682,2957
vršiti,završiti,za,552,3530,2594,3404
stati,ustati,u,4131,24927,2402,4839
dati,dodati,do,5896,54495,2330,5553
naći,pronaći,pro,6553,13922,2303,3329
praviti,napraviti,na,1783,7387,2289,3106
goditi,dogoditi,do,115,464,2288,2546
lučiti,odlučiti,od,38,120,2276,2962
ustaviti,zaustaviti,za,40,120,2274,2447
gledati,ugledati,u,11256,135464,2252,2300
znati,saznati,sa,29986,91605,2197,2766
laziti,izlaziti,iz,11,111,2166,4542
raditi,uraditi,u,7532,64503,2135,2831
biti,ubiti,u,187140,2256517,2131,2223
tvoriti,zatvoriti,za,46,140,2107,2239
misliti,zamisliti,za,11168,79097,2095,2251
stati,prestati,pre,4131,24927,1891,2108
pisati,napisati,na,3704,26386,1845,2077
vući,izvući,iz,1348,14834,1806,1835
čitati,pročitati,pro,2974,9076,1772,2056
vesti,provesti,pro,48,539,1743,2021
ići,izići,iz,9434,57248,1736,3478
buditi,probuditi,pro,475,1579,1711,1778
vratiti,odvratiti,od,7699,23788,1702,1716
kinuti,prekinuti,pre,25,50,1684,1791
pustiti,napustiti,na,2341,16513,1675,1902
držati,zadržati,za,5942,30029,1670,1907
znati,priznati,pri,29986,91605,1618,1831
laziti,ulaziti,u,11,111,1616,1858
učiti,naučiti,na,1173,8449,1590,1990
miti,primiti,pri,346,1041,1585,2011
vesti,dovesti,do,48,539,1565,2203
padati,pripadati,pri,2594,18264,1478,1881
putiti,uputiti,u,40,80,1475,1999
vesti,odvesti,od,48,539,1464,1525
veriti,uveriti,u,100,401,1450,3013
stati,zastati,za,4131,24927,1432,1450
stavljati,nastavljati,na,934,5825,1403,1788
viknuti,uzviknuti,uz,897,5382,1290,1295
imati,uzimati,uz,29631,130463,1280,9133
tvoriti,pretvoriti,pre,46,140,1232,1366
teći,zateći,za,826,5048,1211,1252
smejati,nasmejati,na,1791,3584,1194,1211
rediti,odrediti,od,20,200,1177,1468
dati,predati,pre,5896,54495,1154,2468
laziti,prelaziti,pre,11,111,1144,1307
čekati,sačekati,sa,5720,17508,1140,1185
čuti,začuti,za,10341,62563,1117,1118
ići,naići,na,9434,57248,1108,1200
gađati,događati,do,236,954,1090,1178
stojati,nastojati,na,36,140,1080,1269
nositi,donositi,do,4409,57916,1080,1681
gledati,zagledati,za,11256,135464,1072,1076
plašiti,uplašiti,u,1454,4443,1061,1073
govoriti,izgovoriti,iz,13834,139978,1057,1101
rediti,narediti,na,20,200,1047,1096
bediti,ubediti,u,12,24,1018,1059
viknuti,naviknuti,na,897,5382,995,995
stati,nastati,na,4131,24927,984,1554
bližiti,približiti,pri,116,122,982,1079
pitati,zapitati,za,6008,18292,947,984
uzeti,obuzeti,ob,4077,24680,937,942
čekati,dočekati,do,5720,17508,904,970
miriti,umiriti,u,265,1330,884,893
voditi,provoditi,pro,5046,56924,883,1052
vaditi,izvaditi,iz,419,855,880,927
moliti,zamoliti,za,2871,14368,878,918
nositi,odnositi,od,4409,57916,874,1946
biti,odbiti,od,187140,2256517,861,1034
pustiti,dopustiti,do,2341,16513,855,912
sećati,podsećati,pod,2475,7505,854,1086
vesti,izvesti,iz,48,539,842,1880
početi,započeti,za,11654,12944,829,1259
čuvati,sačuvati,sa,1335,3053,770,990
mati,primati,pri,1353,1360,761,976
kazati,ukazati,u,16617,101685,760,1320
činiti,načiniti,na,8487,44291,748,775
mrmljati,promrmljati,pro,486,487,747,747
zvati,nazvati,na,3963,24025,746,845
uzeti,zauzeti,za,4077,24680,742,833
dati,udati,u,5896,54495,739,1505
ljubiti,zaljubiti,za,1005,5033,734,759
govoriti,progovoriti,pro,13834,139978,731,756
dužiti,produžiti,pro,41,170,729,812
grliti,zagrliti,za,360,1082,706,711
gasiti,ugasiti,u,419,844,701,719
držati,izdržati,iz,5942,30029,701,760
stajati,ustajati,u,6069,48949,700,1412
tražiti,zatražiti,za,5990,13066,685,1050
vršiti,izvršiti,iz,552,3530,679,1140
ustavljati,zaustavljati,za,10,30,673,697
laziti,prilaziti,pri,11,111,673,705
pustiti,prepustiti,pre,2341,16513,672,749
variti,prevariti,pre,27,35,670,682
vesti,navesti,na,48,539,667,1447
likovati,razlikovati,raz,133,665,667,953
terati,naterati,na,632,4451,666,721
javiti,objaviti,ob,1382,8457,665,1345
ništiti,uništiti,u,6,6,658,705
učiti,obučiti,ob,1173,8449,645,676
titi,pretiti,pre,8,10,644,2022
stati,pristati,pri,4131,24927,642,688
čuditi,začuditi,za,622,1275,636,641
tvrditi,utvrditi,u,1852,2244,630,1073
paliti,zapaliti,za,335,1055,620,643
paliti,upaliti,u,335,1055,617,632
stajati,prestajati,pre,6069,48949,609,674
davati,dodavati,do,2395,22346,604,1434
dati,prodati,pro,5896,54495,602,1363
dahnuti,uzdahnuti,uz,22,88,601,601
padati,dopadati,do,2594,18264,601,629
vratiti,uzvratiti,uz,7699,23788,600,630
suditi,usuditi,u,750,3050,599,621
vući,privući,pri,1348,14834,586,744
biti,izbiti,iz,187140,2256517,585,605
ložiti,izložiti,iz,97,874,582,641
smešiti,nasmešiti,na,446,447,581,586
opštiti,saopštiti,sa,30,90,580,907
veriti,proveriti,pro,100,401,579,770
misliti,razmisliti,raz,11168,79097,567,654
puštati,napuštati,na,786,4759,562,606
misliti,izmisliti,iz,11168,79097,557,567
davati,prodavati,pro,2395,22346,557,1373
nositi,podnositi,pod,4409,57916,549,689
ući,obući,ob,4399,4995,546,1100
voditi,dovoditi,do,5046,56924,543,866
vući,uvući,u,1348,14834,541,541
vesti,uvesti,u,48,539,540,788
mešati,umešati,u,717,2200,540,555
puštati,dopuštati,do,786,4759,530,567
davati,predavati,pre,2395,22346,523,622
biti,razbiti,raz,187140,2256517,517,537
družiti,pridružiti,pri,194,455,510,813
baciti,prebaciti,pre,2546,20423,507,591
javiti,izjaviti,iz,1382,8457,504,1128
znati,doznati,do,29986,91605,504,518
visiti,zavisiti,za,1019,3061,496,916
kazati,dokazati,do,16617,101685,495,642
baciti,izbaciti,iz,2546,20423,488,519
gutati,progutati,pro,368,738,488,501
staviti,sastaviti,sa,2536,15573,484,543
dirnuti,dodirnuti,do,234,241,477,501
baciti,odbaciti,od,2546,20423,477,555
kidati,prekidati,pre,250,752,477,501
puniti,napuniti,na,347,1415,474,525
ustati,odustati,od,2402,4839,473,582
tisnuti,pritisnuti,pri,7,14,472,500
mahnuti,odmahnuti,od,289,869,469,469
pustiti,propustiti,pro,2341,16513,466,591
vladati,savladati,sa,920,3747,465,581
kazivati,ukazivati,u,567,2838,465,955
voditi,navoditi,na,5046,56924,456,1342
dati,izdati,iz,5896,54495,448,660
živeti,doživeti,do,2266,17078,447,650
štititi,zaštititi,za,335,585,447,606
vrediti,uvrediti,u,558,623,444,449
uzeti,preuzeti,pre,4077,24680,443,959
slutiti,naslutiti,na,528,536,442,446
hvatati,prihvatati,pri,984,3948,438,630
pasti,napasti,na,3900,19608,438,517
