verb_latin,frequency
"…;""hodatsO"";""…"";""Ostadoh"";"" "";""ja bez posla."";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp"";""srp"";""Serbiя"";"""";""N. S. Dovlatovoj — za sve muke! … Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?"";""27f6800b3248a940cb7f8f1bfb9daf78:3:0"";""N. S. Dovlatovoй ― za vse mučeniя! … I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? "";""rus"";"" N. S. Dovlatovoj — za sve muke! … Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača? "";""srp (translit)",1
",adžom es aD ;""milsim"";""Da se možda,"";""mislim"";"" "";""se, prekvalifikujem za krojača?"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp"";""srp"";""Serbiя"";"""";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?"";""27f6800b3248a940cb7f8f1bfb9daf78:5:3"";""N. S. Dovlatovoй ― za vse mučeniя! … I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? "";""rus"";"" N. S. Dovlatovoj — za sve muke! … Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača? "";""srp (translit)",1
",es milsim ,adžom es aD ;""mejukifilavkerp"";""Da se možda, mislim se,"";""prekvalifikujem"";"" "";""za krojača?"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp"";""srp"";""Serbiя"";"""";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?"";""27f6800b3248a940cb7f8f1bfb9daf78:5:5"";""N. S. Dovlatovoй ― za vse mučeniя! … I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? "";""rus"";"" N. S. Dovlatovoj — za sve muke! … Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača? "";""srp (translit)",1
"…;""hodatsO"";""…"";""Ostadoh"";"" "";""ja bez posla."";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp (translit)"";""srp"";""Serbiя"";"""";""N. S. Dovlatovoj — za sve muke! … Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?"";""27f6800b3248a940cb7f8f1bfb9daf78:3:0"";""N. S. Dovlatovoй ― za vse mučeniя! … I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? "";""rus"";"" N. S. Dovlatovoj — za sve muke! … Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača? "";""srp",1
",adžom es aD ;""milsim"";""Da se možda,"";""mislim"";"" "";""se, prekvalifikujem za krojača?"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp (translit)"";""srp"";""Serbiя"";"""";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?"";""27f6800b3248a940cb7f8f1bfb9daf78:5:3"";""N. S. Dovlatovoй ― za vse mučeniя! … I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? "";""rus"";"" N. S. Dovlatovoj — za sve muke! … Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača? "";""srp",1
",es milsim ,adžom es aD ;""mejukifilavkerp"";""Da se možda, mislim se,"";""prekvalifikujem"";"" "";""za krojača?"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp (translit)"";""srp"";""Serbiя"";"""";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?"";""27f6800b3248a940cb7f8f1bfb9daf78:5:5"";""N. S. Dovlatovoй ― za vse mučeniя! … I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? "";""rus"";"" N. S. Dovlatovoj — za sve muke! … Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača? "";""srp",1
"…;""hodatsO"";""…"";""Ostadoh"";"" "";""ja bez posla."";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp"";""srp"";""Serbiя"";"""";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?"";""27f6800b3248a940cb7f8f1bfb9daf78:3:0"";""… I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… "";""rus"";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi… "";""srp (translit)",1
",adžom es aD ;""milsim"";""Da se možda,"";""mislim"";"" "";""se, prekvalifikujem za krojača?"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp"";""srp"";""Serbiя"";"""";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…"";""27f6800b3248a940cb7f8f1bfb9daf78:5:3"";""… I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… "";""rus"";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi… "";""srp (translit)",1
",es milsim ,adžom es aD ;""mejukifilavkerp"";""Da se možda, mislim se,"";""prekvalifikujem"";"" "";""za krojača?"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp"";""srp"";""Serbiя"";"""";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…"";""27f6800b3248a940cb7f8f1bfb9daf78:5:5"";""… I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… "";""rus"";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi… "";""srp (translit)",1
";""oitemirP"";"""";""Primetio"";"" "";""sam — krojači suuvek dobro raspoloženi…"";""Sergeй Dovlatov. Kompromiss (1981)"";""Sergeй Dovlatov"";""1941"";""Kompromiss"";""1981"";""hudožestvennaя"";"""";"""";"""";"""";"""";""omonimiя ne snяta"";""Kompromiss"";""Sergej Dovlatov"";""Kompromis"";"""";""2018"";""12910"";""72514"";""6455"";""33804"";""srp"";""srp"";""Serbiя"";"""";""Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi…"";""27f6800b3248a940cb7f8f1bfb9daf78:7:0"";""… I ostalsя я bez rabotы. Možet, dumaю, na portnogo vыučitьsя? Я zametil ― u portnыh vsegda horošee nastroenie… "";""rus"";""… Ostadoh ja bez posla.  Da se možda, mislim se, prekvalifikujem za krojača?  Primetio sam — krojači suuvek dobro raspoloženi… "";""srp (translit)",1
