verb_latin,raw_frequency,frequency_per_million,percentage
je,488,167237.83,16.724
su,158,54146.68,5.415
nije,58,19876.63,1.988
bi,40,13708.02,1.371
sam,38,13022.62,1.302
bilo,32,10966.42,1.097
će,24,8224.81,0.822
bio,20,6854.01,0.685
može,20,6854.01,0.685
Vidim,18,6168.61,0.617
bila,18,6168.61,0.617
ima,16,5483.21,0.548
nema,14,4797.81,0.48
biti,14,4797.81,0.48
živi,12,4112.41,0.411
treba,12,4112.41,0.411
dolazi,12,4112.41,0.411
žive,10,3427.0,0.343
zna,10,3427.0,0.343
radi,10,3427.0,0.343
govorio,10,3427.0,0.343
vidi,10,3427.0,0.343
si,10,3427.0,0.343
bili,9,3084.3,0.308
moglo,8,2741.6,0.274
vidim,8,2741.6,0.274
rekao,8,2741.6,0.274
neće,8,2741.6,0.274
Bio,8,2741.6,0.274
nisu,8,2741.6,0.274
smo,8,2741.6,0.274
ide,6,2056.2,0.206
mislim,6,2056.2,0.206
raspoloženi,6,2056.2,0.206
suuvek,6,2056.2,0.206
izgleda,6,2056.2,0.206
Ima,6,2056.2,0.206
misle,6,2056.2,0.206
vodi,6,2056.2,0.206
prestaju,6,2056.2,0.206
vrši,6,2056.2,0.206
vratiti,6,2056.2,0.206
raste,6,2056.2,0.206
snađe,6,2056.2,0.206
imala,6,2056.2,0.206
tražim,6,2056.2,0.206
kupi,6,2056.2,0.206
Primetio,6,2056.2,0.206
lupa,6,2056.2,0.206
pita,6,2056.2,0.206
nećemo,6,2056.2,0.206
proteže,6,2056.2,0.206
živeo,6,2056.2,0.206
prekvalifikujem,6,2056.2,0.206
stvaraju,6,2056.2,0.206
mora,6,2056.2,0.206
voleo,6,2056.2,0.206
Bilo,6,2056.2,0.206
Nije,5,1713.5,0.171
čekali,5,1713.5,0.171
rečeno,5,1713.5,0.171
osećamo,4,1370.8,0.137
čuju,4,1370.8,0.137
druže,4,1370.8,0.137
počnu,4,1370.8,0.137
čini,4,1370.8,0.137
zovu,4,1370.8,0.137
spava,4,1370.8,0.137
radio,4,1370.8,0.137
nosili,4,1370.8,0.137
Setio,4,1370.8,0.137
našla,4,1370.8,0.137
Može,4,1370.8,0.137
živeli,4,1370.8,0.137
izašao,4,1370.8,0.137
Bila,4,1370.8,0.137
išla,4,1370.8,0.137
pio,4,1370.8,0.137
morao,4,1370.8,0.137
imao,4,1370.8,0.137
videti,4,1370.8,0.137
izbija,4,1370.8,0.137
pretvara,4,1370.8,0.137
došao,4,1370.8,0.137
dođe,4,1370.8,0.137
rade,4,1370.8,0.137
nose,4,1370.8,0.137
dolaze,4,1370.8,0.137
gubi,4,1370.8,0.137
bile,4,1370.8,0.137
potrza,4,1370.8,0.137
ući,4,1370.8,0.137
idu,4,1370.8,0.137
pamti,4,1370.8,0.137
igra,4,1370.8,0.137
diže,4,1370.8,0.137
širi,4,1370.8,0.137
vide,4,1370.8,0.137
dao,4,1370.8,0.137
moli,4,1370.8,0.137
predlaže,4,1370.8,0.137
Preveo,4,1370.8,0.137
prolaze,4,1370.8,0.137
želi,4,1370.8,0.137
načinio,4,1370.8,0.137
smiraju,4,1370.8,0.137
pojaviše,4,1370.8,0.137
beše,4,1370.8,0.137
postoji,4,1370.8,0.137
zaboravila,4,1370.8,0.137
govore,4,1370.8,0.137
LEŽI,4,1370.8,0.137
NEĆE,4,1370.8,0.137
OTVORITI,4,1370.8,0.137
JE,4,1370.8,0.137
morati,4,1370.8,0.137
umre,4,1370.8,0.137
pročita,4,1370.8,0.137
Ostadoh,4,1370.8,0.137
bude,4,1370.8,0.137
zapaliti,4,1370.8,0.137
imati,4,1370.8,0.137
Sretnem,4,1370.8,0.137
ćemo,4,1370.8,0.137
svetlucale,4,1370.8,0.137
sijala,4,1370.8,0.137
služio,4,1370.8,0.137
diše,4,1370.8,0.137
sedi,4,1370.8,0.137
navikao,4,1370.8,0.137
ću,4,1370.8,0.137
živela,4,1370.8,0.137
živite,4,1370.8,0.137
pitao,4,1370.8,0.137
misleći,4,1370.8,0.137
mislio,4,1370.8,0.137
neću,4,1370.8,0.137
počinjemo,4,1370.8,0.137
mogu,4,1370.8,0.137
čuvaju,4,1370.8,0.137
pobijali,3,1028.1,0.103
krije,3,1028.1,0.103
Stigla,3,1028.1,0.103
stajali,3,1028.1,0.103
ćuteći,3,1028.1,0.103
preplašeno,3,1028.1,0.103
uvrtao,3,1028.1,0.103
brisao,3,1028.1,0.103
kolje,3,1028.1,0.103
zatezali,3,1028.1,0.103
sakupljala,3,1028.1,0.103
seti,2,685.4,0.069
probija,2,685.4,0.069
izlizane,2,685.4,0.069
iskrivljene,2,685.4,0.069
postale,2,685.4,0.069
srasle,2,685.4,0.069
mimoiđe,2,685.4,0.069
molimo,2,685.4,0.069
vovedi,2,685.4,0.069
jest,2,685.4,0.069
sastaju,2,685.4,0.069
prepušteni,2,685.4,0.069
moliti,2,685.4,0.069
posedeti,2,685.4,0.069
ježi,2,685.4,0.069
sećaju,2,685.4,0.069
ljulja,2,685.4,0.069
ruši,2,685.4,0.069
