глагол,частота
biti,416061
moći,36437
hteti,33980
imati,25028
trebati,9610
raditi,8764
koristiti,8162
nalaziti,7666
morati,7172
postojati,6233
želeti,6076
reći,6059
predstavljati,5695
dobiti,5109
doći,5035
kazati,4406
nemati,4304
postati,3879
činiti,3834
učestvovati,3603
znati,3494
govoriti,3457
pružati,3364
istaći,3294
voditi,3229
videti,3164
baviti,3037
dati,3011
početi,2804
smatrati,2763
nuditi,2729
organizovati,2724
živeti,2705
pomoći,2666
nastaviti,2638
omogućavati,2472
tražiti,2300
pokazati,2276
odnositi,2256
pronaći,2252
značiti,2240
očekivati,2216
dolaziti,2205
obezbediti,2196
omogućiti,2190
podneti,2177
predstaviti,2168
pratiti,2131
pogledati,2110
održati,2039
sadržati,1985
otvoriti,1982
napraviti,1944
prisustvovati,1891
misliti,1890
navoditi,1890
dodati,1872
učiniti,1869
pomagati,1805
doneti,1789
uticati,1769
naći,1755
ostati,1746
upoznati,1726
razgovarati,1716
pružiti,1709
navesti,1650
odaberiti,1616
vršiti,1591
naglasiti,1586
davati,1578
završiti,1560
doprineti,1557
dobijati,1517
zahtevati,1507
sprovoditi,1506
odlučiti,1494
ostvariti,1493
pokazivati,1483
posedovati,1444
objaviti,1439
uraditi,1428
vratiti,1415
trajati,1411
podržavati,1411
verovati,1398
posetiti,1370
održavati,1360
dovesti,1356
iznositi,1351
uključivati,1342
izjaviti,1335
prihvatiti,1323
nastati,1303
razvijati,1299
podrazumevati,1296
obuhvatati,1284
donositi,1272
ići,1272
nositi,1270
postaviti,1268
prijaviti,1253
dodirniti,1249
igrati,1246
realizovati,1240
uspeti,1238
uživati,1222
sastojati,1205
ukazati,1191
obezbeđivati,1187
podržati,1183
pozivati,1174
stvarati,1166
obratiti,1163
obavljati,1160
ući,1159
uključiti,1154
usvojiti,1154
otkriti,1153
uputiti,1148
saznati,1147
pokrenuti,1145
iskoristiti,1112
izraziti,1109
preuzeti,1099
pisati,1082
video,1081
povećati,1081
voleti,1060
doprinositi,1060
ticati,1054
ostajati,1039
isticati,1038
odgovarati,1034
promeniti,1023
ukazivati,1016
stvoriti,1014
čuti,1009
smanjiti,1007
osećati,1006
stajati,1006
primenjivati,1005
proći,998
počinjati,990
računati,990
postajati,987
prikazivati,980
stići,961
služiti,960
izvršiti,952
započeti,947
razumeti,946
postići,940
menjati,931
ponuditi,931
razmotriti,928
klikniti,910
zavisiti,906
unaprediti,897
utvrditi,893
čuvati,890
potpisati,881
primiti,881
obaviti,875
zaključiti,862
pripadati,862
steći,854
kupiti,851
gledati,843
kreirati,836
nastavljati,831
osvojiti,830
prepoznati,829
planirati,828
naučiti,817
nadati,816
poslati,815
pričati,814
tvrditi,814
ostaviti,806
smeti,803
postavljati,801
desiti,799
dostaviti,798
spavati,795
čekati,793
pripremiti,792
krenuti,787
bistiti,784
boriti,783
upravljati,783
sprovesti,783
delovati,779
dešavati,770
proizvoditi,768
suočavati,765
ispuniti,760
oceniti,758
izgubiti,756
staviti,755
potvrditi,755
kretati,755
pojaviti,754
razviti,751
sarađivati,748
finansirati,744
pokušati,742
preporučivati,741
otići,736
pokušavati,733
graditi,733
koštati,725
odgovoriti,721
saopštiti,719
razmatrati,713
predložiti,712
definisati,711
poboljšati,705
shvatiti,705
zatražiti,701
držati,696
izabrati,691
boraviti,681
izaći,679
podsetiti,676
objasniti,675
dovoditi,672
okupiti,670
osigurati,666
smanjivati,661
pristupiti,660
poručiti,659
povećavati,649
odvijati,643
kontaktirati,641
izgraditi,640
izgledati,639
zahvaliti,638
birati,637
poštovati,636
pozvati,634
sastati,631
promovisati,629
odabrati,629
prodavati,625
sprečiti,620
otvarati,612
ostvarivati,610
prenositi,603
omogućivati,603
pročitati,602
prolaziti,600
najaviti,597
pitati,594
prikazati,594
podići,593
uspostaviti,590
pridružiti,587
praviti,586
izazvati,586
predsedavati,581
objavljivati,581
analizirati,570
uvesti,569
dogoditi,568
rešiti,563
izvoditi,563
funkcionisati,562
preneti,558
garantovati,555
odrediti,553
deliti,552
vraćati,548
razlikovati,546
ispunjavati,543
poslovati,540
formirati,538
preduzeti,535
platiti,535
provesti,533
prilagoditi,533
predviđati,520
dozvoliti,520
nazivati,518
napisati,512
dodavati,507
putovati,504
ulaziti,503
uzeti,502
povezivati,501
priznati,500
proširiti,500
viditi,500
osnovati,498
važiti,494
pokrivati,494
razmišljati,487
zaboraviti,486
preći,485
ogledati,484
potvrđivati,483
javljati,482
zadržati,479
pojavljivati,478
obrađivati,476
nastajati,475
reagovati,474
poticati,472
isključiti,471
osetiti,460
zvati,458
napustiti,457
podeliti,457
izraditi,456
podsećati,455
prijavati,454
objašnjavati,454
sačuvati,453
slediti,452
izdvajati,452
zasnivati,452
primati,450
odlučivati,449
ukloniti,448
spadati,446
uložiti,445
ulagati,445
štititi,442
odrasti,441
truditi,440
obavestiti,439
stavljati,437
uređati,435
rasti,433
obaveštavati,433
obići,429
određivati,428
olakšavati,426
raspolagati,423
izdati,423
podsticati,423
plaćati,422
učiti,422
posmatrati,420
okupljati,420
izdvojiti,419
prestati,417
uzimati,417
izlaziti,413
vidjeti,411
slušati,409
težiti,408
zanimati,407
doživeti,407
prikupljati,404
nastojati,403
fokusirati,402
uslediti,399
proveriti,399
brinuti,397
postizati,397
kontrolisati,393
stizati,389
sprečavati,387
instalirati,387
pokretati,386
izvesti,385
identifikovati,384
rešavati,383
izneti,379
odbiti,379
odlikovati,379
diplomirati,379
stupiti,377
zaustaviti,377
prelaziti,376
pozdraviti,374
zamisliti,373
promijeniti,371
završavati,370
predati,369
svedočiti,368
izazivati,364
zauzimati,364
istražiti,363
obeležavati,362
uređivati,360
upisati,360
podstaći,358
prodati,357
odlaziti,356
napredovati,356
pripremati,356
provjeriti,355
javiti,354
sticati,352
podnositi,351
obeležiti,351
otkrivati,350
prihvatati,350
provoditi,349
ležati,348
naglašavati,348
potražiti,348
nastupati,347
upotrebljavati,344
predvoditi,344
kolačiti,343
predlagati,342
ponoviti,338
privući,338
nedostajati,338
kupovati,337
zaštititi,336
odigrati,334
regulisati,331
napomenuti,330
obuhvatiti,330
složiti,327
odobriti,327
konstatovati,325
izaberiti,324
primeniti,324
podesiti,324
olakšati,323
ostavljati,323
hvati,323
poslužiti,321
rezultirati,321
dokazati,321
unapređivati,319
pobediti,319
zameniti,315
preživeti,315
upućivati,314
čitati,313
zadovoljiti,313
stati,312
gubiti,312
buditi,311
informisati,310
preuzimati,309
izdavati,307
obrazložiti,306
pretvoriti,305
procenjivati,302
zalagati,300
porasti,299
povesti,298
posvetiti,297
izrađivati,297
zadržavati,296
savladati,296
zadovoljavati,293
dodeljivati,292
opisati,291
voziti,291
pohađati,291
uvoditi,289
negovati,287
dostići,287
umreti,286
registrovati,286
donirati,286
zatvoriti,286
poznavati,284
povezati,282
poboljšavati,281
osiguravati,281
urediti,280
priprema,279
prikupiti,279
unesiti,279
pomenuti,278
dozvoljavati,278
komunicirati,277
sustavati,277
implementirati,276
vjerovati,275
privlačiti,273
ojačati,273
primetiti,272
slaviti,271
emitovati,271
pristup,271
tretirati,271
plaći,271
slati,270
širiti,269
pritisniti,267
povući,266
glasati,265
nastupiti,265
oslanjati,264
