глагол,частота
biti,396820
moći,34451
hteti,32700
imati,23614
trebati,8858
raditi,8407
koristiti,7906
nalaziti,7304
morati,6890
postojati,5938
reći,5699
želeti,5618
predstavljati,5377
dobiti,4963
doći,4667
kazati,4113
nemati,3912
postati,3726
činiti,3709
učestvovati,3506
znati,3419
govoriti,3347
pružati,3242
istaći,3117
voditi,3092
videti,3078
baviti,2960
dati,2763
početi,2629
živeti,2561
organizovati,2556
omogućavati,2538
smatrati,2528
pomoći,2521
nuditi,2516
nastaviti,2442
tražiti,2215
pokazati,2169
značiti,2155
odnositi,2133
obezbediti,2132
pronaći,2119
dolaziti,2115
pratiti,2114
očekivati,2087
omogućiti,2075
podneti,2063
predstaviti,2048
pogledati,1976
otvoriti,1935
misliti,1912
održati,1902
prisustvovati,1888
sadržati,1850
učiniti,1802
uticati,1783
dodati,1717
doneti,1705
navoditi,1694
pomagati,1679
naći,1665
napraviti,1662
razgovarati,1649
ostati,1645
pružiti,1628
upoznati,1623
davati,1561
navesti,1538
vršiti,1533
ostvariti,1474
odaberiti,1471
zahtevati,1465
naglasiti,1459
doprineti,1426
završiti,1425
odlučiti,1420
sprovoditi,1412
trajati,1410
posedovati,1395
dobijati,1393
pokazivati,1372
objaviti,1372
izjaviti,1348
uraditi,1347
vratiti,1339
iznositi,1327
posetiti,1305
verovati,1297
održavati,1283
postaviti,1268
podržavati,1260
razvijati,1233
nositi,1227
prijaviti,1224
uživati,1224
prihvatiti,1217
obuhvatati,1216
igrati,1214
realizovati,1209
dovesti,1198
nastati,1194
dodirniti,1192
pozivati,1191
ići,1183
uključivati,1173
donositi,1171
podrazumevati,1169
obezbeđivati,1163
sastojati,1153
ući,1152
usvojiti,1143
uspeti,1139
podržati,1135
obratiti,1128
pokrenuti,1123
saznati,1119
uključiti,1095
obavljati,1094
ukazati,1074
video,1062
uputiti,1058
otkriti,1048
povećati,1047
preuzeti,1046
stvarati,1045
promeniti,1037
doprinositi,1032
iskoristiti,1023
primenjivati,1014
pisati,1004
odgovarati,1001
izraziti,987
ostajati,985
ticati,978
ukazivati,968
izvršiti,965
primiti,950
stvoriti,948
voleti,939
služiti,939
počinjati,933
razmotriti,930
smanjiti,926
utvrditi,925
započeti,918
isticati,915
čuti,907
razumeti,907
računati,907
stajati,906
prikazivati,905
proći,903
postajati,903
ponuditi,890
osećati,890
postići,884
klikniti,878
stići,873
menjati,867
unaprediti,847
naučiti,844
steći,844
gledati,843
zavisiti,839
pripadati,837
nastavljati,836
potpisati,824
planirati,823
osvojiti,815
pričati,813
delovati,806
poslati,803
kreirati,797
zaključiti,795
čuvati,795
nadati,795
upravljati,791
ostaviti,783
postavljati,783
obaviti,782
kupiti,777
kretati,775
tvrditi,770
pojaviti,766
ispuniti,761
desiti,759
čekati,752
sprovesti,751
proizvoditi,747
spavati,745
pripremiti,745
sarađivati,745
smeti,742
dostaviti,740
preporučivati,739
dešavati,737
oceniti,737
razviti,737
prepoznati,730
izgubiti,727
otići,717
razmatrati,713
odgovoriti,711
suočavati,709
bistiti,706
finansirati,706
pokušati,702
boriti,700
potvrditi,700
držati,697
izaći,693
pokušavati,692
staviti,690
boraviti,687
podsetiti,687
krenuti,684
zatražiti,681
koštati,681
graditi,674
sastati,666
dovoditi,662
izabrati,661
shvatiti,658
poboljšati,657
odabrati,644
izgledati,642
poručiti,640
predložiti,638
prenositi,636
osigurati,635
definisati,634
izgraditi,624
smanjivati,622
objasniti,620
kontaktirati,617
poštovati,613
otvarati,612
saopštiti,612
promovisati,606
birati,593
odvijati,593
dogoditi,588
pozvati,586
pitati,586
funkcionisati,586
najaviti,581
prikazati,579
okupiti,579
pročitati,571
povećavati,571
pristupiti,570
zahvaliti,569
prolaziti,566
podići,560
sprečiti,560
izazvati,559
uspostaviti,559
pridružiti,554
predsedavati,554
vraćati,551
dozvoliti,548
analizirati,547
preneti,545
izvoditi,544
ulaziti,543
ispunjavati,540
razlikovati,540
omogućivati,539
prodavati,530
ostvarivati,530
deliti,529
provesti,527
odrediti,527
uvesti,527
predviđati,521
osnovati,518
formirati,515
rešiti,512
objavljivati,512
platiti,511
poslovati,511
praviti,506
napisati,500
viditi,498
proširiti,494
važiti,493
garantovati,488
zvati,487
razmišljati,485
podsećati,484
napustiti,482
preduzeti,480
prilagoditi,479
povezivati,478
obrađivati,473
putovati,472
poticati,471
podeliti,468
spadati,464
preći,462
nazivati,460
zadržati,458
reagovati,456
potvrđivati,456
kontrolisati,455
zaboraviti,454
ukloniti,454
zasnivati,453
slediti,453
stavljati,452
javljati,451
priznati,448
prestati,445
truditi,444
raspolagati,444
štititi,443
isključiti,443
izraditi,442
osetiti,441
izdati,439
prikupljati,437
ulagati,437
doživeti,436
pokrivati,435
dodavati,432
uzeti,428
sačuvati,423
objašnjavati,421
podsticati,420
nastajati,419
primati,415
pojavljivati,414
uzimati,414
obavestiti,413
određivati,409
izneti,409
instalirati,405
nastojati,404
rasti,403
slušati,400
vidjeti,400
uložiti,399
zanimati,396
izdvajati,396
izlaziti,395
okupljati,393
uređati,393
postizati,392
učiti,390
obaveštavati,389
posmatrati,387
zaustaviti,387
ogledati,387
diplomirati,385
odlučivati,385
obići,385
izdvojiti,384
odrasti,384
obeležiti,383
stizati,378
identifikovati,377
olakšavati,376
brinuti,373
završavati,373
pokretati,373
fokusirati,373
plaćati,372
prijavati,369
konstatovati,365
težiti,361
svedočiti,361
upisati,361
sticati,359
rešavati,354
otkrivati,354
provjeriti,353
zauzimati,352
predati,351
kolačiti,351
izvesti,350
istražiti,350
pozdraviti,350
uslediti,349
izaberiti,347
preživeti,346
prelaziti,345
promijeniti,344
odbiti,343
javiti,343
upotrebljavati,340
nedostajati,337
olakšati,337
odlaziti,335
pohađati,335
ponoviti,334
naglašavati,334
obeležavati,334
sprečavati,333
odigrati,333
provoditi,326
podesiti,326
potražiti,326
zalagati,325
napredovati,324
prihvatati,323
donirati,323
stupiti,322
porasti,321
uređivati,321
podnositi,320
predvoditi,320
proveriti,319
nastupati,317
hvati,317
napomenuti,315
ležati,314
podstaći,312
dokazati,312
širiti,312
prodati,312
ostavljati,312
unapređivati,311
zamisliti,310
opisati,309
primeniti,309
odlikovati,308
upućivati,308
predlagati,307
regulisati,307
gubiti,304
izdavati,302
zaštititi,302
izazivati,301
dozvoljavati,300
posvetiti,298
rezultirati,298
obuhvatiti,298
izrađivati,298
umreti,298
zadovoljiti,297
zameniti,294
meriti,292
odobriti,292
poslužiti,291
pripremati,291
kupovati,290
plaći,289
pretvoriti,289
trošiti,289
ojačati,288
čitati,287
privući,287
pritisniti,285
povući,285
dostići,284
dodeljivati,284
buditi,282
opisivati,278
voziti,278
poboljšavati,277
obrazložiti,277
negovati,276
zadržavati,276
preuzimati,272
savladati,272
pobediti,272
primetiti,272
informisati,271
stati,270
uručiti,269
zatvoriti,268
tretirati,266
uvoditi,265
nameravati,264
glasati,263
pristup,262
unesiti,262
pominjati,262
označiti,262
dominirati,261
povesti,260
privlačiti,260
karakterisati,259
urediti,257
složiti,257
sustavati,257
ažurirati,256
suočiti,256
sazvati,256
poznavati,256
emitovati,255
procenjivati,255
priprema,255
nabaviti,251
slati,250
povezati,250
zadovoljavati,250
implementirati,249
postignuti,247
prikupiti,246
registrovati,246
snimati,245
nastupiti,243
dogovoriti,242
komunicirati,241
izražavati,241
ubiti,240
susretati,240
odražavati,239
vjerovati,237
plasirati,237
uspevati,237
dostavljati,235
beležiti,234
označavati,234
upozoravati,234
investirati,232
proglasiti,232
propustiti,232
pasti,232
proceniti,231
oslanjati,231
proizvesti,231
pomenuti,230
izbeći,230
položiti,230
aktivirati,229
pregledati,229
osiguravati,228
studirati,227
snimiti,226
približiti,226
priključiti,225
osloboditi,225
zastupati,224
zabeležiti,224
slagati,223
probati,223
padati,221
braniti,220
diti,219
pustiti,219
doživljavati,218
prepoznavati,218
spajati,216
savetovati,216
uveriti,215
uzrokovati,213
prezentovati,213
istraživati,212
saati,212
sećati,212
prekinuti,212
dodeliti,212
popuniti,211
proteći,211
zahvaljivati,210
prevazići,210
kombinovati,209
oblikovati,209
spremati,208
zasluživati,207
čestitati,207
predavati,206
sagledati,206
insistirati,205
utvrđivati,205
obraćati,204
prilagođavati,204
podizati,204
ubrzati,204
osmisliti,203
dodavtiti,203
slaviti,203
stradati,202
obuhvaćati,202
posjetiti,201
zauzeti,200
radovati,200
kolačići,200
posvećivati,198
događati,198
pohvaliti,196
uzmiti,196
nazvati,195
svirati,194
diskutovati,193
pravi,193
posećivati,193
testirati,193
započinjati,192
ponašati,192
popraviti,191
slijediti,191
izveštavati,191
umeti,191
naići,190
saglasiti,190
poželeti,190
preduzimati,190
glasiti,189
propisivati,189
odustati,189
držiti,188
upozoriti,187
hoći,187
naplaćivati,186
ispitati,186
sugerisati,183
angaživati,183
uskladiti,183
proizvod,182
kriti,182
izbegavati,182
izlagati,181
usmeriti,181
pogoditi,181
unositi,180
spremiti,180
uhvatiti,180
ocenjivati,179
pomisliti,179
otkloniti,179
ugrožavati,177
razmisliti,177
voliti,177
pridržavati,177
dokazivati,176
ispričati,176
raspisati,176
zaključivati,176
uklanjati,175
imenovati,175
nemottiti,175
ugostiti,174
ustanoviti,174
isplatiti,173
integrisati,173
iditi,173
shvatati,172
vezovati,172
poseta,172
oglasiti,172
izmeniti,171
prostiriti,171
postupati,171
proslaviti,171
ugroziti,170
zapošljavati,170
isporučivati,170
ograničiti,169
generisati,169
iskazati,169
prebaciti,169
obećati,169
isporučiti,168
odvesti,168
pretvarati,167
nametati,167
izboriti,167
preporučiti,165
upotrebiti,165
upotrijebiti,164
kršiti,163
pronalaziti,163
nestati,163
pokriti,163
obavezati,163
inicirati,162
osjećati,162
očuvati,161
pretiti,161
prepustiti,160
obavezovati,160
uneti,160
počiniti,159
bazirati,159
odati,159
ukinuti,158
pamtiti,158
trpeti,158
potrošiti,157
povuciti,157
raspravljati,156
iznajmljivati,156
razvivati,156
preminuti,155
uplatiti,155
uporediti,155
navestiti,154
okrenuti,154
inspirisati,154
nanositi,154
motivisati,153
snositi,153
produžiti,153
osvrnuti,152
zaposliti,152
plašiti,152
ploviti,151
priznavati,151
susreti,151
odbraniti,151
pretpostavljati,150
pokloniti,150
obnoviti,150
teći,149
pozoviti,149
dočekati,149
odgovor,147
jesti,147
dobrobiti,147
blokirati,146
roditi,146
razmeniti,145
zahtijevati,145
vladati,145
nailaziti,145
odbaciti,144
napominjati,144
opustiti,144
odbijati,144
prevazilaziti,143
dizajnirati,143
rukovoditi,143
želiti,143
pristupati,142
varirati,142
umanjiti,142
ispraviti,142
