infinitive_latin,frequency
biti,397
hteti,34
reći,20
ići,20
tamo,19
još,17
ostati,15
samo,14
krenuti,14
moći,12
ležati,11
potom,11
već,10
sad,9
gde,9
mnogo,8
živeti,8
postati,8
opet,8
odjednom,7
gledati,7
daleko,7
voleti,6
imati,6
pitati,6
zatim,6
proći,6
doći,6
odgovoriti,6
natrag,6
ovde,6
takođe,6
umreti,6
živjeti,5
zašto,5
tako,5
morati,5
možda,5
savladati,5
otići,5
pasti,5
ubiti,5
međutim,4
zanavek,4
govoriti,4
malo,4
uvek,4
tada,4
rasti,4
izaći,4
dugo,4
valjati,4
sada,4
vratiti,4
potrčati,4
odmah,4
disati,4
kretati,4
pobiti,4
plakati,4
jednom,3
retko,3
nemati,3
činiti,3
tiho,3
skoro,3
osećati,3
spavati,3
uzeti,3
ponegde,3
pratiti,3
očito,3
probuditi,3
pogledati,3
žuriti,3
prekriti,3
voditi,3
podizati,3
jedino,3
kući,3
pucati,3
držati,3
postaviti,3
zapitati,3
sahraniti,3
pomoriti,3
trpeti,3
umirati,3
gubiti,2
nositi,2
čuvati,2
rađati,2
misliti,2
dobro,2
onda,2
sedeti,2
ploviti,2
toliko,2
voljeti,2
izustiti,2
uništiti,2
želeti,2
željeti,2
nalaziti,2
tugovati,2
shvatiti,2
shvatati,2
trebati,2
sećati,2
brinuti,2
dodati,2
začuditi,2
sačuvati,2
raditi,2
kako,2
napisati,2
pogostiti,2
odlaziti,2
zato,2
približiti,2
napred,2
ugledati,2
radovati,2
uveče,2
uputiti,2
susresti,2
zaći,2
spasiti,2
početi,2
kuda,2
jesti,2
nedaleko,2
popraviti,2
priviti,2
zaboraviti,2
pokušati,2
podići,2
najpre,2
odvojiti,2
nekoliko,2
zaustaviti,2
uspeti,2
koliko,2
uskoro,2
pričekati,2
odbraniti,2
osmehnuti,2
leći,2
označavati,2
odvlačiti,2
ostaviti,2
dati,2
lutati,2
očekivati,2
opraštati,2
dozvoliti,2
brzo,2
ispostaviti,2
loše,2
teško,2
boliti,2
prošaptati,2
služiti,1
raniti,1
zaceljivati,1
prekaliti,1
razbacati,1
pomalo,1
grimizno,1
zarđati,1
stalno,1
pogrešiti,1
pijuckati,1
preterivati,1
lepo,1
vrzmati,1
voziti,1
sretati,1
ćutati,1
pružati,1
uroviti,1
počinjati,1
spuštati,1
nadole,1
nadolje,1
zaslepljujuće,1
prosvetljivati,1
otvoriti,1
neprekidno,1
stvarati,1
zaćutati,1
zaplakati,1
zakrkljati,1
nakašljati,1
prmrmljati,1
prekorno,1
obavezno,1
kad-tad,1
davati,1
osvojiti,1
slušati,1
žalosno,1
škriputati,1
izrastati,1
pozvati,1
postepeno,1
zavoleti,1
valjano,1
bratati,1
omekšati,1
složiti,1
danas,1
odenuti,1
obući,1
zahvaljivati,1
oduševljavati,1
zbivati,1
veoma,1
verovatno,1
trošiti,1
ispoljavati,1
ispratiti,1
sporo,1
oslanjati,1
duboko,1
utonuti,1
nalik,1
zastati,1
razmišljati,1
slabiti,1
nekako,1
jako,1
lako,1
utešiti,1
čudnovato,1
zlobno,1
uskliknuti,1
umeti,1
ovladati,1
izboriti,1
poverovati,1
kazati,1
srušiti,1
zaceliti,1
graditi,1
obnavljati,1
pamtiti,1
nemoguće,1
izopštiti,1
spaliti,1
gostiti,1
sakriti,1
unapred,1
prerađivati,1
zasad,1
prolaziti,1
boleti,1
predati,1
blago,1
roditi,1
sprečiti,1
pretvoriti,1
obesvestiti,1
tući,1
ostajati,1
dostati,1
oduhotvoravati,1
pokretati,1
napustiti,1
dobiti,1
doputovati,1
odatle,1
uzdati,1
zasmetati,1
požuriti,1
skriti,1
osiliti,1
potući,1
objasniti,1
čekati,1
predložiti,1
izložiti,1
moliti,1
sačekati,1
naravno,1
odbiti,1
razumno,1
poći,1
ukazati,1
oprezno,1
čuti,1
uspavljivati,1
zaobići,1
suditi,1
patiti,1
zaputiti,1
ipšiti,1
hraniti,1
poneti,1
pomagati,1
pretpostavljati,1
klopati,1
naređivati,1
saditi,1
prezreti,1
uopšte,1
spremiti,1
onako,1
obično,1
hrkati,1
poželeti,1
sleteti,1
sletjeti,1
odleteti,1
izdaleka,1
putem,1
lagano,1
iščekivati,1
dolaziti,1
prekrivati,1
pešačiti,1
oko,1
izbrojiti,1
koračati,1
požurivati,1
često,1
osvrtati,1
povijati,1
prebacivati,1
sići,1
otkinuti,1
strogo,1
ukoriti,1
hodati,1
odvoditi,1
videti,1
razbuditi,1
pritajiti,1
posmatrati,1
spustiti,1
prići,1
uhvatiti,1
skljokati,1
navići,1
odakle,1
suj,1
bilaje,1
oglasiti,1
upijati,1
obamirati,1
oriti,1
čisto,1
oduhotvoreno,1
odjekivati,1
upisti,1
goniti,1
dotaći,1
primorati,1
prestati,1
oglašavati,1
odgurnuti,1
uvideti,1
spokojno,1
pritisnuti,1
put,1
gotovo,1
osvrnuti,1
nastavljati,1
rano,1
kleknuti,1
domašiti,1
razdasti,1
pokorno,1
poviti,1
smiriti,1
skideti,1
skidjeti,1
pogoditi,1
otkriti,1
ugaziti,1
nestati,1
juriti,1
utoliti,1
legosmati,1
zapaliti,1
tužno,1
satirati,1
kreniti,1
naći,1
pronaći,1
zaveštati,1
verovati,1
pomoći,1
dogorevati,1
gasiti,1
uzdizati,1
susretljivo,1
ostariti,1
pokazati,1
odmotati,1
zabeliti,1
zasvetliti,1
uokolo,1
ukrasiti,1
nadviti,1
uvidesmiti,1
svetliti,1
zamahnuti,1
udaljiti,1
poslušati,1
zaljuljati,1
doneti,1
ispričati,1
pomreti,1
nakotiti,1
zadaviti,1
večno,1
jecati,1
usnuti,1
voletati,1
pričekasmiti,1
kretosmiti,1
obazreti,1
zapevati,1
piti,1
vedro,1
pojiti,1
valjda,1
mirno,1
oterati,1
gorjeti,1
paliti,1
srditi,1
kažnjavati,1
lagati,1
popiti,1
obećati,1
velik,1
dopadati,1
opojemti,1
tamno,1
odavno,1
ugasiti,1
pojaviti,1
noću,1
sakrati,1
ćutke,1
ginuti,1
zaboravljati,1
poginuti,1
suzdržavati,1
pola,1
pomisliti,1
vraćati,1
mašiti,1
zalutati,1
naćicati,1
svuda,1
naokolo,1
vladati,1
posvuda,1
priželjkivati,1
razdaditi,1
tražiti,1
nekuda,1
napasti,1
prepoznati,1
povesti,1
bojati,1
zaklati,1
odspavati,1
osvestiti,1
umrijeti,1
opaliti,1
probiti,1
skroz,1
lo,1
povući,1
tu,1
goreti,1
mutno,1
osvetljivati,1
raspremiti,1
produžiti,1
taburati,1
pručiti,1
sigurno,1
pripremiti,1
otkopčavati,1
ipak,1
setiti,1
nekada,1
zvati,1
izgubiti,1
sklopiti,1
poljubiti,1
oprostiti,1
ispuniti,1
