infinitive_latin,frequency
бити,966
моћи,83
тако,63
много,58
само,57
знати,52
хтети,47
још,39
казати,33
говорити,31
већ,29
имати,28
ту,28
видети,26
мало,25
добро,22
немати,22
доћи,20
живјети,19
видјети,19
живети,18
требати,17
гледати,17
ићи,16
никад,16
мислити,15
питати,15
чути,14
потпуно,13
одмах,13
стати,13
почети,13
изгледати,13
стићи,13
опет,13
дати,12
брзо,12
заиста,12
чекати,12
дуго,11
толико,11
сазнати,11
где,11
онда,11
послати,11
овде,10
налазити,10
лако,10
пут,10
изгубити,10
постати,9
сада,9
тада,9
бивати,9
морати,9
проћи,9
шапутати,9
тихо,9
десити,8
уопште,8
волети,8
вољети,8
долазити,8
напустити,8
далеко,8
затим,8
једном,8
готово,8
довести,8
држати,8
значити,8
тражити,8
седети,8
увек,8
причати,7
исто,7
тешко,7
зато,7
вредити,7
отићи,7
радити,7
чинити,7
извршити,7
рећи,7
колико,7
наћи,7
набавити,7
чувати,7
трчати,7
носити,7
пролазити,7
очекивати,7
овако,7
изићи,7
остати,7
нарочито,7
личити,6
одавно,6
сад,6
распитивати,6
ипак,6
понекад,6
посматрати,6
ширити,6
писати,6
неколико,6
извести,6
показати,6
расти,6
гласно,6
проводити,6
разговарати,6
вратити,6
често,5
казивати,5
свуда,5
после,5
стајати,5
управо,5
слушати,5
просто,5
некако,5
сутрадан,5
прозвати,5
губити,5
отворити,5
погледати,5
водити,5
смести,5
важити,5
некад,5
прићи,5
ваљати,5
онако,5
тамо,5
поћи,5
оставити,5
газити,4
негде,4
ретко,4
осећати,4
мешати,4
служити,4
обично,4
звати,4
одједном,4
ући,4
хватати,4
наредити,4
пасти,4
преварити,4
испети,4
помало,4
падати,4
иначе,4
лежати,4
дотле,4
стварати,4
јести,4
слободно,4
другачије,4
умети,4
камоли,4
затворити,4
показивати,4
бацати,4
враћати,4
бежати,4
настојати,4
почињати,4
бранити,4
повући,4
спремати,4
застати,4
смишљати,4
превршити,4
пажљиво,4
учинити,4
поново,4
повести,4
изговорити,4
терати,4
цркити,4
посве,3
необично,3
заноћити,3
помињати,3
дешавати,3
доста,3
извући,3
свршити,3
кажњавати,3
ухватити,3
сувише,3
позвати,3
живо,3
судити,3
мучити,3
убијати,3
беговати,3
написати,3
решити,3
веровати,3
уверити,3
најпосле,3
свечано,3
једва,3
давати,3
наслућивати,3
предати,3
наслутити,3
жао,3
угинути,3
рано,3
споро,3
лећи,3
око,3
обуздавати,3
псовати,3
узимати,3
јавно,3
пратити,3
искупити,3
угледати,3
нигде,3
гладити,3
прећи,3
играти,3
махати,3
замислити,3
смејати,3
упитати,3
окретати,3
правити,3
примећивати,3
предвидети,3
назрети,3
помислити,3
упорно,3
јављати,3
завршити,3
претурати,3
утонути,3
изводити,3
наићи,3
гурати,3
ћутке,3
кретати,3
продужити,3
јуче,3
пуштати,3
пуцати,3
постајати,3
данас,3
гдје,3
одговорити,3
мирно,3
закопати,3
овамо,3
ослободити,3
сутра,3
оштро,3
скинути,3
замолити,3
окренути,3
јутрос,3
урадити,3
непрестано,3
исправити,3
изнети,3
тврдити,3
мењати,3
уловити,2
испричати,2
наравно,2
забринути,2
трајати,2
чудити,2
подсмевати,2
међутим,2
владати,2
лично,2
трошити,2
плаћати,2
сматрати,2
узалуд,2
додати,2
заборавити,2
истаћи,2
продавати,2
добити,2
испитати,2
оптрчавати,2
потонути,2
прочути,2
скренути,2
увидети,2
вероватно,2
донети,2
послушати,2
клати,2
примити,2
прикривати,2
подићи,2
слабо,2
отварати,2
састати,2
усуђивати,2
погубити,2
вршити,2
досад,2
јавити,2
престати,2
однекуд,2
сазнавати,2
путовати,2
дочекивати,2
превозити,2
хранити,2
наговарати,2
обазриво,2
проклињати,2
помолити,2
излазити,2
прилазити,2
кренути,2
једино,2
заборављати,2
препирати,2
ницати,2
представљати,2
слати,2
зазирати,2
колебати,2
мудро,2
погодити,2
дочекати,2
пустити,2
помишљати,2
измислити,2
лепо,2
свакако,2
лутати,2
откако,2
плашити,2
платити,2
пушити,2
сакупљати,2
страшно,2
понајвише,2
завршавати,2
обилазити,2
загледати,2
дизати,2
прскати,2
савијати,2
докле,2
несташно,2
наместити,2
најпре,2
одомаћити,2
њушити,2
напуштати,2
повлачити,2
рушити,2
умирити,2
врло,2
водати,2
викати,2
кикотати,2
зло,2
ступати,2
покретати,2
претварати,2
преврнути,2
измахнути,2
изложити,2
прислонити,2
гутати,2
трпети,2
једанпут,2
памтити,2
одмаћи,2
горе,2
додијати,2
уживати,2
напротив,2
почивати,2
чешати,2
шкрипати,2
огорчити,2
љутито,2
примакнути,2
навићи,2
испасти,2
овдје,2
одговарати,2
отуд,2
унијети,2
потицати,2
ставити,2
јурити,2
будити,2
весело,2
дирати,2
остављати,2
везати,2
дубоко,2
уништити,2
увече,2
богато,2
изговарати,2
саставити,2
савити,2
издвојити,2
одушевљавати,2
размислити,2
продати,2
испитивати,2
ударити,2
сметати,2
заметнути,2
учествовати,2
невидљиво,2
одобравати,2
запалити,2
узети,2
сасути,2
ћутати,2
претити,2
упадати,2
маштати,2
стога,2
надметати,2
полагано,2
лудо,2
схватити,2
куд,2
куда,2
нашалити,2
бацити,2
извадити,2
смирити,2
збиља,2
смењивати,2
планути,2
бирати,2
хвалити,2
наругати,2
приметити,2
нестати,2
одмахивати,2
гинути,2
ћутјети,2
упасти,2
молити,2
опростити,2
откуд,2
бринути,2
смешкати,2
седити,2
редовно,2
заувек,2
ресити,2
остајати,2
смрскати,2
пружати,2
боловати,2
тећи,2
изрећи,2
умирати,2
лево-десно,2
казнити,2
наименовати,2
исписати,2
крити,1
давно,1
вели,1
летјети,1
обневидети,1
ваздан,1
муњевито,1
пресецати,1
случајно,1
сменити,1
предвиђати,1
двоструко,1
одлазити,1
заменити,1
приписивати,1
нагонити,1
прећуткивати,1
лево,1
десно,1
частити,1
тобоже,1
увиђати,1
слагати,1
одбацивати,1
успети,1
лиферовати,1
проверити,1
удавити,1
доказивати,1
склонити,1
одвојити,1
оклизнути,1
рачунати,1
дотрајавати,1
пропадати,1
предствљати,1
осилити,1
управљати,1
ратовати,1
признавати,1
дотрајати,1
прегазити,1
срубити,1
покорити,1
поручивати,1
поступити,1
усећи,1
донијети,1
одметнути,1
сасећи,1
притећи,1
побити,1
сакупити,1
поредати,1
оправдати,1
улазити,1
бучно,1
утерати,1
ноћу,1
осванути,1
подизати,1
мицати,1
измењати,1
благо,1
потцењивати,1
тали,1
равно,1
одазвати,1
вредети,1
отпремити,1
намамити,1
покти,1
хладнокрвно,1
дотад,1
упоредивати,1
означити,1
докопати,1
појачати,1
изопачити,1
избегавати,1
никада,1
додуше,1
заливати,1
лињати,1
недорастати,1
жмиркати,1
кљуцати,1
непристојно,1
опкорачавати,1
доводити,1
изненадити,1
заклопити,1
штуцати,1
подригивати,1
премрети,1
лукаво,1
дићи,1
витлати,1
стизати,1
вући,1
тепати,1
боцнути,1
криомити,1
напола,1
презати,1
возити,1
стезати,1
излетити,1
стрепити,1
истрачати,1
умући,1
следити,1
трудити,1
набављати,1
безобзирно,1
љубазно,1
машалати,1
стрепети,1
нестрпљиво,1
заједно,1
одахнути,1
уздахнути,1
ругати,1
кладити,1
набушити,1
глумити,1
свраћати,1
ноћивати,1
обавезно,1
пола,1
домишљати,1
указати,1
запазити,1
забележити,1
искренути,1
снаћи,1
ваљда,1
прилично,1
опколити,1
надлагивати,1
неговати,1
сместити,1
усудити,1
препричавати,1
оговарати,1
храбро,1
стицати,1
звучити,1
пристојно,1
тајно,1
завити,1
узгред,1
извештавати,1
уништавати,1
докон,1
наклапати,1
опрезно,1
виђати,1
чедно,1
пити,1
умерити,1
скромно,1
једноставно,1
поклати,1
назвати,1
дивити,1
огледати,1
куповати,1
мерити,1
упорђивати,1
отирати,1
чистити,1
стављати,1
натраг,1
снити,1
замишљати,1
називати,1
дотицати,1
утолико,1
појављивати,1
потхранити,1
одморити,1
слутити,1
претрчати,1
високо,1
пробати,1
приковати,1
ломити,1
дохватити,1
пресвући,1
чоха,1
учврстити,1
напред,1
плећати,1
утицати,1
продужавати,1
почесити,1
провести,1
учестати,1
зређати,1
одозго,1
настајати,1
устумарати,1
збунити,1
лајати,1
заглушити,1
узнемирити,1
претрчавати,1
искупљати,1
пабирчити,1
неспретно,1
провиривати,1
кидати,1
збацивати,1
товарити,1
ритати,1
бесно,1
довикивати,1
зауставити,1
раскречити,1
истрчавати,1
звиждати,1
сакрити,1
сјатити,1
голицати,1
забрањивати,1
поломити,1
крстити,1
чиктити,1
клатити,1
превијати,1
поскакивати,1
филовати,1
пребацивати,1
узбудити,1
сепет,1
пообарати,1
склањати,1
покушати,1
пружити,1
одбити,1
притрчати,1
опалити,1
поливати,1
прокрвавити,1
задесити,1
придружити,1
изазивати,1
подстицати,1
сачекати,1
настати,1
промешкољити,1
размишљати,1
ценити,1
наслонити,1
каменитати,1
издовољити,1
љуљати,1
раширити,1
помокрити,1
обилно,1
стрести,1
заиграти,1
задовољно,1
тапшати,1
измишљати,1
свакодневно,1
сачекивати,1
фити,1
побацити,1
плакнути,1
таман,1
замахнути,1
пролити,1
испустити,1
викнути,1
сложити,1
нијемо,1
онијемити,1
разилазити,1
врети,1
филов,1
престајати,1
туда,1
животарити,1
запустити,1
туговати,1
штитити,1
мрети,1
мрзити,1
необуздано,1
шибати,1
желети,1
жељети,1
чезнути,1
можда,1
пробијати,1
глоати,1
гристи,1
протрчати,1
кротко,1
ударати,1
шурлати,1
тужно,1
пакосно,1
подгуркивати,1
пљунути,1
уверавати,1
дигнути,1
пројахати,1
усредсређивати,1
изменити,1
прерасти,1
кристалисати,1
замрзити,1
пре,1
раздрешити,1
заталасати,1
крунити,1
прелетати,1
занишати,1
пећи,1
превршивати,1
поуздано,1
одредити,1
углавном,1
скупљати,1
зашиљити,1
насамо,1
негдје,1
самчити,1
смиривати,1
уредовати,1
прекидати,1
поп,1
удрити,1
уздисати,1
тицати,1
увући,1
свиђати,1
пијуцкати,1
нећкати,1
покривати,1
горјети,1
милити,1
горко,1
испољавати,1
сигурно,1
јежити,1
подносити,1
изгорети,1
изгорјети,1
уздуж,1
попреко,1
црвенети,1
фалити,1
послије,1
черечити,1
промукати,1
промрмљати,1
гађати,1
грејати,1
окидати,1
погађати,1
једнако,1
сашаптавати,1
предложити,1
порасти,1
помирљиво,1
климнути,1
значајно,1
присетити,1
ућутати,1
свршавати,1
певати,1
мило,1
такнути,1
упредати,1
плести,1
пријећи,1
обрасти,1
отресити,1
шалити,1
сести,1
напамет,1
тргнути,1
зачути,1
умудрити,1
наваљивати,1
пркосно,1
прелазити,1
предлагати,1
изабрати,1
отворено,1
пожалити,1
искапити,1
отхукнути,1
макар,1
заредати,1
јуначити,1
разићи,1
затражити,1
уснити,1
сванути,1
пронаћи,1
путем,1
неповратно,1
споразумно,1
тргати,1
претрнути,1
предусретљиво,1
под,1
запутити,1
овуда,1
заговорити,1
срести,1
насмејати,1
подозриво,1
минути,1
поживети,1
оградити,1
осмехнути,1
изневерити,1
сушити,1
састављати,1
тањити,1
прибрати,1
пучити,1
гадно,1
истурити,1
навирати,1
потискивати,1
неосетно,1
преседети,1
ројити,1
потирати,1
правилно,1
продирати,1
скупо,1
сводити,1
правдати,1
пазити,1
допустити,1
криво,1
отрпити,1
како,1
повити,1
појести,1
затећи,1
истицати,1
синоћ,1
надмудрити,1
направити,1
пренути,1
силазити,1
спуштати,1
полако,1
стишавати,1
подругнути,1
одређено,1
намагрчити,1
заслуживати,1
развлачити,1
осветити,1
наступати,1
вечерати,1
спавати,1
поотварати,1
убрзо,1
чаршијати,1
спустити,1
сукати,1
одланути,1
хладно,1
прошетати,1
понети,1
замицати,1
опепелити,1
икад,1
светлити,1
свијетлити,1
сагнути,1
провирити,1
мирисати,1
чохати,1
подаље,1
познадити,1
муцати,1
договорити,1
издалека,1
укочити,1
збланути,1
обрнути,1
издати,1
џевапити,1
приклонити,1
метнути,1
смети,1
смјети,1
поносити,1
завољети,1
вјеровати,1
износити,1
пољубити,1
некуд,1
изведошити,1
осмјехивати,1
родити,1
гријати,1
слегати,1
бавити,1
отхукивати,1
неумољиво,1
телати,1
понављати,1
грдити,1
осуђивати,1
покренути,1
увређен,1
навратити,1
научити,1
клањати,1
љутити,1
озбиљно,1
постојати,1
већином,1
речити,1
решавати,1
одбранити,1
претходити,1
довека,1
огорчавати,1
жалити,1
сновати,1
згуснути,1
уобличити,1
остваривати,1
приспевати,1
трести,1
ослобађати,1
сасушити,1
крцкати,1
вешто,1
испљувати,1
жвакати,1
купити,1
смешно,1
располовити,1
отимати,1
сркати,1
малко,1
убости,1
прогутати,1
