infinitive_latin,frequency
biti,17
izaći,6
dati,5
videti,4
samo,4
misliti,3
vidjeti,3
gaziti,3
bojati,3
znati,2
iznijeti,2
belo,2
pasti,2
izlaziti,2
odati,1
stići,1
maločas,1
još,1
zjapiti,1
kostrešiti,1
osušiti,1
mučno,1
protezati,1
povući,1
olinjati,1
dosadno,1
podmuklo,1
zverati,1
zabaviti,1
odjedared,1
završiti,1
jednako,1
kliktati,1
prestajati,1
ružno,1
kliziti,1
svugde,1
mirisati,1
doći,1
vikati,1
leći,1
smešiti,1
kazati,1
izvoleti,1
napolje,1
lepo,1
izručiti,1
imati,1
ceniti,1
mnogo,1
držati,1
ići,1
pročitati,1
stajati,1
snebivati,1
žao,1
koliko,1
hteti,1
ostati,1
opet,1
ovila,1
odlutati,1
naći,1
naučiti,1
moći,1
stišati,1
očistiti,1
izjednačiti,1
otvoriti,1
pustiti,1
vejati,1
zatvoriti,1
tuđiti,1
jedared,1
poći,1
pogledati,1
svejedno,1
levo,1
desno,1
gore,1
dole,1
inspiriti,1
pospjeti,1
