word,frequency
бити,46573
хтети,2892
моћи,2815
само,1804
тако,1684
имати,1623
много,1621
још,1527
знати,1461
видети,1218
већ,1154
рећи,1065
говорити,951
već,911
samo,908
mnogo,835
ту,798
još,793
требати,770
видјети,755
гледати,733
tako,731
доћи,706
увек,705
сада,702
где,696
казати,688
почети,685
добро,674
мало,653
немати,640
ићи,624
мислити,592
остати,575
тада,563
морати,548
опет,544
дати,537
чути,535
sada,526
живети,508
пут,507
стајати,502
наћи,498
далеко,496
изгледати,493
одмах,483
носити,463
gde,460
радити,438
ovde,434
онда,432
odmah,431
dobro,430
тражити,418
колико,411
tamo,405
овде,404
неколико,404
tada,377
држати,376
чинити,372
сад,372
узети,372
zašto,367
тамо,365
брзо,363
долазити,357
никад,353
malo,347
живјети,342
толико,339
потпуно,338
седети,333
onda,327
осећати,322
одједном,320
чекати,318
sad,314
дуго,310
отићи,306
упитати,306
слушати,304
tu,303
вратити,299
волети,287
kako,282
постати,280
често,273
учинити,271
писати,268
налазити,267
стићи,267
daleko,264
nekoliko,264
стати,256
лежати,255
ипак,253
лако,250
put,247
поново,246
водити,244
исто,237
читати,233
добити,233
питати,232
затим,231
погледати,229
brzo,229
тешко,226
проћи,225
негде,225
звати,223
једном,221
зато,220
одговорити,219
opet,219
молити,217
ући,214
zatim,213
сасвим,212
постојати,211
значити,210
можда,210
ponovo,209
пасти,206
кренути,206
рано,204
заједно,203
причати,202
желети,201
како,201
ipak,201
оставити,200
зашто,200
сматрати,199
давати,198
потом,197
možda,197
tiho,196
онако,195
умети,195
умрети,194
отворити,193
данас,193
падати,190
показати,190
sasvim,190
примити,188
изгубити,185
прећи,183
расти,183
uvek,183
осетити,182
враћати,182
нарочито,181
никада,180
potpuno,178
овако,177
јести,177
вољети,177
одавно,174
готово,173
викати,172
заборавити,172
koliko,172
помислити,171
стално,171
уопште,170
бивати,169
схватити,166
губити,166
управо,165
десити,165
заиста,165
пратити,164
пити,161
окренути,161
лепо,160
остајати,159
играти,158
поћи,158
одговарати,158
донети,158
спавати,157
служити,154
teško,152
разумети,151
послати,151
певати,149
разговарати,147
међутим,146
наставити,146
одлазити,146
посматрати,146
најзад,146
бацити,145
danas,145
