infinitive_latin,frequency
бити,10832
моћи,643
хтети,581
много,442
само,404
још,402
тако,358
имати,314
видети,284
знати,276
говорити,275
већ,235
требати,233
гледати,209
доћи,205
сада,192
увек,178
видјети,174
ту,169
мало,164
живети,164
казати,161
изгледати,154
пут,141
добро,140
потпуно,139
почети,139
опет,138
тражити,135
остати,127
никад,126
морати,126
ићи,125
неколико,125
где,122
одмах,120
радити,118
немати,116
чинити,115
живјети,114
далеко,109
мислити,107
често,107
наћи,106
одједном,104
осећати,96
тада,93
дати,91
долазити,89
толико,87
колико,86
чути,85
рећи,83
стајати,83
лако,81
слушати,80
дуго,79
тешко,78
желети,78
затим,78
сад,75
исто,74
брзо,73
давити,73
овде,72
нарочито,72
примити,70
налазити,70
разговарати,69
вратити,69
носити,69
постати,68
држати,66
волети,65
учинити,64
водити,63
ипак,63
стићи,61
стално,61
чекати,60
уопште,60
заиста,60
писати,60
кренути,58
питати,56
дешавати,56
рано,56
напустити,56
проћи,55
седети,54
пратити,54
најпосле,53
управо,52
добити,52
онда,52
бивати,51
остајати,51
враћати,51
одговарати,51
показати,50
поново,50
губити,50
иначе,49
значити,49
послати,48
жељети,48
посматрати,48
онако,48
успети,48
викати,48
негде,47
настојати,47
десити,46
зато,46
некад,46
очекивати,46
мучити,46
постојати,45
јављати,45
овако,45
падати,45
лежати,45
спремати,44
умети,44
једном,44
изгубити,44
звати,43
готово,43
оставити,43
сматрати,43
завршити,42
бранити,42
познавати,41
мењати,41
почињати,41
осетити,41
узети,40
заборавити,39
дизати,39
стати,39
разумети,39
донети,39
кретати,39
сазнати,39
давати,39
гласно,38
отварати,38
одлазити,38
јасно,38
заборављати,38
расти,37
постајати,37
молити,37
крити,36
јахати,36
нагло,36
прећи,36
читати,36
веровати,36
трајати,35
показивати,35
провести,35
причати,35
одговорити,35
излазити,34
тврдити,34
мирно,34
бежати,34
бацити,34
одавно,34
данас,33
отворити,33
жалити,33
слати,33
изићи,33
владати,32
служити,32
сувише,32
лично,32
отићи,31
смести,31
настати,31
пасти,31
објаснити,31
довести,30
дубоко,30
предати,30
можда,29
дочно,29
пажљиво,29
изненадити,29
узалуд,29
изменити,29
тамо,28
једва,28
сутрадан,28
борити,28
заједно,28
пре,28
врло,28
умрети,28
оштро,28
некако,27
помишљати,27
помагати,27
обично,27
окретати,27
помоћи,27
лечити,27
доносити,26
хватати,26
прекидати,26
погледати,26
наставити,26
напуштати,26
пуштати,26
заувек,26
окренути,26
спавати,26
путовати,25
лепо,25
вољети,25
прелазити,25
повући,25
јести,25
стизати,25
гонити,25
одувек,25
наићи,25
бојати,25
смејати,25
ући,25
вршити,25
објашњавати,24
како,24
узбудити,24
зашто,24
решити,24
непрестано,24
нестати,24
необично,24
примати,24
прекинути,24
настављати,24
памтити,23
седити,23
казивати,23
пролазити,23
дотле,23
најпре,23
ноћу,23
затворити,23
упознати,23
избегавати,23
сећати,22
ваљати,22
одбијати,22
споро,22
нигде,22
откако,22
изазивати,22
одржати,22
наилазити,22
умријети,22
вредити,22
после,22
јавити,21
личити,21
напротив,21
изазвати,21
поћи,21
понављати,21
стварно,21
напољу,21
једино,21
уверавати,21
слагати,21
редовно,21
остављати,21
пустити,21
изговарати,20
сести,20
пити,20
тихо,20
приметити,20
узимати,20
изговорити,20
сасвим,20
помислити,20
позвати,20
неочекивано,20
ширити,20
тачно,20
уплашити,20
ослободити,20
ухватити,20
случајно,20
изразити,20
успевати,20
поновити,19
створити,19
испунити,19
увиђати,19
наравно,19
свуда,19
трошити,19
дочекати,19
навићи,19
прво,19
очигледно,19
наредити,19
родити,19
доказивати,19
схватити,19
угледати,19
опростити,19
досада,18
умирати,18
горе,18
јако,18
испуњавати,18
престати,18
написати,18
упутити,18
указивати,18
посве,18
делити,18
бацати,18
једнако,18
тећи,17
повезати,17
укратко,17
дању,17
умиривати,17
сакрити,17
играти,17
певати,17
пријећи,17
додати,17
обећати,17
одвојити,17
плакати,17
сутра,17
дићи,17
надати,16
спречити,16
однекуд,16
утврдити,16
рађати,16
зауставити,16
уредити,16
чувати,16
шапутати,16
трудити,16
подносити,16
дрхтати,16
боловати,16
повести,16
саопштити,16
поднети,16
примећивати,16
давно,16
преварити,16
смети,16
попустити,16
испричати,16
ломити,16
прочитати,16
полако,16
никако,15
ударати,15
стварати,15
подизати,15
проводити,15
природно,15
везати,15
подићи,15
оборити,15
патити,15
осудити,15
одлучно,15
преводити,15
полагано,15
понети,15
упадати,15
одвести,15
откуд,15
називати,15
вечерас,15
просто,15
виђати,15
понекад,15
пола,15
одбити,14
застати,14
убрзо,14
улазити,14
допирати,14
изражавати,14
унапред,14
стога,14
слободно,14
плаћати,14
пробудити,14
преклињати,14
кући,14
међутим,14
доживети,14
умирити,14
заузети,14
дисати,14
рачунати,14
слутити,14
решавати,14
малко,14
једноставно,14
учити,14
отпочети,14
живо,14
нагонити,14
избијати,14
трчати,14
ударити,14
наређивати,13
спустити,13
рушити,13
сјати,13
смењивати,13
уносити,13
научити,13
појавити,13
вешто,13
сетити,13
варати,13
судити,13
болити,13
напред,13
претварати,13
неприметно,13
уживати,13
подрхтавати,13
загледати,13
скидати,13
вући,13
мешати,13
срести,13
учествовати,13
заустављати,12
престајати,12
ниско,12
напола,12
ступити,12
довољно,12
помало,12
припадати,12
одржавати,12
слабо,12
наслућивати,12
високо,12
прићи,12
искрено,12
поставити,12
присилити,12
урадити,12
строго,12
друкчије,12
склопити,12
обећавати,12
