base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
biti,dobiti,do,1406736,17425
biti,odbiti,od,1406736,1236
biti,ubiti,u,1406736,809
biti,izbiti,iz,1406736,233
biti,razbiti,raz,1406736,162
biti,probiti,pro,1406736,112
biti,pobiti,po,1406736,71
biti,prebiti,pre,1406736,25
biti,obiti,o,1406736,19
biti,zabiti,za,1406736,12
biti,nabiti,na,1406736,4
biti,pribiti,pri,1406736,1
biti,otbiti,ot,1406736,1
moći,pomoći,po,123163,8949
moći,domoći,do,123163,53
moći,smoći,s,123163,19
moći,odmoći,od,123163,9
moći,omoći,o,123163,1
moći,nadmoći,nad,123163,1
imati,otimati,ot,84395,44
imati,doimati,do,84395,17
imati,poimati,po,84395,6
imati,uimati,u,84395,1
trebati,zatrebati,za,31931,120
trebati,potrebati,po,31931,4
raditi,uraditi,u,29388,4846
raditi,izraditi,iz,29388,1604
raditi,zaraditi,za,29388,397
raditi,odraditi,od,29388,190
raditi,preraditi,pre,29388,111
raditi,razraditi,raz,29388,81
raditi,poraditi,po,29388,48
raditi,proraditi,pro,29388,30
raditi,doraditi,do,29388,21
raditi,naraditi,na,29388,2
koristiti,iskoristiti,is,27872,3732
koristiti,okoristiti,o,27872,10
nalaziti,pronalaziti,pro,25819,576
nalaziti,snalaziti,s,25819,157
nalaziti,iznalaziti,iz,25819,22
morati,primorati,pri,24386,134
reći,odreći,od,20501,278
reći,izreći,iz,20501,199
reći,poreći,po,20501,27
reći,sreći,s,20501,27
reći,zareći,za,20501,8
reći,ureći,u,20501,2
reći,proreći,pro,20501,2
reći,oreći,o,20501,2
želeti,poželeti,po,20280,719
želeti,uželeti,u,20280,7
želeti,zaželeti,za,20280,5
dobiti,zadobiti,za,17425,146
dobiti,pridobiti,pri,17425,69
dobiti,podobiti,po,17425,1
doći,nadoći,na,16760,20
kazati,pokazati,po,14849,7807
kazati,ukazati,u,14849,3933
kazati,prikazati,pri,14849,2029
kazati,dokazati,do,14849,1104
kazati,iskazati,is,14849,627
kazati,zakazati,za,14849,366
kazati,otkazati,ot,14849,242
kazati,prokazati,pro,14849,7
kazati,skazati,s,14849,6
kazati,okazati,o,14849,6
kazati,nakazati,na,14849,2
kazati,odkazati,od,14849,1
činiti,učiniti,u,13056,6356
činiti,počiniti,po,13056,534
činiti,načiniti,na,13056,220
činiti,začiniti,za,13056,86
činiti,pričiniti,pri,13056,36
činiti,podčiniti,pod,13056,5
znati,priznati,pri,11860,1665
znati,poznati,po,11860,323
znati,doznati,do,11860,55
znati,naznati,na,11860,3
znati,oznati,o,11860,2
znati,proznati,pro,11860,1
govoriti,odgovoriti,od,11697,2484
govoriti,dogovoriti,do,11697,827
govoriti,izgovoriti,iz,11697,271
govoriti,ugovoriti,u,11697,193
govoriti,progovoriti,pro,11697,164
govoriti,nagovoriti,na,11697,28
govoriti,prigovoriti,pri,11697,18
govoriti,ogovoriti,o,11697,2
pružati,opružati,o,11287,1
voditi,navoditi,na,10817,6227
voditi,dovoditi,do,10817,2268
voditi,izvoditi,iz,10817,1924
voditi,provoditi,pro,10817,1192
voditi,predvoditi,pred,10817,1131
voditi,uvoditi,u,10817,969
voditi,svoditi,s,10817,438
voditi,prevoditi,pre,10817,355
voditi,odvoditi,od,10817,119
voditi,privoditi,pri,10817,72
voditi,zavoditi,za,10817,53
voditi,razvoditi,raz,10817,11
voditi,povoditi,po,10817,8
voditi,podvoditi,pod,10817,6
voditi,ovoditi,o,10817,1
videti,predvideti,pred,10789,470
videti,uvideti,u,10789,218
videti,svideti,s,10789,135
videti,prevideti,pre,10789,16
videti,zavideti,za,10789,10
videti,izvideti,iz,10789,1
baviti,obaviti,o,10214,2864
baviti,nabaviti,na,10214,848
baviti,pribaviti,pri,10214,308
baviti,zabaviti,za,10214,196
baviti,izbaviti,iz,10214,45
baviti,dobaviti,do,10214,9
baviti,pobaviti,po,10214,1
baviti,ubaviti,u,10214,1
dati,dodati,do,10112,6261
dati,nadati,na,10112,2792
dati,izdati,iz,10112,1518
dati,predati,pre,10112,1186
dati,prodati,pro,10112,1147
dati,zadati,za,10112,189
dati,udati,u,10112,175
dati,pridati,pri,10112,61
dati,uzdati,uz,10112,29
dati,podati,po,10112,21
početi,započeti,za,9443,3230
početi,otpočeti,ot,9443,512
početi,odpočeti,od,9443,1
smatrati,posmatrati,po,9284,1416
smatrati,osmatrati,o,9284,13
nuditi,ponuditi,po,9102,3159
nuditi,iznuditi,iz,9102,23
nuditi,prinuditi,pri,9102,19
pomoći,pripomoći,pri,8949,9
pomoći,ispomoći,is,8949,1
živeti,doživeti,do,8924,1382
