infinitive_latin,frequency
biti,106505
бити,46573
hteti,8202
moći,5573
reći,4313
samo,3620
imati,3355
mnogo,3291
znati,3273
tako,3146
još,3113
već,2976
хтети,2892
videti,2874
моћи,2815
početi,2417
govoriti,2097
trebati,1910
само,1804
sada,1754
тако,1684
kazati,1678
vidjeti,1663
nemati,1658
doći,1626
имати,1623
много,1621
gde,1616
ići,1602
dobro,1534
још,1527
знати,1461
tu,1404
gledati,1403
malo,1347
odmah,1345
odgovoriti,1331
raditi,1326
misliti,1320
tada,1317
morati,1286
upitati,1274
čuti,1273
ovde,1272
dati,1241
видети,1218
stajati,1208
tamo,1175
ostati,1171
živeti,1164
већ,1154
onda,1086
uvek,1071
рећи,1065
naći,1062
sedeti,1033
otići,1032
daleko,1024
put,1001
sad,1000
opet,982
говорити,951
zašto,934
nekoliko,932
vratiti,865
uzeti,832
brzo,821
ту,798
pogledati,795
izgledati,781
требати,770
kako,765
nositi,761
видјети,755
koliko,755
гледати,733
držati,720
živjeti,720
доћи,706
увек,705
сада,702
tražiti,698
где,696
potpuno,694
казати,688
osećati,686
почети,685
slušati,684
dobiti,683
postati,682
moliti,677
добро,674
ponovo,664
voleti,661
zatim,657
ući,656
ipak,655
мало,653
otvoriti,651
činiti,650
razumeti,645
немати,640
ићи,624
pisati,624
nalaziti,619
dolaziti,613
ležati,613
čekati,608
možda,604
dugo,600
značiti,600
krenuti,594
мислити,592
sasvim,592
pojaviti,585
učiniti,579
остати,575
želeti,567
тада,563
toliko,563
ostaviti,562
proći,555
stići,553
voditi,550
морати,548
опет,544
odjednom,538
дати,537
okrenuti,537
чути,535
pričati,532
teško,530
pitati,528
poći,514
живети,508
shvatiti,508
zaboraviti,508
пут,507
jednom,505
zvati,505
стајати,502
наћи,498
pasti,498
pomisliti,497
далеко,496
tiho,494
изгледати,493
čitati,487
postojati,485
одмах,483
danas,483
stati,482
zajedno,477
pokazati,470
lako,468
nikad,465
носити,463
pozvati,460
spavati,459
isto,451
voljeti,451
nastaviti,446
nestati,445
zato,444
upravo,441
baciti,439
радити,438
онда,432
izgubiti,431
posmatrati,428
ugledati,428
završiti,426
poslati,425
nikada,424
često,421
uopšte,420
тражити,418
pustiti,414
колико,411
овде,404
неколико,404
izaći,403
desiti,397
negde,397
odlaziti,396
smatrati,391
izvući,390
rano,388
dizati,388
uhvatiti,388
razgovarati,381
држати,376
umreti,376
verovati,373
чинити,372
сад,372
узети,372
povikati,371
osetiti,370
željeti,369
uspeti,368
okretati,368
тамо,365
odavno,364
брзо,363
preći,361
doneti,360
potom,359
piti,359
долазити,357
sećati,357
vikati,356
padati,354
никад,353
stalno,353
davati,352
staviti,350
veoma,349
igrati,348
bojati,345
живјети,342
takođe,341
ustati,341
толико,339
sediti,339
потпуно,338
narediti,337
predati,336
zaustaviti,336
očekivati,334
седети,333
ovamo,333
najzad,332
počinjati,330
primiti,328
jedva,328
odgovarati,326
prići,326
umeti,325
primetiti,325
nekako,325
осећати,322
vraćati,322
одједном,320
poznavati,320
чекати,318
napustiti,315
lepo,314
setiti,314
naravno,312
spustiti,311
saznati,311
дуго,310
onako,309
jesti,309
valjati,308
obratiti,307
отићи,306
упитати,306
zaista,305
слушати,304
ovako,303
izlaziti,300
вратити,299
kasno,299
pročitati,299
tačno,298
inače,296
pratiti,296
gubiti,296
sutra,295
zatvoriti,294
dovesti,294
izići,293
pružiti,292
jako,292
oprostiti,291
probuditi,290
gotovo,289
волети,287
kupiti,287
ispričati,286
zamisliti,285
napisati,285
ponekad,284
smejati,284
udariti,282
kući,281
постати,280
vrlo,280
kretati,280
ostajati,279
kada,279
međutim,274
ulaziti,274
noću,274
често,273
služiti,272
учинити,271
osmehnuti,271
dešavati,270
писати,268
налазити,267
стићи,267
objasniti,267
progovoriti,266
jasno,265
odvesti,265
pola,264
postaviti,264
rasti,259
začuti,258
ćutati,258
sesti,257
pažljivo,257
стати,256
ubiti,256
лежати,255
naročito,255
spremati,255
prolaziti,254
ипак,253
mučiti,251
juče,251
лако,250
pomoći,248
поново,246
pokazivati,246
posle,246
водити,244
dosta,244
očigledno,242
podizati,242
oko,239
исто,237
ličiti,237
učiti,237
duboko,236
pevati,235
читати,233
добити,233
питати,232
uveče,232
затим,231
umrijeti,231
obično,230
погледати,229
prekinuti,228
kuda,227
тешко,226
začuditi,226
nikako,226
mirno,226
проћи,225
негде,225
uputiti,225
prestati,225
podići,225
звати,223
najednom,223
shvatati,223
једном,221
truditi,221
зато,220
одговорити,219
roditi,218
postajati,218
молити,217
povući,216
plakati,216
odlučiti,215
ући,214
zagledati,214
сасвим,212
dočekati,212
menjati,212
čuvati,212
uzimati,212
zamoliti,212
постојати,211
значити,210
можда,210
javiti,210
пасти,206
кренути,206
bivati,205
рано,204
sigurno,204
promeniti,204
заједно,203
izgovoriti,203
družiti,203
prekidati,203
причати,202
желети,201
како,201
otvarati,201
оставити,200
зашто,200
trčati,200
iznenada,200
сматрати,199
давати,198
ponavljati,198
потом,197
pokušati,197
praviti,196
онако,195
умети,195
vući,195
умрети,194
отворити,193
данас,193
kriti,193
sresti,193
viknuti,192
sanjati,192
smeti,191
