infinitive_latin,frequency
biti,153078
hteti,11094
moći,8388
reći,5378
imati,3355
znati,3273
videti,2874
početi,2417
govoriti,2097
trebati,1910
kazati,1678
vidjeti,1663
nemati,1658
doći,1626
ići,1602
gledati,1403
odgovoriti,1331
raditi,1326
misliti,1320
morati,1286
upitati,1274
čuti,1273
dati,1241
stajati,1208
ostati,1171
živeti,1164
naći,1062
sedeti,1033
otići,1032
vratiti,865
uzeti,832
pogledati,795
izgledati,781
nositi,761
držati,720
živjeti,720
tražiti,698
osećati,686
slušati,684
dobiti,683
postati,682
moliti,677
voleti,661
ući,656
otvoriti,651
činiti,650
razumeti,645
pisati,624
nalaziti,619
dolaziti,613
ležati,613
čekati,608
značiti,600
krenuti,594
pojaviti,585
učiniti,579
želeti,567
ostaviti,562
proći,555
stići,553
voditi,550
okrenuti,537
pričati,532
pitati,528
poći,514
shvatiti,508
zaboraviti,508
zvati,505
pasti,498
pomisliti,497
čitati,487
postojati,485
stati,482
pokazati,470
pozvati,460
spavati,459
voljeti,451
nastaviti,446
nestati,445
baciti,439
izgubiti,431
posmatrati,428
ugledati,428
završiti,426
poslati,425
pustiti,414
izaći,403
desiti,397
odlaziti,396
smatrati,391
izvući,390
dizati,388
uhvatiti,388
razgovarati,381
umreti,376
verovati,373
povikati,371
osetiti,370
željeti,369
uspeti,368
okretati,368
preći,361
doneti,360
piti,359
sećati,357
vikati,356
padati,354
davati,352
staviti,350
igrati,348
bojati,345
ustati,341
sediti,339
narediti,337
predati,336
zaustaviti,336
očekivati,334
počinjati,330
primiti,328
odgovarati,326
prići,326
umeti,325
primetiti,325
vraćati,322
poznavati,320
napustiti,315
setiti,314
spustiti,311
saznati,311
jesti,309
valjati,308
obratiti,307
izlaziti,300
pročitati,299
pratiti,296
gubiti,296
zatvoriti,294
dovesti,294
izići,293
pružiti,292
oprostiti,291
probuditi,290
kupiti,287
ispričati,286
zamisliti,285
napisati,285
smejati,284
udariti,282
kući,281
kretati,280
ostajati,279
ulaziti,274
služiti,272
osmehnuti,271
dešavati,270
objasniti,267
progovoriti,266
odvesti,265
postaviti,264
rasti,259
začuti,258
ćutati,258
sesti,257
ubiti,256
spremati,255
prolaziti,254
mučiti,251
pomoći,248
pokazivati,246
podizati,242
ličiti,237
učiti,237
pevati,235
umrijeti,231
prekinuti,228
začuditi,226
uputiti,225
prestati,225
podići,225
shvatati,223
truditi,221
roditi,218
postajati,218
povući,216
plakati,216
odlučiti,215
zagledati,214
dočekati,212
menjati,212
čuvati,212
uzimati,212
zamoliti,212
javiti,210
bivati,205
promeniti,204
izgovoriti,203
družiti,203
prekidati,203
otvarati,201
trčati,200
ponavljati,198
pokušati,197
praviti,196
vući,195
kriti,193
sresti,193
viknuti,192
sanjati,192
smeti,191
bacati,191
uzbuditi,187
puštati,186
skočiti,185
poleteti,185
trajati,184
šaputati,184
braniti,184
razmišljati,182
paziti,180
dodaditi,179
rešiti,177
provesti,177
uraditi,177
smestiti,177
nadati,176
smesti,174
priznati,174
popiti,173
osloboditi,173
izvesti,171
zauzeti,171
putovati,170
tvrditi,170
zastati,168
pronaći,168
prelaziti,168
javljati,167
stezati,167
hvatati,164
skinuti,164
slati,164
spuštati,163
tući,161
izvoleti,160
dopustiti,159
prihvatiti,159
platiti,158
umirati,157
pušiti,157
spasti,157
pokušavati,157
zaboravljati,156
načiniti,155
ponoviti,155
bežati,155
zadržati,154
dodati,154
teći,153
izvaditi,153
juriti,153
vladati,153
zaključiti,152
pripadati,152
dogoditi,152
napraviti,151
pomagati,150
primati,149
upoznati,148
pretvoriti,148
koristiti,148
sići,147
donositi,147
stvoriti,147
naučiti,147
nastati,147
žaliti,146
ticati,146
odbiti,146
ostavljati,144
smetati,143
širiti,143
zbuniti,143
terati,142
svirati,142
obraćati,142
baviti,142
složiti,141
stizati,141
skidati,140
izviniti,140
smiriti,140
suditi,140
obući,140
odvojiti,139
deliti,139
ispuniti,138
uznemiriti,136
poljubiti,136
svršiti,136
otkriti,135
prepoznati,134
pobeći,134
ljubiti,133
zaspati,133
disati,132
oboriti,132
pogoditi,130
pamtiti,130
stavljati,130
boriti,129
naići,129
visiti,128
nastavljati,128
gurnuti,127
voziti,127
pokloniti,126
približavati,125
otputovati,125
pružati,125
lagati,124
nazivati,124
održati,124
opaziti,124
prijeći,123
osvrnuti,123
vezati,122
pucati,122
prebaciti,122
lupati,121
vršiti,121
predstavljati,121
prilaziti,121
plašiti,120
uplašiti,120
koračati,120
sedati,119
izjaviti,119
dobijati,119
dopirati,119
potrčati,119
izdati,117
navići,117
ugasiti,117
mirisati,117
prekriti,116
zapanjiti,116
goniti,116
obećati,115
mešati,115
spaziti,114
skupiti,114
dići,114
ispasti,114
razbiti,114
steći,114
donijeti,114
savladati,114
izvršiti,114
vrediti,113
pretvarati,113
povesti,113
brinuti,112
uhapsiti,112
objaviti,111
odneti,110
napuštati,110
propasti,110
sačuvati,110
dozvoliti,110
poneti,110
