word,frequency,comment
samo,3620,не похоже на глагол
mnogo,3291,не похоже на глагол
tako,3146,не похоже на глагол
još,3113,не похоже на глагол
već,2976,не похоже на глагол
само,1804,не похоже на глагол
sada,1754,не похоже на глагол
тако,1684,не похоже на глагол
имати,1623,не похоже на глагол
много,1621,не похоже на глагол
gde,1616,не похоже на глагол
dobro,1534,не похоже на глагол
још,1527,не похоже на глагол
знати,1461,не похоже на глагол
tu,1404,не похоже на глагол
malo,1347,не похоже на глагол
odmah,1345,не похоже на глагол
tada,1317,не похоже на глагол
ovde,1272,не похоже на глагол
видети,1218,не похоже на глагол
tamo,1175,не похоже на глагол
већ,1154,не похоже на глагол
onda,1086,не похоже на глагол
uvek,1071,не похоже на глагол
daleko,1024,не похоже на глагол
sad,1005,не похоже на глагол
put,1001,не похоже на глагол
opet,982,не похоже на глагол
говорити,951,не похоже на глагол
zašto,934,не похоже на глагол
nekoliko,932,не похоже на глагол
brzo,821,не похоже на глагол
ту,798,не похоже на глагол
требати,770,не похоже на глагол
kako,765,не похоже на глагол
видјети,755,не похоже на глагол
koliko,755,не похоже на глагол
гледати,733,не похоже на глагол
доћи,706,не похоже на глагол
увек,705,не похоже на глагол
сада,702,не похоже на глагол
где,696,не похоже на глагол
potpuno,694,не похоже на глагол
казати,688,не похоже на глагол
почети,685,не похоже на глагол
добро,674,не похоже на глагол
ponovo,664,не похоже на глагол
zatim,657,не похоже на глагол
ipak,655,не похоже на глагол
мало,653,не похоже на глагол
немати,640,не похоже на глагол
ићи,624,не похоже на глагол
možda,604,не похоже на глагол
dugo,600,не похоже на глагол
мислити,592,не похоже на глагол
sasvim,592,не похоже на глагол
остати,575,не похоже на глагол
тада,563,не похоже на глагол
toliko,563,не похоже на глагол
морати,548,не похоже на глагол
опет,544,не похоже на глагол
odjednom,538,не похоже на глагол
дати,537,не похоже на глагол
чути,535,не похоже на глагол
teško,530,не похоже на глагол
живети,508,не похоже на глагол
пут,507,не похоже на глагол
jednom,505,не похоже на глагол
стајати,502,не похоже на глагол
наћи,498,не похоже на глагол
далеко,496,не похоже на глагол
tiho,494,не похоже на глагол
изгледати,493,не похоже на глагол
одмах,483,не похоже на глагол
danas,483,не похоже на глагол
zajedno,477,не похоже на глагол
lako,468,не похоже на глагол
nikad,465,не похоже на глагол
носити,463,не похоже на глагол
isto,451,не похоже на глагол
zato,444,не похоже на глагол
upravo,441,не похоже на глагол
радити,438,не похоже на глагол
онда,432,не похоже на глагол
nikada,424,не похоже на глагол
često,421,не похоже на глагол
uopšte,420,не похоже на глагол
тражити,418,не похоже на глагол
колико,411,не похоже на глагол
овде,404,не похоже на глагол
неколико,404,не похоже на глагол
negde,397,не похоже на глагол
rano,388,не похоже на глагол
сад,377,не похоже на глагол
држати,376,не похоже на глагол
чинити,372,не похоже на глагол
узети,372,не похоже на глагол
тамо,365,не похоже на глагол
odavno,364,не похоже на глагол
брзо,363,не похоже на глагол
potom,359,не похоже на глагол
долазити,357,не похоже на глагол
никад,353,не похоже на глагол
stalno,353,не похоже на глагол
veoma,349,не похоже на глагол
живјети,342,не похоже на глагол
takođe,341,не похоже на глагол
толико,339,не похоже на глагол
потпуно,338,не похоже на глагол
седети,333,не похоже на глагол
ovamo,333,не похоже на глагол
najzad,332,не похоже на глагол
jedva,328,не похоже на глагол
nekako,325,не похоже на глагол
осећати,322,не похоже на глагол
одједном,320,не похоже на глагол
чекати,318,не похоже на глагол
lepo,314,не похоже на глагол
naravno,312,не похоже на глагол
дуго,310,не похоже на глагол
onako,309,не похоже на глагол
отићи,306,не похоже на глагол
упитати,306,не похоже на глагол
zaista,305,не похоже на глагол
слушати,304,не похоже на глагол
ovako,303,не похоже на глагол
вратити,299,не похоже на глагол
kasno,299,не похоже на глагол
tačno,298,не похоже на глагол
inače,296,не похоже на глагол
sutra,295,не похоже на глагол
jako,292,не похоже на глагол
gotovo,289,не похоже на глагол
волети,287,не похоже на глагол
ponekad,284,не похоже на глагол
постати,280,не похоже на глагол
vrlo,280,не похоже на глагол
kada,279,не похоже на глагол
međutim,274,не похоже на глагол
noću,274,не похоже на глагол
често,273,не похоже на глагол
