base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
gledati,izgledati,iz,11256,6998
činiti,učiniti,u,8487,6550
pitati,upitati,u,6008,5950
govoriti,odgovoriti,od,13834,5764
laziti,nalaziti,na,11,4753
laziti,dolaziti,do,11,4696
staviti,nastaviti,na,2536,3818
gubiti,izgubiti,iz,1750,3386
biti,dobiti,do,187140,3333
laziti,odlaziti,od,11,2864
boraviti,zaboraviti,za,356,2814
laziti,prolaziti,pro,11,2682
vršiti,završiti,za,552,2594
stati,ustati,u,4131,2402
dati,dodati,do,5896,2330
naći,pronaći,pro,6553,2303
praviti,napraviti,na,1783,2289
goditi,dogoditi,do,115,2288
lučiti,odlučiti,od,38,2276
ustaviti,zaustaviti,za,40,2274
gledati,ugledati,u,11256,2252
znati,saznati,sa,29986,2197
laziti,izlaziti,iz,11,2166
raditi,uraditi,u,7532,2135
biti,ubiti,u,187140,2131
tvoriti,zatvoriti,za,46,2107
misliti,zamisliti,za,11168,2095
stati,prestati,pre,4131,1891
pisati,napisati,na,3704,1845
vući,izvući,iz,1348,1806
čitati,pročitati,pro,2974,1772
vesti,provesti,pro,48,1743
ići,izići,iz,9434,1736
buditi,probuditi,pro,475,1711
vratiti,odvratiti,od,7699,1702
kinuti,prekinuti,pre,25,1684
pustiti,napustiti,na,2341,1675
držati,zadržati,za,5942,1670
znati,priznati,pri,29986,1618
laziti,ulaziti,u,11,1616
učiti,naučiti,na,1173,1590
miti,primiti,pri,346,1585
vesti,dovesti,do,48,1565
padati,pripadati,pri,2594,1478
putiti,uputiti,u,40,1475
vesti,odvesti,od,48,1464
veriti,uveriti,u,100,1450
stati,zastati,za,4131,1432
stavljati,nastavljati,na,934,1403
viknuti,uzviknuti,uz,897,1290
imati,uzimati,uz,29631,1280
tvoriti,pretvoriti,pre,46,1232
teći,zateći,za,826,1211
smejati,nasmejati,na,1791,1194
rediti,odrediti,od,20,1177
dati,predati,pre,5896,1154
laziti,prelaziti,pre,11,1144
čekati,sačekati,sa,5720,1140
čuti,začuti,za,10341,1117
ići,naići,na,9434,1108
gađati,događati,do,236,1090
stojati,nastojati,na,36,1080
nositi,donositi,do,4409,1080
gledati,zagledati,za,11256,1072
plašiti,uplašiti,u,1454,1061
govoriti,izgovoriti,iz,13834,1057
rediti,narediti,na,20,1047
bediti,ubediti,u,12,1018
viknuti,naviknuti,na,897,995
stati,nastati,na,4131,984
bližiti,približiti,pri,116,982
pitati,zapitati,za,6008,947
uzeti,obuzeti,ob,4077,937
čekati,dočekati,do,5720,904
miriti,umiriti,u,265,884
voditi,provoditi,pro,5046,883
vaditi,izvaditi,iz,419,880
moliti,zamoliti,za,2871,878
nositi,odnositi,od,4409,874
biti,odbiti,od,187140,861
pustiti,dopustiti,do,2341,855
sećati,podsećati,pod,2475,854
vesti,izvesti,iz,48,842
početi,započeti,za,11654,829
čuvati,sačuvati,sa,1335,770
mati,primati,pri,1353,761
kazati,ukazati,u,16617,760
činiti,načiniti,na,8487,748
mrmljati,promrmljati,pro,486,747
zvati,nazvati,na,3963,746
uzeti,zauzeti,za,4077,742
dati,udati,u,5896,739
ljubiti,zaljubiti,za,1005,734
govoriti,progovoriti,pro,13834,731
dužiti,produžiti,pro,41,729
grliti,zagrliti,za,360,706
gasiti,ugasiti,u,419,701
držati,izdržati,iz,5942,701
stajati,ustajati,u,6069,700
tražiti,zatražiti,za,5990,685
vršiti,izvršiti,iz,552,679
ustavljati,zaustavljati,za,10,673
laziti,prilaziti,pri,11,673
pustiti,prepustiti,pre,2341,672
variti,prevariti,pre,27,670
vesti,navesti,na,48,667
likovati,razlikovati,raz,133,667
terati,naterati,na,632,666
javiti,objaviti,ob,1382,665
ništiti,uništiti,u,6,658
učiti,obučiti,ob,1173,645
titi,pretiti,pre,8,644
stati,pristati,pri,4131,642
čuditi,začuditi,za,622,636
tvrditi,utvrditi,u,1852,630
paliti,zapaliti,za,335,620
paliti,upaliti,u,335,617
stajati,prestajati,pre,6069,609
davati,dodavati,do,2395,604
dati,prodati,pro,5896,602
dahnuti,uzdahnuti,uz,22,601
padati,dopadati,do,2594,601
vratiti,uzvratiti,uz,7699,600
suditi,usuditi,u,750,599
vući,privući,pri,1348,586
