infinitive_latin,frequency
videti,12
vidjeti,12
biti,12
hteti,6
ići,4
dolaziti,3
počinjati,2
samo,2
prestajati,2
kupiti,1
prikrivati,1
obično,1
malo,1
govoriti,1
smejati,1
žuriti,1
spavati,1
odmarati,1
zanemarivati,1
voleti,1
voljeti,1
igrati,1
probijati,1
ježiti,1
protezati,1
disati,1
skratiti,1
prekinuti,1
umrtviti,1
dotle,1
obamirati,1
prsnuti,1
zbijati,1
nekoliko,1
javljati,1
ostati,1
razduvati,1
otrovati,1
zapaliti,1
završiti,1
zakliktati,1
padati,1
uvek,1
sad,1
izgubiti,1
prezvrjati,1
nesmisati,1
nositi,1
podmlađivati,1
boliti,1
ubijati,1
iznova,1
dizati,1
