infinitive_latin,frequency
biti,408
hteti,67
živeti,39
reći,29
živjeti,25
već,18
otići,16
ići,15
videti,15
tamo,15
još,14
opet,14
sad,14
samo,13
odavno,13
spavati,13
probuditi,13
sada,13
gde,11
ovde,11
sedeti,11
krenuti,11
raditi,11
odgovoriti,11
govoriti,11
moći,11
mnogo,10
imati,10
nemati,10
vratiti,9
morati,9
vidjeti,9
potom,9
postati,9
stajati,9
dobro,8
gledati,8
kući,8
malo,8
jesti,7
zaboraviti,7
natrag,7
pogledati,7
pitati,7
ležati,6
navići,6
tiho,6
uzeti,6
početi,6
daleko,6
pomisliti,6
najesti,6
pojesti,6
odmah,6
kretati,6
složiti,6
umreti,6
ustati,6
disati,5
hraniti,5
doći,5
izaći,5
znati,5
bojati,5
zapitati,5
možda,5
svratiti,5
zaspati,5
lako,5
plakati,5
rasti,4
zašto,4
pomreti,4
ostati,4
proći,4
inače,4
brzo,4
trebati,4
pokucati,4
odgovarati,4
tako,4
roditi,4
ručati,4
prići,4
nekada,3
sediti,3
misliti,3
narediti,3
umoriti,3
nalaziti,3
mirisati,3
igrati,3
tu,3
naći,3
primiti,3
zamoliti,3
zatim,3
takođe,3
večerati,3
svetliti,3
međutim,3
sigurno,3
tada,3
otvoriti,3
ući,3
dati,3
ćutke,3
zaći,3
odlučiti,3
čitati,3
truditi,3
osvežiti,3
osećati,3
pozvati,3
začuti,3
jedva,3
sklopiti,3
kuckati,3
zvati,3
spremiti,3
kupiti,3
pamtiti,3
zamisliti,3
čuvati,2
negde,2
postajati,2
vani,2
tražiti,2
uvrediti,2
uopšte,2
voleti,2
rano,2
hodati,2
pevati,2
peći,2
slušati,2
odvesti,2
ostaviti,2
odatle,2
odjednom,2
pričekati,2
vređati,2
oprezno,2
poviti,2
ugledati,2
sesti,2
prolaziti,2
stalno,2
noću,2
svijati,2
goreti,2
akiti,2
shvatiti,2
mirno,2
sipati,2
pratiti,2
ličiti,2
kuda,2
otuda,2
poslati,2
bolovati,2
pogostiti,2
obećati,2
nekuda,2
zasaditi,2
osloniti,2
setiti,2
rađati,2
čekati,2
vraćati,2
srditi,2
vući,2
ovamo,2
sviknuti,2
nedavno,2
doneti,2
rđavo,2
hladiti,2
oprostiti,2
prestati,2
upamtiti,2
utonuti,2
usnuti,2
duboko,2
uspeti,2
poživeti,2
prekriti,2
skoro,2
zalutati,2
postojati,2
uzalud,2
smiriti,2
nemoguće,1
razlikovati,1
istinski,1
dogoditi,1
prisniti,1
posebno,1
sezati,1
davno,1
opstajati,1
osvetliti,1
nečujno,1
drhtati,1
očito,1
duvati,1
zamišljati,1
želeti,1
željeti,1
pripadati,1
pretvarati,1
pogoditi,1
dolaziti,1
naljutiti,1
plakatn,1
kud,1
šetati,1
put,1
nikada,1
zaokupiti,1
ipti,1
čupati,1
skupljati,1
držati,1
ovako,1
mirisli,1
ljubiti,1
smejati,1
nahraniti,1
veseliti,1
sejati,1
boraviti,1
svirati,1
prostirati,1
završavati,1
skrivati,1
svitkati,1
ponikliti,1
kasno,1
nameravati,1
dovek,1
obreti,1
povesti,1
prespavati,1
odavde,1
počinjati,1
dopadati,1
okretati,1
trčati,1
izrasti,1
najpre,1
setig,1
poterati,1
onda,1
snaći,1
psovati,1
precvetati,1
dotati,1
nalivati,1
zaključiti,1
padati,1
prijati,1
jedino,1
ispadati,1
svejednako,1
nakisati,1
nenalik,1
smračiti,1
zamirisati,1
nadole,1
nadolje,1
dremuckati,1
razmisliti,1
prisloniti,1
dremnuti,1
zapalisati,1
nauživati,1
bido,1
zagaziti,1
bojiti,1
okasniti,1
podgrevati,1
ovuda,1
napolju,1
dojaditi,1
primećivati,1
svuda,1
završiti,1
graditi,1
stražariti,1
ipak,1
nestajati,1
popustiti,1
škripati,1
uvek,1
odviknuti,1
odnesti,1
napraviti,1
preći,1
potrčati,1
upuzati,1
nasloniti,1
usmeriti,1
latiti,1
oslanjati,1
dočekati,1
drugditi,1
naspiti,1
odrezati,1
vrzmati,1
lutati,1
smisliti,1
pisati,1
naglas,1
sricati,1
silno,1
slati,1
nakupiti,1
odakle,1
ispuniti,1
začuditi,1
kako,1
saglasiti,1
ostavljati,1
odvojeno,1
valjano,1
požaliti,1
umirati,1
gore,1
podružiti,1
otuđiti,1
pršuliti,1
izvaditi,1
legnuti,1
dunuti,1
pop,1
utišati,1
pomagati,1
pospremiti,1
donositi,1
terati,1
brinuti,1
stiti,1
slagati,1
porazgovarati,1
izbavljati,1
teći,1
uskoro,1
zaželeti,1
ispočetka,1
dešavati,1
iznenada,1
zaboleti,1
trpeti,1
ostajati,1
iskopati,1
seći,1
uprazno,1
dosađivati,1
nemoćno,1
visiti,1
primetiti,1
steći,1
zalud,1
zaduvati,1
uzmašiti,1
menjati,1
noduzati,1
predosetiti,1
svađati,1
stići,1
