xml_file,total_verbs,unique_verbs,top_verb,top_count
12.xml,28106,3645,бити,6907
ambic.xml,240,137,biti,47
ariel.xml,366,166,biti,141
bronja.xml,1416,498,biti,397
chaika.xml,5075,1002,biti,1040
chastoljub.xml,240,132,biti,55
cork.xml,1168,548,бити,207
cvetok.xml,477,193,biti,108
drina.xml,31695,3526,бити,7717
gnev.xml,140,87,biti,26
haz.xml,23883,2822,бити,6360
igrushka.xml,439,183,biti,142
izravn.xml,670,304,biti,130
jel.xml,2312,727,бити,525
jushka.xml,892,349,biti,265
kd.xml,21883,4047,biti,2920
kompromiss.xml,13986,2040,biti,4152
kult.xml,159,88,biti,24
kutija.xml,6872,1440,biti,1763
kzs_1.xml,16657,2556,biti,3843
kzs_2.xml,19514,2619,biti,4833
mm1.xml,21971,2658,biti,4941
mm2.xml,19081,2561,biti,4284
nikita.xml,878,314,biti,240
nostalgija.xml,229,130,biti,55
pa.xml,7458,1521,бити,1891
pitanje.xml,154,71,biti,48
predeo.xml,29337,3273,бити,7710
put.xml,2209,860,бити,502
slon.xml,4162,1154,бити,966
sneg.xml,127,83,biti,17
tk.xml,40804,3784,бити,10832
vera.xml,86,41,biti,36
vidim.xml,99,53,videti,12
vsja_zhizn.xml,1806,550,biti,408
zhep.xml,723,349,бити,183
zima.xml,252,180,biti,39
