infinitive_latin,frequency
бити,183
још,11
моћи,10
колико,8
само,8
тако,8
хтети,8
имати,7
остати,6
подићи,6
већ,6
дати,5
видети,5
тада,5
много,5
где,4
долазити,4
видјети,4
знати,4
писати,4
почети,4
наставити,3
сетити,3
мислити,3
слутити,3
говорити,3
одредити,3
наредити,3
неколико,3
обилазити,3
вратити,3
казати,3
довршити,3
поћи,3
прелазити,3
помислити,3
изгледати,3
дуго,3
подизати,3
пасти,2
изненада,2
добро,2
покаткад,2
живети,2
умрети,2
умријети,2
набујати,2
дигнути,2
опет,2
ухватити,2
поломити,2
ту,2
одлучити,2
гледати,2
посве,2
зидати,2
становати,2
куповати,2
никад,2
испитивати,2
радити,2
свратити,2
управо,2
клати,2
дубоко,2
готово,2
мерити,2
причати,2
заборављати,2
стизати,2
мало,2
пут,2
често,2
поново,2
саставити,2
ишчезнути,2
исплатити,2
доћи,2
оставити,2
стругати,2
рећи,2
пролазити,2
одмах,2
примити,2
чути,2
увек,2
примећивати,2
пре,2
јављати,2
осетити,2
блештати,2
прецртати,2
онда,2
посрнути,1
трајати,1
никако,1
изићи,1
стишати,1
чувати,1
несвесно,1
одражавати,1
живјети,1
заточити,1
живо,1
одводити,1
опервагати,1
одвести,1
познавати,1
стицати,1
распитивати,1
казивати,1
бејати,1
наићи,1
јавити,1
осиромашити,1
огорети,1
зло,1
немати,1
ићи,1
однијети,1
нагло,1
подрити,1
надоћи,1
зајазити,1
зауставити,1
нарасти,1
зими,1
учинити,1
требати,1
градити,1
прочути,1
најмити,1
стићи,1
неколко,1
зачудити,1
мрвити,1
кушати,1
премеравати,1
затим,1
одлазити,1
вадити,1
извести,1
откопати,1
засути,1
обрастати,1
копати,1
наћи,1
одатле,1
спустити,1
чекати,1
чинити,1
саградити,1
кувати,1
тесати,1
цртати,1
осматрати,1
отпоћи,1
начудити,1
наличити,1
најпре,1
побити,1
укошо,1
преплести,1
проломити,1
негде,1
зачас,1
замутити,1
провалити,1
сутра,1
осванути,1
спласти,1
почупати,1
искривити,1
побијати,1
исправити,1
поравнати,1
одјекивати,1
спремити,1
стигнути,1
клесати,1
сагињати,1
просећи,1
понестати,1
променити,1
бивати,1
напуштати,1
приметити,1
помаљати,1
расти,1
обуставити,1
одошити,1
зимовати,1
никуд,1
излазити,1
пригледати,1
стати,1
пуцати,1
збринути,1
ноћу,1
отпочити,1
тачно,1
весело,1
оборисати,1
појавити,1
свести,1
избацити,1
сударити,1
лебдети,1
гргољити,1
запенити,1
укротити,1
привикнути,1
запети,1
поврвити,1
дивити,1
жалити,1
ваљати,1
родити,1
одговарати,1
ударати,1
сећи,1
застајкивати,1
повезати,1
натоварити,1
заједно,1
кренути,1
догонити,1
залазити,1
седити,1
зимус,1
отићи,1
сједити,1
умотати,1
вирити,1
помодрити,1
једнако,1
отвоварити,1
накострешити,1
прождрети,1
намучити,1
превезосмити,1
одљумати,1
једном,1
обазрети,1
јал,1
чудити,1
нажалити,1
пажљиво,1
загледати,1
дотле,1
путовати,1
разболети,1
разбољети,1
једва,1
држати,1
сутрадан,1
издахнути,1
ујутро,1
известити,1
предати,1
наређивати,1
донести,1
врло,1
даривати,1
помагати,1
надати,1
урезати,1
сад,1
нудити,1
молити,1
удостојити,1
слати,1
фино,1
исписати,1
пружити,1
настати,1
поделити,1
седети,1
притискивати,1
размишљати,1
летос,1
осећати,1
победити,1
икад,1
одмицати,1
успевати,1
понекад,1
растерати,1
спречити,1
тровати,1
постати,1
вредати,1
заменити,1
шкрипати,1
замрзнути,1
везивати,1
трнути,1
одстранити,1
примати,1
однекуд,1
устати,1
донети,1
донијети,1
вејати,1
улазити,1
посматрати,1
бацати,1
ровати,1
кидати,1
исповедити,1
поверити,1
избити,1
просто,1
ћутке,1
невидљиво,1
брзо,1
умирати,1
следити,1
јести,1
одувек,1
делимично,1
обасјати,1
отварати,1
оборити,1
полако,1
двапут,1
застати,1
стајати,1
избрисати,1
тамо,1
сјати,1
пребацивати,1
мало-помало,1
окруживати,1
разнети,1
отплавити,1
сапрати,1
приљубити,1
смести,1
издвојити,1
изненађивати,1
залутати,1
испитати,1
сазнати,1
враћати,1
сести,1
наслонити,1
споразумети,1
написати,1
