infinitive_latin,frequency
biti,39
već,7
sad,3
još,3
čuti,3
možda,3
vikati,2
ploviti,2
samo,2
očekivati,2
napolju,2
ipak,2
nemati,2
lagano,2
snežiti,2
najzad,2
hteti,2
opet,2
klatati,2
stati,2
stajati,2
ovamo,2
otići,2
postajati,2
zaboraviti,2
činiti,2
pijano,1
njihati,1
osipati,1
zamutiti,1
suziti,1
upiti,1
zujati,1
podilaziti,1
lupati,1
dizati,1
sjediti,1
videti,1
vidjeti,1
pobeliti,1
nazirati,1
topiti,1
priljubiti,1
dugo,1
gledati,1
napolje,1
maknuti,1
pokrenuti,1
ostati,1
mirno,1
umoriti,1
zatvarati,1
okretati,1
potsjećati,1
uzaludno,1
boriti,1
oživeti,1
oživjeti,1
put,1
okrenuti,1
prenuti,1
teško,1
penjati,1
ništiti,1
moći,1
rasplakati,1
jutros,1
odjednom,1
iščeznuti,1
večito,1
vječito,1
slutiti,1
bezglasno,1
utonuti,1
juče,1
odavna,1
brihiti,1
sliti,1
vječiti,1
trenutno,1
utopiti,1
trzati,1
pokušavati,1
sabrati,1
goniti,1
dovikivati,1
smijati,1
govoriti,1
sjutra,1
zazimiti,1
proći,1
uzdizati,1
kazivati,1
živeti,1
živjeti,1
zvati,1
jedino,1
istrčati,1
nameštati,1
poslovati,1
užurbano,1
odmašati,1
natrag,1
ostajati,1
dzbunjeno,1
pozivati,1
zabaviti,1
ieosjetno,1
kliznuti,1
daleko,1
tu,1
obično,1
sustizati,1
sastajati,1
kretati,1
pravaliti,1
bližiti,1
voditi,1
zavijati,1
dolaziti,1
voleti,1
voljeti,1
dobro,1
vući,1
tući,1
drhtati,1
podizati,1
osluškivati,1
ići,1
mnogo,1
udaljivati,1
zamirati,1
neumoljivo,1
uznemireno,1
ponoviti,1
jedanput,1
vrzmati,1
odmah,1
odjedanput,1
otskočiti,1
prevrnuti,1
rasprsnuti,1
uzbuditi,1
pribiti,1
kratko,1
zalepršati,1
lo,1
počikivati,1
negde,1
negdje,1
ispasti,1
pretrčati,1
sagati,1
ležati,1
početi,1
gusto,1
lako,1
obučekati,1
dotrčati,1
uhvatiti,1
prisvojiti,1
posle,1
poslije,1
krišom,1
pritisnuti,1
razbiti,1
ponovo,1
povratiti,1
ukrutiti,1
ispustiti,1
stresti,1
osetiti,1
krenuti,1
puštati,1
pokrivati,1
odneći,1
jako,1
odjeknuti,1
padati,1
veselo,1
