глагол,общая_частота
biti,1406736
moći,123163
hteti,115546
imati,84395
trebati,31931
raditi,29388
koristiti,27872
nalaziti,25819
morati,24386
postojati,21321
reći,20501
želeti,20280
predstavljati,19274
dobiti,17425
doći,16760
kazati,14849
nemati,14204
postati,13214
činiti,13056
učestvovati,12193
znati,11860
govoriti,11697
pružati,11287
istaći,11164
voditi,10817
videti,10789
baviti,10214
dati,10112
početi,9443
smatrati,9284
organizovati,9181
nuditi,9102
pomoći,8949
živeti,8924
nastaviti,8816
omogućavati,8764
tražiti,7943
pokazati,7807
odnositi,7644
značiti,7630
pronaći,7566
očekivati,7504
obezbediti,7463
dolaziti,7440
omogućiti,7432
podneti,7316
pratiti,7287
pogledati,7142
predstaviti,7091
otvoriti,6799
održati,6692
sadržati,6672
misliti,6606
prisustvovati,6525
učiniti,6356
dodati,6261
napraviti,6250
navoditi,6227
uticati,6110
pomagati,6087
doneti,6018
naći,5966
ostati,5843
upoznati,5830
pružiti,5792
razgovarati,5761
navesti,5502
vršiti,5410
davati,5405
odaberiti,5367
naglasiti,5303
završiti,5242
sprovoditi,5193
ostvariti,5148
doprineti,5134
odlučiti,5130
zahtevati,5058
dobijati,5036
pokazivati,4977
trajati,4948
posedovati,4897
uraditi,4846
vratiti,4781
objaviti,4772
izjaviti,4724
verovati,4660
iznositi,4644
podržavati,4578
održavati,4552
posetiti,4550
postaviti,4483
dovesti,4474
prihvatiti,4452
obuhvatati,4364
uključivati,4355
razvijati,4312
donositi,4305
nastati,4301
prijaviti,4301
igrati,4296
ići,4276
nositi,4260
uživati,4239
podrazumevati,4234
uspeti,4187
realizovati,4157
dodirniti,4133
sastojati,4129
pozivati,4055
podržati,4053
usvojiti,4030
ući,4004
obavljati,3977
saznati,3959
obezbeđivati,3959
obratiti,3936
ukazati,3933
pokrenuti,3923
uključiti,3854
uputiti,3832
stvarati,3806
preuzeti,3743
povećati,3737
iskoristiti,3732
video,3726
otkriti,3723
izraziti,3688
doprinositi,3642
promeniti,3622
odgovarati,3580
pisati,3555
ticati,3535
ostajati,3500
voleti,3485
primenjivati,3484
stvoriti,3401
izvršiti,3400
čuti,3391
počinjati,3380
ukazivati,3376
smanjiti,3348
služiti,3331
postajati,3321
osećati,3320
prikazivati,3295
isticati,3280
proći,3269
stajati,3246
razmotriti,3246
započeti,3230
menjati,3221
računati,3207
razumeti,3165
ponuditi,3159
stići,3155
utvrditi,3144
primiti,3126
klikniti,3108
postići,3096
zavisiti,3004
potpisati,2972
unaprediti,2966
gledati,2943
naučiti,2926
steći,2922
planirati,2887
zaključiti,2882
osvojiti,2882
pripadati,2869
obaviti,2864
čuvati,2848
kupiti,2845
kreirati,2801
nadati,2792
upravljati,2790
ostaviti,2785
