verb,dim_001,dim_002,dim_003,dim_004,dim_005,dim_006,dim_007,dim_008,dim_009,dim_010,dim_011,dim_012,dim_013,dim_014,dim_015,dim_016,dim_017,dim_018,dim_019,dim_020,dim_021,dim_022,dim_023,dim_024,dim_025,dim_026,dim_027,dim_028,dim_029,dim_030,dim_031,dim_032,dim_033,dim_034,dim_035,dim_036,dim_037,dim_038,dim_039,dim_040,dim_041,dim_042,dim_043,dim_044,dim_045,dim_046,dim_047,dim_048,dim_049,dim_050
aviti,0.08146202,0.8991558,-0.004207062,0.0007633589,-0.002738778,0.0007681664,-0.0010738891,0.003599423,-0.0056281644,0.005337883,-0.0017882262,0.002223545,-0.022737898,0.030678418,-0.003487918,0.07227109,-0.012642429,0.01372996,-0.006035219,0.044196464,-0.0032738969,0.018944578,-0.053499516,0.011891938,-0.002875376,-0.012154979,0.1273906,-0.00012555649,-0.020348009,-0.0135633815,0.20047525,-0.18873692,0.039836194,-0.16987757,0.1854035,-0.035506375,0.013613276,-0.02376432,0.061729614,-0.093219854,0.0047614477,-0.014077688,0.0007549948,0.0018309229,-0.00033504362,-0.0023380166,-0.002535185,0.0016201193,0.0009943907,0.0018826805
bacati,0.0773426,0.8601484,-0.0050459565,-0.00031946317,-0.002991387,0.00017984485,-0.002618643,0.0007912651,-0.004157316,0.0048129302,-0.0020924874,0.0028708484,-0.025055652,0.03318484,-0.004251644,0.100126565,-0.029910091,0.01594282,-0.011185503,0.098079205,-0.00057240925,0.03373907,-0.29227635,0.078204,-0.021730252,0.36082402,-0.07557395,-0.00050457404,-0.005561827,0.012624326,-0.022676645,0.00539026,0.02724136,-0.00451979,-0.006272668,-0.004271792,0.0012208557,-0.027208047,0.0035685701,-0.005841313,0.0010075034,0.0005904171,2.7147556e-05,-2.714308e-05,4.4758002e-05,3.1378546e-05,0.00010359413,0.0005483543,-0.0003444913,-0.000167477
baciti,0.08886412,0.9853335,-0.005922541,-0.0020807586,-0.0027062655,0.00011407244,-0.0026223864,0.001172515,-0.0019111179,0.0018459099,-0.00036026136,0.0020419287,-0.020360565,0.026528448,-0.000930293,0.013833385,0.06055981,-0.01725926,0.016406313,0.040606964,-0.0015370973,-0.010456552,-0.05734227,0.011779973,-0.0034482349,-0.059626665,-0.0033102548,5.533204e-05,0.015438631,-0.025303517,0.026909778,0.0016665515,-0.05683892,0.022232514,-0.008606021,0.010838015,-0.00027611767,0.029534932,-0.0092925895,0.015753152,-0.002665164,-0.0061630486,-0.0021141148,-0.00019817987,-0.0010158389,0.0010195839,-0.0038634357,0.0066296174,-0.0018347871,0.001082757
baviti,0.08811176,0.9784201,-0.006061187,-0.0024859363,-0.0026954687,-0.00021823603,-0.0027102302,0.0015477241,-0.0036966135,0.0017324722,-0.0025415835,0.00043561787,0.019986369,-0.018270856,-0.002121872,0.074094266,-0.023735091,0.03459493,-0.014785024,0.115475826,-0.0045535085,0.06051657,-0.006369199,0.0029668475,-0.0013759005,-0.058555104,0.053511787,0.0021585564,0.0048295464,-0.0008299875,-0.019477086,0.025636356,-0.012081501,0.023250774,-0.023667108,0.004163781,0.0008550963,-0.030573407,-0.00032475693,0.0006067346,0.0016977243,0.0008563152,-0.0030453724,-0.00039152737,-0.00028942752,-0.0006554036,-4.1750707e-05,-0.00076929544,-0.00026362264,-0.00031556192
bazirati,0.07496041,0.83186424,-0.00537238,-0.0028426293,-0.0015637327,-0.0003048686,-0.0024577603,0.0006942515,-0.0033130466,0.0042405287,-0.003388412,0.006970645,-0.036219258,0.024735272,-0.012492167,0.11467655,-0.044819355,0.061779294,-0.026040148,0.084620446,-0.06308183,0.49303025,0.15138704,-0.030941185,0.0077545373,0.011520282,-0.038903266,0.0012649759,0.004685588,-0.00064271025,-0.014318229,0.014457679,-0.007610441,0.00875237,0.0038585612,-0.00021529353,-0.0010694697,0.0076918146,-0.0032025615,0.0059462185,-0.0010208247,0.0014955602,0.00076208124,-0.00049800373,-0.00070748595,-0.0037719137,-0.0004753076,0.0005282826,-0.00052126485,-0.0006335265
bediti,0.048759118,0.54870003,-0.0055482043,-0.0049914573,-0.0024769588,0.0023593572,-0.001477148,-2.4299627e-05,0.0062477863,0.006788824,0.0036455593,0.022724265,-0.27523157,0.27464896,0.015353508,-0.7264438,0.019322949,-0.07478405,0.04517229,-0.0040647946,0.0057235262,0.008929835,0.042222917,-0.010210444,0.002175516,0.02175433,-0.061887912,-0.0010259827,-0.0013426507,0.0105757015,-0.029505843,0.011783306,0.022561852,0.00323509,-0.015283166,-0.002723572,5.1501447e-05,-0.021994973,-0.0016320113,0.002116529,-0.00013016064,0.0013827963,0.00010027324,-0.0003491039,0.00013888555,0.0005484117,-0.0032451705,0.0012156329,-0.0014184364,0.0017262164
beležiti,0.08482898,0.9413642,-0.0059761866,-0.0043458887,-0.0011287197,-0.0019671351,-0.0029955613,0.0034715973,-0.003615508,-0.0030663356,-0.0003492446,-0.0029674144,0.10794917,-0.11724355,0.012399761,-0.1345536,-0.014862309,0.01460738,-0.0038362506,0.032954287,-0.029780054,0.22419953,0.08785093,-0.018972868,0.00301161,0.014017357,-0.03955283,0.0002996115,0.0032891617,0.001179743,-0.011882229,0.010029817,-0.00071247126,0.006134808,-0.0028719786,-0.00022411208,-0.00018806967,-0.0034974779,-0.001482385,0.003190802,-0.00021590675,0.0009314054,0.00043831932,-0.000263873,-0.0014051232,-0.0008468249,-0.000687584,-0.00064620544,-0.0017129738,-3.99151e-05
besneti,0.07377267,0.8245821,-0.0066197137,-0.00077711703,-0.0034668255,0.0005892058,-0.0027930625,0.0007556972,-0.0014405468,0.010705829,-0.0019859562,0.0041994923,-0.05227018,0.066997565,-0.006781247,0.12734589,-0.066695064,0.24768056,-0.09975607,-0.11528856,0.010428318,-0.0501404,-0.19327073,0.054899476,-0.017081853,0.3691881,-0.1186163,-0.0017029699,-0.013105963,0.027362045,-0.04780683,0.011175651,0.059144672,-0.010216308,-0.011039883,-0.008525726,0.0006920045,-0.03279142,0.00208803,-0.0037999162,0.00019673878,7.333303e-05,-0.0009078016,-0.00019641458,-2.859845e-05,0.00058686355,-0.002924571,0.002423039,-0.0019147408,0.0012614185
bežati,0.07394826,0.82282996,-0.0048007453,-8.024802e-05,-0.0029424727,0.00013488792,-0.0026016685,0.00079127436,-0.004139473,0.004801309,-0.0020728023,0.0028662365,-0.025202906,0.033413965,-0.0043172995,0.10236891,-0.031645987,0.017770559,-0.012150096,0.1059723,-0.00037968435,0.035578635,-0.3217995,0.08646697,-0.02435079,0.40852556,-0.09166688,-0.0007365806,-0.0068398877,0.016448641,-0.030503953,0.0078419605,0.035996474,-0.0053497194,-0.009258976,-0.005722911,0.0016123157,-0.037740972,0.0044873403,-0.007350619,0.0012483497,0.00032792153,-0.0005181974,-9.77291e-05,2.0632608e-05,0.00022831914,-0.0009849529,0.0012788837,-0.0010050854,0.00022103492
bilježiti,0.07620738,0.8442111,-0.004987685,-0.004447292,0.00018540057,-0.0037255138,-0.003113229,0.0048779757,-0.005388005,-0.007960943,-0.0006924626,-0.010869294,0.23635791,-0.25346118,0.015563985,-0.048331503,-0.022469362,0.04228109,-0.016545152,0.03954214,-0.04793455,0.34751725,0.15386434,-0.033106472,0.0049433317,0.018775407,-0.065906435,0.00023551758,0.0038200147,0.0059562786,-0.026733298,0.018533994,0.009239912,0.00826775,-0.007319351,-0.0024538774,0.0003646073,-0.021319065,-0.000675905,0.002425579,-2.3804712e-05,8.5812295e-05,-0.0010501056,-0.0005574876,-0.002324703,-0.0009911263,-0.0038100088,0.0008091238,-0.0042747413,0.0008131563
